Time,Ball X,Ball Y,Ball Z
4.760227,0.7439083,0.7120862,-0.5107967
4.76453,0.7438437,0.7120005,-0.510769
4.774394,0.7439061,0.7119555,-0.510785
4.784623,0.7439145,0.7119701,-0.5107993
4.795072,0.7437664,0.7117708,-0.5107287
4.806176,0.7439839,0.7117412,-0.5107131
4.817316,0.7439672,0.7117101,-0.5107685
4.828498,0.7441226,0.7119309,-0.5108541
4.839686,0.7441598,0.711956,-0.5108265
4.851132,0.7441922,0.7119646,-0.510849
4.86217,0.7442409,0.7120062,-0.5108811
4.87346,0.7442189,0.7120074,-0.5109113
4.884269,0.7442428,0.7120221,-0.5109323
4.89593,0.7442344,0.7119849,-0.5109209
4.907069,0.7444025,0.7120172,-0.5108844
4.918985,0.7443606,0.7121137,-0.5112036
4.930129,0.7443215,0.7120553,-0.5112084
4.940576,0.7440649,0.7122442,-0.5111033
4.951267,0.7441348,0.7121853,-0.5108947
4.962649,0.7440983,0.712168,-0.5108618
4.973569,0.7439517,0.7121459,-0.5109223
4.984875,0.7439581,0.7121258,-0.510814
4.996232,0.7439455,0.7121431,-0.5107979
5.007293,0.7439858,0.7120676,-0.5108758
5.018415,0.7440079,0.7120537,-0.5108168
5.029418,0.7439829,0.7120086,-0.5107974
5.040691,0.7440814,0.7119892,-0.5107967
5.051763,0.744083,0.7119615,-0.5107313
5.063183,0.7440923,0.7119921,-0.5107399
5.074162,0.7441386,0.7119664,-0.5107688
5.085132,0.7441605,0.7119409,-0.5107354
5.097061,0.7441856,0.7119489,-0.5107149
5.10749,0.7441729,0.7119442,-0.5107204
5.118718,0.7441634,0.7119629,-0.5107677
5.13027,0.7441036,0.7118652,-0.5107328
5.141091,0.744011,0.7118746,-0.5107275
5.152136,0.7440051,0.7118783,-0.5107381
5.16336,0.7439402,0.7119458,-0.5107535
5.174631,0.7439522,0.7119164,-0.5108074
5.18565,0.7439429,0.7119197,-0.5107814
5.197043,0.7440091,0.712036,-0.5108324
5.208119,0.7440017,0.712096,-0.5107955
5.219527,0.7439977,0.7120945,-0.510758
5.231621,0.7439994,0.7121199,-0.5107619
5.241469,0.7441684,0.7121446,-0.5107182
5.252897,0.7441696,0.7121731,-0.5107952
5.264034,0.7441169,0.712104,-0.5107535
5.27539,0.7442735,0.7120515,-0.5107834
5.286933,0.7442909,0.7120568,-0.5108207
5.297588,0.7442478,0.7120212,-0.5107868
5.308726,0.7442356,0.712123,-0.5106897
5.320169,0.7442316,0.7121426,-0.5107886
5.330873,0.7440571,0.7120912,-0.5107417
5.342159,0.7440635,0.712079,-0.5107671
5.353681,0.7440339,0.712104,-0.5108724
5.364357,0.7438833,0.7121681,-0.5108789
5.375725,0.7438794,0.7121447,-0.5109211
5.38706,0.7438484,0.712123,-0.5109285
5.397996,0.7438241,0.7121153,-0.510933
5.40934,0.7439295,0.7118847,-0.5112034
5.42079,0.7439619,0.711807,-0.5111034
5.431443,0.744078,0.7118599,-0.5111626
5.442627,0.7440273,0.7120042,-0.5110291
5.454085,0.744099,0.7119051,-0.5108124
5.464983,0.7441014,0.7119074,-0.5107807
5.476364,0.7440897,0.7119912,-0.5106939
5.487704,0.7440764,0.7119962,-0.5107325
5.49873,0.7440997,0.712014,-0.5107287
5.509612,0.7441007,0.7120258,-0.510722
5.521321,0.7441329,0.7120268,-0.5107121
5.53203,0.7440928,0.7119776,-0.5106753
5.543309,0.7441226,0.7119642,-0.5106927
5.554611,0.7441305,0.7119409,-0.5106655
5.565843,0.7440542,0.7120278,-0.5106698
5.577286,0.7440983,0.7119809,-0.5107223
5.587872,0.7440983,0.7119743,-0.5107435
5.599017,0.7441088,0.7120149,-0.5107645
5.610201,0.7440947,0.7120755,-0.5107261
5.621425,0.7440935,0.7121098,-0.5107725
5.632846,0.7439982,0.7121571,-0.5107619
5.643681,0.7440144,0.7121567,-0.5108149
5.655056,0.7439934,0.7121453,-0.5108423
5.666345,0.7440063,0.7121503,-0.5108341
5.67829,0.7440237,0.7121788,-0.5108277
5.688624,0.744011,0.7121162,-0.5107378
5.699877,0.7440947,0.7121003,-0.5107261
5.710783,0.7441322,0.7120546,-0.510739
5.721829,0.7441422,0.7120268,-0.5107013
5.734463,0.7440988,0.7120477,-0.5106831
5.744544,0.7441398,0.7119893,-0.5107281
5.755547,0.74415,0.7119792,-0.510728
5.766926,0.7440783,0.7119967,-0.5107237
5.778468,0.7440847,0.7120157,-0.510709
5.789404,0.7440664,0.7120261,-0.5107516
5.800396,0.7440134,0.7120243,-0.5107406
5.811809,0.7439891,0.7120932,-0.5107059
5.822844,0.7439436,0.7120228,-0.5106403
5.833776,0.7438627,0.7120495,-0.5106193
5.84547,0.7438415,0.7120926,-0.5105964
5.856385,0.7438389,0.7121648,-0.510635
5.867329,0.7437016,0.7122182,-0.5106243
5.878638,0.7437438,0.7121038,-0.5106306
5.889793,0.7437271,0.712124,-0.5106372
5.901257,0.7437295,0.7121513,-0.510625
5.912065,0.7437145,0.7121358,-0.5106412
5.925842,0.7437295,0.712165,-0.5105966
5.935286,0.7436968,0.712172,-0.5105828
5.945863,0.7437581,0.7120509,-0.5107211
5.957041,0.743872,0.7121352,-0.5106521
5.967905,0.7439801,0.7121257,-0.5106415
5.979542,0.7440592,0.7120298,-0.5106441
5.990552,0.7440974,0.7120628,-0.5106595
6.001441,0.7440656,0.7120943,-0.5106536
6.01281,0.7440952,0.7121156,-0.5107056
6.023688,0.7440966,0.7121134,-0.510713
6.034863,0.7440125,0.7121477,-0.5107166
6.046126,0.7440201,0.7121472,-0.5107363
6.057572,0.7440151,0.7121674,-0.510759
6.068421,0.7440771,0.7121704,-0.510774
6.079602,0.7441131,0.7121903,-0.5108484
6.090969,0.7440723,0.7121205,-0.5108387
6.103162,0.7440881,0.7121147,-0.5108618
6.113054,0.74412,0.7121234,-0.5109037
6.124437,0.7440885,0.7120715,-0.5109067
