Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
14.1783,YES,1,0.7435621,0.7123054,-0.5105134,-0.2744565,0.5643798,0.4522972,1.408988,NO,0.5374835
20.94732,YES,2,1.404307,1.03399,-0.5272378,1.495771,1.114217,-0.6150867,0.1500653,NO,0.4779061
24.78968,YES,3,1.324771,0.9677305,-0.6302847,1.394481,1.066792,-0.7190259,0.1501585,NO,0.1534058
28.06209,YES,4,1.34665,0.9848944,-0.502021,1.449829,1.089066,-0.5860506,0.1689931,NO,0.2056539
33.81446,YES,5,1.238262,0.9331679,-0.7056223,1.314483,1.037144,-0.8053913,0.1630172,NO,0.0673621
39.75674,YES,6,1.256673,0.9699053,-0.7875617,1.298079,1.085775,-0.890745,0.1605832,NO,0.1641124
42.51557,YES,7,1.253691,0.9841367,-0.8021127,1.315727,1.081448,-0.8994581,0.1509776,NO,0.07344751
44.59271,YES,8,1.077945,0.9055628,-0.8892981,1.107847,1.035862,-0.8859745,0.1337271,NO,0.1367371
47.25146,YES,9,1.09927,0.9631095,-0.9604117,1.172109,1.076102,-0.985175,0.1366966,NO,0.1216927
49.78756,YES,10,1.020829,0.9153769,-0.9674686,1.077443,1.070769,-1.019839,0.1734775,NO,0.1202193
51.67441,YES,11,0.6695081,0.7614199,-0.8142375,1.094835,1.093438,-1.020231,0.5775571,NO,0.09154668
