Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode
37.76445,NO,1,-0.2658329,1.089002,-0.4060597,-0.4928554,1.086814,-0.556671,0.2724478,NO,0.1102484,5.217256,0,1.5,0.5,66.47828,0,REWARD
40.37556,NO,2,-0.1507877,1.218601,-0.4401688,-0.3877022,1.15067,-0.5533403,0.2712029,YES,0,5.747347,0,1.5,0.5,73.53602,10,REWARD
43.62,NO,3,-0.2155924,1.164474,-0.4564011,-0.4294988,1.118508,-0.5964369,0.2597667,YES,0,4.729842,0,1.5,0.5,71.10729,20,REWARD
47.33111,NO,4,-0.1820452,1.110661,-0.4451846,-0.3861744,1.102254,-0.5807748,0.2452022,YES,0,4.954687,0,1.5,0.5,67.97744,30,REWARD
50.98667,NO,5,-0.1988839,1.098623,-0.4629852,-0.4407279,1.037848,-0.6336578,0.3021776,NO,0.1262646,4.326116,0,1.5,0.5,67.7952,30,REWARD
56.16444,NO,6,-0.2062376,1.130185,-0.3883232,-0.3878003,1.08963,-0.5195122,0.2276407,YES,0,5.322359,0,1.5,0.5,67.92641,40,REWARD
60.03111,NO,7,0.1346666,1.184757,-0.4299751,0.04871559,1.103994,-0.5716213,0.1843202,YES,0,5.234201,0,1.5,0.5,71.45438,50,REWARD
66.98667,NO,8,0.2392177,1.157336,-0.4959918,0.1080822,1.067279,-0.6662117,0.232984,NO,0.2092252,3.152463,0,1.5,0.5,71.50339,60,REWARD
71.28667,NO,9,0.2514398,1.251568,-0.5056037,0.1460346,1.141589,-0.6194514,0.190176,NO,0.1079482,4.468122,0,1.5,0.5,76.52219,70,REWARD
75.54222,NO,10,-0.1044676,1.160638,-0.4692255,-0.3169005,1.133277,-0.6127888,0.2578502,YES,0,5.764156,0,1.5,0.5,70.80591,90,REWARD
84.49778,NO,11,0.2101099,1.361565,-0.4645517,0.188006,1.228376,-0.5912708,0.1851638,NO,0.09969947,5.375716,0,1.5,0.5,82.01726,90,REWARD
88.12,NO,12,0.2059578,1.258665,-0.4976053,0.1346527,1.133222,-0.6398195,0.2025962,NO,0.1072531,5.049088,0,1.5,0.5,76.67136,100,REWARD
91.18667,NO,13,0.1748779,1.243864,-0.4973594,0.05782688,1.1193,-0.6092395,0.2042897,YES,0,5.095122,0,1.5,0.5,75.80451,120,REWARD
97.52,NO,14,0.2256258,1.196736,-0.4861103,0.115501,1.086986,-0.6152667,0.2021236,NO,0.1040971,4.729051,0,1.5,0.5,73.31187,130,REWARD
103.0756,NO,15,0.07465245,1.427511,-0.4856697,0.02634323,1.26864,-0.5650272,0.184042,YES,0,5.670783,0,1.5,0.5,85.80583,150,REWARD
106.5422,NO,16,0.150337,1.325896,-0.5056812,0.06304181,1.174579,-0.6037433,0.2003333,YES,0,5.601872,0,1.5,0.5,80.28415,170,REWARD
110.6422,NO,17,0.08425629,1.346632,-0.4919921,0.03019822,1.203484,-0.6010163,0.187883,YES,0,5.274515,0,1.5,0.5,81.24237,190,REWARD
114.0311,NO,18,0.248165,1.239009,-0.492432,0.1576582,1.111788,-0.6020056,0.190744,YES,0,5.154752,0,1.5,0.5,75.68771,200,REWARD
119.3644,NO,19,0.1509673,1.055218,-0.489586,0.007089257,0.978665,-0.7001675,0.2662814,NO,0.2579064,3.108124,0,1.5,0.5,66.04335,200,REWARD
124.6533,NO,20,0.04385373,1.330659,-0.4362674,0.07118762,1.322153,-0.6327475,0.1985546,YES,0,5.093324,0,1.5,0.5,79.75887,215,REWARD
130.1311,NO,21,0.05357289,1.386404,-0.4153883,0.07714868,1.359328,-0.5981474,0.1862519,NO,0.1531362,5.601567,0,1.5,0.5,82.93796,220,REWARD
133.6756,NO,22,0.211798,1.505463,-0.5423635,0.2088143,1.424645,-0.7245866,0.1993633,NO,0.2698161,4.290211,0,1.5,0.5,90.29429,230,REWARD
138.1311,NO,23,-0.3170382,1.073377,-0.3621564,-0.5602213,1.062114,-0.413884,0.2488788,YES,0,5.624671,0,1.5,0.5,65.08856,250,REWARD
143.1978,NO,24,0.1625894,1.370654,-0.4421992,0.1720824,1.290876,-0.598271,0.1755362,YES,0,5.40348,0,1.5,0.5,82.2957,265,REWARD
147.0533,NO,25,0.08097023,1.414865,-0.3875802,0.1022811,1.333271,-0.5738294,0.2044517,NO,0.3032303,5.695055,0,1.5,0.5,84.54359,270,REWARD
150.8311,NO,26,0.03222298,1.41312,-0.381727,0.06016326,1.374866,-0.5757786,0.19975,NO,0.340299,5.522316,0,1.5,0.5,84.37631,275,REWARD
154.6644,NO,27,0.06809819,1.173297,-0.317974,0.07078457,1.229272,-0.5366995,0.2257904,YES,0,5.471038,0,1.5,0.5,68.29604,295,REWARD
159.6978,NO,28,0.2149462,1.399681,-0.521752,0.2267424,1.337428,-0.7718581,0.258007,NO,0.146891,4.522052,0,1.5,0.5,84.51184,300,REWARD
166.7978,NO,29,0.1639915,1.228837,-0.4829994,0.2073771,1.271036,-0.7575146,0.2811079,NO,0.1125761,4.482901,0,1.5,0.5,74.77876,310,REWARD
170.5867,NO,30,0.03104206,1.464329,-0.4453217,0.02872193,1.375283,-0.6536598,0.2265818,NO,0.4099811,4.648713,0,1.5,0.5,87.84017,320,REWARD
174.8533,NO,31,0.04651225,1.447738,-0.4281029,0.08094323,1.348824,-0.6164323,0.2154935,NO,0.2843513,5.558586,0,1.5,0.5,86.78107,330,REWARD
179.7089,NO,32,0.07420374,1.328567,-0.4415742,0.1435547,1.281083,-0.6240357,0.2008894,YES,0,5.569158,0,1.5,0.5,79.71238,345,REWARD
183.6644,NO,33,0.03072747,1.325492,-0.4261099,0.08512914,1.289124,-0.6404902,0.2241452,NO,0.1619128,4.83287,0,1.5,0.5,79.33455,350,REWARD
187.3533,NO,34,0.1492205,1.47477,-0.5734614,0.1742496,1.38479,-0.7900558,0.2358727,YES,0,3.576814,0,1.5,0.5,88.66642,365,REWARD
192.1422,NO,35,0.1089616,1.39905,-0.5163773,0.1342106,1.32956,-0.7056679,0.2032172,YES,0,4.775042,0,1.5,0.5,84.35989,380,REWARD
197.02,NO,36,0.08370301,1.390458,-0.4541787,0.1464692,1.335765,-0.6709827,0.2322388,NO,0.1629118,5.10965,0,1.5,0.5,83.4758,390,REWARD
200.6533,NO,37,0.1562699,1.463677,-0.5694667,0.24698,1.34628,-0.8045231,0.2779601,YES,0,3.43604,0,1.5,0.5,88.07517,400,REWARD
205.6422,NO,38,0.1826476,1.529322,-0.5564204,0.2803305,1.424328,-0.7582909,0.2476236,NO,0.1011238,4.145111,0,1.5,0.5,91.56669,400,REWARD
208.92,NO,39,-0.3229977,1.247829,-0.3825013,-0.5696524,1.263291,-0.5212198,0.2834086,YES,0,6.19073,0,1.5,0.5,74.97926,415,REWARD
212.8756,NO,40,-0.3991315,1.246518,-0.3990458,-0.6291428,1.246684,-0.6566703,0.345363,NO,0.1759959,4.409228,0,1.5,0.5,75.54969,425,REWARD
216.4756,NO,41,-0.435087,1.31931,-0.3715223,-0.6874436,1.324332,-0.5765679,0.3251966,YES,0,5.338361,0,1.5,0.5,79.49129,445,REWARD
221.22,NO,42,-0.338757,1.304365,-0.4216257,-0.5678946,1.266348,-0.5866719,0.2849378,YES,0,6.196892,0,1.5,0.5,78.73199,465,REWARD
225.0756,NO,43,-0.2516431,1.25873,-0.4259891,-0.5127437,1.249648,-0.5449866,0.2870826,YES,0,6.159245,0,1.5,0.5,75.88641,485,REWARD
228.6867,NO,44,-0.3149417,1.390341,-0.3717973,-0.5174569,1.320414,-0.5203775,0.2607263,NO,0.2011454,5.738163,0,1.5,0.5,83.25314,495,REWARD
232.3311,NO,45,-0.3175934,1.355875,-0.3310011,-0.5780561,1.366746,-0.4745337,0.2975914,NO,0.155471,5.833415,0,1.5,0.5,80.79762,505,REWARD
235.7311,NO,46,-0.3755284,1.253161,-0.3518564,-0.6578768,1.217212,-0.537233,0.3396726,YES,0,5.26745,0,1.5,0.5,75.14997,525,REWARD
240.3311,NO,47,-0.2736724,1.311334,-0.3764164,-0.5353395,1.327213,-0.5226337,0.3001688,NO,0.1350153,6.330643,0,1.5,0.5,78.38821,530,REWARD
245.0756,NO,48,-0.4962891,1.284687,-0.4245403,-0.6990326,1.32484,-0.7312834,0.3698764,YES,0,4.107953,0,1.5,0.5,78.40429,540,REWARD
249.32,NO,49,-0.2910273,1.344665,-0.444054,-0.5630223,1.348367,-0.616107,0.3218652,NO,0.1174747,5.815573,0,1.5,0.5,81.06408,545,REWARD
252.7756,NO,50,-0.1783165,1.264459,-0.4204438,-0.4657835,1.252448,-0.6021725,0.340304,YES,0,5.414101,0,1.5,0.5,75.89753,555,REWARD
257.7422,NO,51,-0.1679571,1.249412,-0.5189709,-0.4332236,1.283116,-0.6619585,0.3032289,YES,0,5.316838,0,1.5,0.5,76.36087,565,REWARD
