Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
69.70682,1,-0.4299157,0.9652323,-1.254114,0,0,-0.1999189,1.10808,-1.48393,0,0,0
69.71773,1,-0.4478828,0.9512846,-1.228156,0,0,-0.2016288,1.107553,-1.483554,0,0,0
69.72847,1,-0.4652225,0.9366276,-1.200279,0,0,-0.2032018,1.106524,-1.482025,0,0,0
69.73971,1,-0.4823483,0.9217635,-1.172075,0,0,-0.2031432,1.107435,-1.483153,0,0,0
69.75085,1,-0.4987221,0.9064416,-1.144896,0,0,-0.2021931,1.108691,-1.484395,0,0,0
69.76225,1,-0.5148482,0.8917896,-1.115041,0,0,-0.2002498,1.110249,-1.486365,0,0,0
69.77347,1,-0.5301983,0.8782536,-1.084462,0,0,-0.199321,1.111075,-1.488333,0,0,0
69.78452,1,-0.5429072,0.8650939,-1.053511,0,0,-0.1966656,1.111947,-1.491747,0,0,0
69.79562,1,-0.5567563,0.8534684,-1.02087,0,0,-0.193799,1.112043,-1.495467,0,0,0
69.80686,1,-0.5671632,0.8473314,-0.9851744,0,0,-0.1906749,1.112073,-1.499635,0,0,0
69.81792,1,-0.5779194,0.8388928,-0.9504617,0,0,-0.1873568,1.111839,-1.503709,0,0,0
69.82961,1,-0.587557,0.832744,-0.9142156,0,0,-0.1842376,1.111437,-1.507479,0,0,0
69.84031,1,-0.5963472,0.8278458,-0.8776999,0,0,-0.1802634,1.110491,-1.511558,0,0,0
69.85196,1,-0.6060022,0.8245667,-0.839096,0,0,-0.1765867,1.109645,-1.515109,0,0,0
69.86279,1,-0.6119285,0.8235947,-0.8005642,0,0,-0.1724627,1.107865,-1.518332,0,0,0
69.87402,1,-0.616026,0.8266375,-0.7615188,0,0,-0.1678715,1.106087,-1.521354,0,0,0
69.8867,1,-0.6216991,0.8286637,-0.7219743,0,0,-0.1632749,1.104275,-1.524279,0,0,0
69.89619,1,-0.6245252,0.8322155,-0.6839112,0,0,-0.1584955,1.101935,-1.526923,0,0,0
69.90743,1,-0.6271375,0.8360744,-0.6465172,0,0,-0.1534662,1.099522,-1.529441,0,0,0
69.91869,1,-0.6293875,0.8386946,-0.6091207,0,0,-0.1485485,1.097155,-1.532007,0,0,0
69.92978,1,-0.6301979,0.8426341,-0.5719762,0,0,-0.1440028,1.094802,-1.534472,0,0,0
69.9426,1,-0.6301388,0.8487089,-0.535529,0,0,-0.1395894,1.092767,-1.537005,0,0,0
69.95201,1,-0.6286235,0.8533888,-0.4993906,0,0,-0.1353675,1.090768,-1.539167,0,0,0
69.96336,1,-0.6251554,0.8615248,-0.4642133,0,0,-0.1317551,1.088759,-1.541092,0,0,0
69.97449,1,-0.6200674,0.8729585,-0.4301904,0,0,-0.1284348,1.08696,-1.542781,0,0,0
69.98595,1,-0.6154985,0.8823258,-0.3952624,0,0,-0.125297,1.085026,-1.544449,0,0,0
69.99675,1,-0.6088759,0.893961,-0.3622628,0,0,-0.1217963,1.083426,-1.54636,0,0,0
70.00802,1,-0.6020168,0.9078885,-0.3302583,0,0,-0.1191307,1.081645,-1.547936,0,0,0
70.01906,1,-0.5946734,0.9218175,-0.298045,0,0,-0.116385,1.079908,-1.549421,0,0,0
70.03065,1,-0.5861919,0.9362799,-0.2671407,0,0,-0.1135696,1.078351,-1.551057,0,0,0
70.04178,1,-0.5746194,0.9546694,-0.240429,0,0,-0.1111966,1.077007,-1.552488,0,0,0
70.05275,1,-0.5644575,0.9709165,-0.2125626,0,0,-0.1089134,1.075794,-1.553707,0,0,0
70.06393,1,-0.5512171,0.9880812,-0.1882864,0,0,-0.1066482,1.074837,-1.554926,0,0,0
70.07516,1,-0.5392822,1.003978,-0.1624144,0,0,-0.1043516,1.07366,-1.556103,0,0,0
70.08635,1,-0.5262866,1.019996,-0.1399761,0,0,-0.1024464,1.072843,-1.556978,0,0,0
70.09752,1,-0.512556,1.035615,-0.117636,0,0,-0.1005914,1.072113,-1.557767,0,0,0
70.10883,1,-0.4991297,1.051104,-0.09625447,0,0,-0.09898365,1.07149,-1.55851,0,0,0
70.1199,1,-0.4856255,1.066164,-0.07545745,0,0,-0.09741628,1.070926,-1.559082,0,0,0
70.131,1,-0.4716173,1.080782,-0.05478585,0,0,-0.09559023,1.070581,-1.559875,0,0,0
70.14253,1,-0.456246,1.094489,-0.03754884,0,0,-0.09430623,1.07017,-1.560372,0,0,0
70.15302,1,-0.4412668,1.108176,-0.02047825,0,0,-0.09311354,1.069821,-1.56078,0,0,0
70.16454,1,-0.4266862,1.121145,-0.002526402,0,0,-0.09206736,1.069615,-1.56107,0,0,0
70.17564,1,-0.4102226,1.133696,0.01259518,0,0,-0.09089267,1.069437,-1.561146,0,0,0
70.18687,1,-0.3944095,1.147061,0.02701235,0,0,-0.08995724,1.06942,-1.561343,0,0,0
70.19807,1,-0.3788391,1.159217,0.04050064,0,0,-0.08946514,1.069378,-1.561148,0,0,0
70.20921,1,-0.3614633,1.17122,0.04922545,0,0,-0.08905661,1.069839,-1.561155,0,0,0
70.22057,1,-0.3450422,1.184311,0.05981278,0,0,-0.08871758,1.070374,-1.560987,0,0,0
70.23151,1,-0.3282031,1.195606,0.06707549,0,0,-0.08811319,1.071375,-1.561003,0,0,0
70.24319,1,-0.310286,1.206488,0.07260239,0,0,-0.08796406,1.072044,-1.560754,0,0,0
73.10207,2,-0.4484545,0.939957,-1.247327,0,0,-0.1977224,1.064704,-1.464642,0,0,0
73.11304,2,-0.4611968,0.9228144,-1.214719,0,0,-0.2015283,1.064375,-1.46368,0,0,0
73.12442,2,-0.4734591,0.9053125,-1.183013,0,0,-0.2050632,1.063154,-1.461627,0,0,0
73.13565,2,-0.4852847,0.8911974,-1.14447,0,0,-0.2065153,1.064734,-1.461217,0,0,0
73.14687,2,-0.4927856,0.8731093,-1.113299,0,0,-0.2080168,1.066887,-1.460413,0,0,0
73.15814,2,-0.5020071,0.8583968,-1.078312,0,0,-0.2088093,1.069511,-1.458613,0,0,0
73.16915,2,-0.5103074,0.8457861,-1.039915,0,0,-0.2090904,1.072916,-1.457221,0,0,0
73.18009,2,-0.5188386,0.8340805,-1.001068,0,0,-0.2096323,1.075915,-1.455241,0,0,0
73.19173,2,-0.5254604,0.8276447,-0.9597263,0,0,-0.2102185,1.078634,-1.454073,0,0,0
73.20277,2,-0.5306569,0.821202,-0.9198282,0,0,-0.2104105,1.080955,-1.453229,0,0,0
73.21384,2,-0.5362444,0.8128846,-0.8799989,0,0,-0.2107548,1.083208,-1.45227,0,0,0
73.22483,2,-0.5406681,0.8074384,-0.8393097,0,0,-0.2106048,1.084879,-1.451975,0,0,0
73.23613,2,-0.5458407,0.8011637,-0.7985324,0,0,-0.2100192,1.086497,-1.45202,0,0,0
73.24744,2,-0.547346,0.7998526,-0.7572823,0,0,-0.2092419,1.087796,-1.452248,0,0,0
73.25858,2,-0.5482841,0.7987878,-0.7156476,0,0,-0.2083523,1.088834,-1.452729,0,0,0
73.26953,2,-0.5507811,0.7977639,-0.674435,0,0,-0.2078568,1.089402,-1.452921,0,0,0
73.28072,2,-0.550331,0.8005165,-0.6327538,0,0,-0.2064997,1.089781,-1.453749,0,0,0
73.29214,2,-0.5494694,0.8025451,-0.5907718,0,0,-0.2050436,1.090038,-1.454507,0,0,0
73.30315,2,-0.5460407,0.810425,-0.5514964,0,0,-0.2032973,1.090237,-1.455533,0,0,0
73.31407,2,-0.5437616,0.8163452,-0.5099938,0,0,-0.201619,1.090074,-1.4566,0,0,0
73.32557,2,-0.5391104,0.8257943,-0.4707872,0,0,-0.1996444,1.089578,-1.457581,0,0,0
73.33672,2,-0.5338033,0.8374298,-0.432767,0,0,-0.1975855,1.088941,-1.458775,0,0,0
73.34826,2,-0.5273588,0.8495301,-0.3948752,0,0,-0.1956767,1.088492,-1.459892,0,0,0
73.35915,2,-0.5206121,0.8624284,-0.3591578,0,0,-0.1930671,1.086969,-1.461399,0,0,0
73.37062,2,-0.5133812,0.8764133,-0.3243526,0,0,-0.1908427,1.085512,-1.462912,0,0,0
73.38117,2,-0.5054867,0.8895642,-0.2892905,0,0,-0.1887556,1.083907,-1.464661,0,0,0
73.39226,2,-0.4963036,0.9054488,-0.2572205,0,0,-0.1867195,1.082207,-1.466408,0,0,0
73.4043,2,-0.4873368,0.9208043,-0.2245704,0,0,-0.1847091,1.080626,-1.468171,0,0,0
73.41484,2,-0.475606,0.9386321,-0.1955682,0,0,-0.1830366,1.078732,-1.470077,0,0,0
73.42588,2,-0.4648417,0.9564927,-0.167563,0,0,-0.1809478,1.077721,-1.472272,0,0,0
73.43697,2,-0.4544891,0.974696,-0.1390189,0,0,-0.179315,1.076634,-1.474382,0,0,0
73.44817,2,-0.4416186,0.9934199,-0.1135503,0,0,-0.177645,1.075692,-1.476413,0,0,0
73.46257,2,-0.4285381,1.013305,-0.09027803,0,0,-0.1760017,1.074983,-1.478489,0,0,0
73.46968,2,-0.4162964,1.032766,-0.06648564,0,0,-0.1746426,1.074116,-1.480388,0,0,0
73.48076,2,-0.4018788,1.052894,-0.04601681,0,0,-0.1731296,1.073848,-1.482334,0,0,0
73.49193,2,-0.3881341,1.072636,-0.02743483,0,0,-0.1712744,1.073882,-1.484378,0,0,0
73.50288,2,-0.3735471,1.092795,-0.01026171,0,0,-0.1696519,1.073758,-1.486361,0,0,0
73.51424,2,-0.3584929,1.112864,0.005440652,0,0,-0.1680219,1.07395,-1.488262,0,0,0
73.52538,2,-0.3435484,1.13282,0.02109742,0,0,-0.1662749,1.074278,-1.490368,0,0,0
73.53659,2,-0.3289703,1.15191,0.03332394,0,0,-0.1647809,1.074521,-1.492384,0,0,0
73.54768,2,-0.3138865,1.171584,0.04639804,0,0,-0.16333,1.075114,-1.49434,0,0,0
73.55927,2,-0.2982929,1.190363,0.0559634,0,0,-0.161755,1.075444,-1.49624,0,0,0
76.40841,3,-0.4807515,0.9610914,-1.276924,0,0,-0.206953,1.104737,-1.427065,0,0,0
76.4193,3,-0.4900352,0.9415587,-1.246971,0,0,-0.2109414,1.109457,-1.426043,0,0,0
76.43034,3,-0.5011965,0.9225656,-1.216617,0,0,-0.2145953,1.113374,-1.426105,0,0,0
76.44162,3,-0.5109417,0.9047089,-1.185222,0,0,-0.2181607,1.117803,-1.426446,0,0,0
76.4532,3,-0.5205014,0.8878968,-1.153113,0,0,-0.2212609,1.121136,-1.426229,0,0,0
76.46404,3,-0.5285996,0.873112,-1.116472,0,0,-0.2248049,1.125515,-1.426247,0,0,0
76.47668,3,-0.535406,0.8589975,-1.078721,0,0,-0.2277884,1.130569,-1.426601,0,0,0
76.48616,3,-0.5432563,0.8460867,-1.042887,0,0,-0.2304336,1.134552,-1.42631,0,0,0
76.49819,3,-0.5463386,0.8365915,-1.001061,0,0,-0.2325022,1.138057,-1.425988,0,0,0
76.50911,3,-0.5510345,0.8260291,-0.9613183,0,0,-0.2346722,1.141805,-1.425753,0,0,0
76.52,3,-0.5619334,0.8262036,-0.911283,0,0,-0.235654,1.14456,-1.426265,0,0,0
76.53104,3,-0.5636634,0.819623,-0.8702657,0,0,-0.2360898,1.146375,-1.42699,0,0,0
76.54295,3,-0.5651037,0.8142332,-0.829384,0,0,-0.2362107,1.147872,-1.428116,0,0,0
76.55328,3,-0.5668263,0.8084952,-0.7897571,0,0,-0.2361585,1.148767,-1.429276,0,0,0
76.56438,3,-0.5656015,0.8058636,-0.7494277,0,0,-0.2363335,1.149289,-1.430407,0,0,0
76.57613,3,-0.5647025,0.8047403,-0.7083743,0,0,-0.2358257,1.148826,-1.431928,0,0,0
76.58698,3,-0.5636195,0.8043299,-0.6671772,0,0,-0.2354217,1.147888,-1.433478,0,0,0
76.59814,3,-0.5606424,0.8068815,-0.6255034,0,0,-0.234964,1.146007,-1.435216,0,0,0
76.60946,3,-0.5567605,0.8110135,-0.5847385,0,0,-0.2343563,1.144348,-1.437028,0,0,0
76.62035,3,-0.5512518,0.8170251,-0.5428764,0,0,-0.2333208,1.141624,-1.439031,0,0,0
76.63152,3,-0.5471151,0.8221987,-0.5021816,0,0,-0.2320179,1.13878,-1.441253,0,0,0
76.64276,3,-0.538843,0.8328031,-0.4623806,0,0,-0.2304398,1.135643,-1.443504,0,0,0
76.65395,3,-0.5317239,0.8410449,-0.4237214,0,0,-0.2285581,1.132523,-1.445606,0,0,0
