Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle,Target Position X,Target Position Y,Target Position Z
72.38725,YES,1,-0.4116713,0.9786153,-1.282697,-0.1963737,1.109774,-1.485829,0.3237569,YES,0,2.957119,-0.2400512,1.664585,-0.719998,40.61646,10,FORCED,1,POLE,-0.2422532,1.239729,0.1455533
75.73786,YES,2,-0.4353851,0.9588602,-1.275396,-0.1921254,1.067535,-1.46774,0.3286059,YES,0,3.366677,-0.2400512,1.664585,-0.719998,39.83633,20,FORCED,1,POLE,-0.2422689,1.239593,0.1453836
79.11103,YES,3,-0.4692599,0.9813854,-1.302927,-0.2034014,1.100443,-1.429537,0.3176244,YES,0,3.148094,-0.2400512,1.664585,-0.719998,42.51532,30,FORCED,1,POLE,-0.2422391,1.239756,0.1451996
82.41731,YES,4,-0.4231782,0.960403,-1.286185,-0.2007202,1.079184,-1.450655,0.3010758,YES,0,3.129591,-0.2400512,1.664585,-0.719998,40.19934,40,FORCED,1,POLE,-0.2421095,1.239573,0.1452055
85.62315,YES,5,-0.4284378,0.967855,-1.283364,-0.1983249,1.094185,-1.453359,0.3127452,YES,0,3.186321,-0.2400512,1.664585,-0.719998,40.45078,50,FORCED,1,POLE,-0.242121,1.239622,0.1452481
97.35092,YES,6,-0.0709126,1.026089,-1.33231,0.01667607,1.12511,-1.605898,0.3038539,NO,0.1108569,3.066239,-0.2400512,1.664585,-0.719998,44.85369,50,FORCED,1,POLE,-0.2419688,1.239374,0.1451416
100.1003,YES,7,-0.1406615,0.9427888,-1.274445,-0.05955315,1.09967,-1.521663,0.3038202,YES,0,3.375581,-0.2400512,1.664585,-0.719998,37.96825,60,FORCED,1,POLE,-0.2418049,1.23942,0.1450057
103.3271,YES,8,-0.1461235,0.9881941,-1.320054,-0.01402724,1.129861,-1.554211,0.3038884,YES,0,2.857449,-0.2400512,1.664585,-0.719998,41.92217,70,FORCED,1,POLE,-0.2420768,1.239505,0.1452774
106.0522,YES,9,-0.09945405,1.017674,-1.319282,-0.01308858,1.141165,-1.579341,0.3005656,NO,0.1351592,3.01982,-0.2400512,1.664585,-0.719998,43.57727,70,FORCED,1,POLE,-0.2420441,1.239526,0.1451199
108.4089,YES,10,-0.1585149,0.9374963,-1.273495,-0.03274739,1.092825,-1.518258,0.3159963,YES,0,3.727363,-0.2400512,1.664585,-0.719998,37.57708,80,FORCED,1,POLE,-0.2420422,1.239485,0.1453004
