Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
16.58059,1,0.2133681,1.000243,-0.277329,0,0,-0.02120519,0.9786143,-0.3299521,-0.2029088,0.7785192,0.1240492
16.59189,1,0.2135741,0.9870157,-0.2725932,0,0,-0.02039683,0.9720488,-0.327538,-0.2025625,0.7784235,0.1243217
16.60421,1,0.2136459,0.9720075,-0.2678255,0,0,-0.01974213,0.9655418,-0.3250152,-0.2021962,0.7783204,0.1245686
16.61422,1,0.2134881,0.9554015,-0.2626949,0,0,-0.01908791,0.959089,-0.3225745,-0.2018688,0.7782289,0.1248341
16.62558,1,0.2130364,0.9374666,-0.2569119,0,0,-0.01852477,0.9525998,-0.3202224,-0.2014785,0.778074,0.1250544
16.63629,1,0.2122516,0.9184155,-0.2502601,0,0,-0.0179342,0.9465873,-0.3176212,-0.2010931,0.7779628,0.1252794
16.64753,1,0.211125,0.8984184,-0.2425986,0,0,-0.01718259,0.9408439,-0.3150057,-0.2007194,0.7778943,0.1255355
16.65911,1,0.2096529,0.8777498,-0.2337457,0,0,-0.01635683,0.9354808,-0.3121983,-0.2003536,0.777895,0.1258024
16.67018,1,0.2078232,0.8567062,-0.2235439,0,0,-0.01542258,0.9300201,-0.3096153,-0.1999353,0.7778088,0.1259909
16.68144,1,0.2056158,0.8356107,-0.2118278,0,0,-0.01428425,0.9252077,-0.3071998,-0.1995863,0.7776974,0.1262225
16.69238,1,0.2030015,0.8148368,-0.1984274,0,0,-0.01313245,0.920001,-0.3049573,-0.1992337,0.777539,0.1264284
16.70387,1,0.1999466,0.7947925,-0.1832074,0,0,-0.0118556,0.9153252,-0.3025069,-0.1988966,0.7773781,0.1266378
16.71487,1,0.1964229,0.7758518,-0.1661259,0,0,-0.01062214,0.9107352,-0.3001997,-0.1985822,0.7772756,0.1268764
16.72589,1,0.1924229,0.758237,-0.1472922,0,0,-0.009308934,0.9068108,-0.2977785,-0.1982539,0.7772447,0.1270971
