Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle,Target Position X,Target Position Y,Target Position Z
32.87778,NO,1,0.02334165,1.177071,-0.404819,-0.08869445,1.246344,-0.5680116,0.2097204,NO,0.1267206,1.546212,0,1.5,0.5,70.36462,0,NONE,2,POLE,0,0.6,1
35.38889,NO,2,0.06070396,1.096432,-0.4311342,-0.06035221,1.188397,-0.5954815,0.2238802,NO,0.145603,1.005148,0,1.5,0.5,66.61163,0,NONE,2,POLE,0,0.6,1
38.02222,NO,3,-0.04867521,1.165019,-0.4178106,-0.1553589,1.230915,-0.617751,0.2360079,YES,0,0.8856208,0,1.5,0.5,69.97494,10,NONE,2,POLE,0,0.6,1
40.72222,NO,4,-0.03050981,1.233344,-0.4423015,-0.1673704,1.270733,-0.6229347,0.2296892,NO,0.116229,0.8460236,0,1.5,0.5,74.20721,10,NONE,2,POLE,0,0.6,1
44.03333,NO,5,-0.04094174,1.168749,-0.4300509,-0.1477032,1.222578,-0.6184965,0.2231754,NO,0.170308,1.224109,0,1.5,0.5,70.41344,10,NONE,2,POLE,0,0.6,1
46.8,NO,6,-0.05202157,1.207523,-0.435026,-0.1567749,1.242584,-0.6219246,0.2171027,YES,0,0.4456436,0,1.5,0.5,72.65549,20,NONE,2,POLE,0,0.6,1
49.33334,NO,7,-0.007078209,1.195209,-0.4617654,-0.1477942,1.266397,-0.6451232,0.2418447,YES,0,0.989593,0,1.5,0.5,72.41663,30,NONE,2,POLE,0,0.6,1
50.98889,NO,8,-0.01875114,1.184226,-0.4636738,-0.1627967,1.223871,-0.6406256,0.2315877,NO,0.5936439,0.8741886,0,1.5,0.5,71.86041,30,NONE,2,POLE,0,0.6,1
53.64445,NO,9,-0.1216405,1.144308,-0.4624442,-0.2325715,1.174869,-0.6545486,0.223928,NO,0.2021865,2.001593,0,1.5,0.5,69.86431,30,NONE,2,POLE,0,0.6,1
55.35556,NO,10,0.09987023,1.238262,-0.4537448,-0.07355607,1.281459,-0.5996537,0.2307209,NO,0.5418355,0.3458869,0,1.5,0.5,74.73354,30,NONE,2,POLE,0,0.6,1
58.9,NO,11,-0.06277272,1.17386,-0.4316564,-0.1466761,1.224095,-0.6197366,0.2119846,NO,0.1184328,0.9888793,0,1.5,0.5,70.74709,30,NONE,2,POLE,0,0.6,1
61.4,NO,12,-0.01223676,1.151412,-0.4452265,-0.1516236,1.240049,-0.6178557,0.2389267,YES,0,0.7918323,0,1.5,0.5,69.7582,40,NONE,2,POLE,0,0.6,1
64.58889,NO,13,0.03631939,1.096975,-0.4328486,-0.1091901,1.200802,-0.6107639,0.2522044,NO,0.2216833,1.192547,0,1.5,0.5,66.64966,40,NONE,2,POLE,0,0.6,1
67.23334,NO,14,0.02022971,1.05526,-0.436124,-0.1291739,1.184728,-0.5876865,0.249108,YES,0,0.4046678,0,1.5,0.5,64.5934,50,NONE,2,POLE,0,0.6,1
69.34444,NO,15,0.02033985,1.041094,-0.3980315,-0.09888017,1.158322,-0.5370673,0.2174552,NO,0.1929623,0.2146699,0,1.5,0.5,62.93832,50,NONE,2,POLE,0,0.6,1
72.02222,NO,16,-0.1112624,1.075803,-0.4147068,-0.2258795,1.165366,-0.5722021,0.214391,YES,0,1.100172,0,1.5,0.5,65.28059,60,NONE,2,POLE,0,0.6,1
74.84444,NO,17,-0.0001723906,1.168494,-0.4533625,-0.1524808,1.217803,-0.6026851,0.2189212,NO,0.5138039,0.9502638,0,1.5,0.5,70.82628,60,NONE,2,POLE,0,0.6,1
76.53333,NO,18,-0.01674305,1.062166,-0.3967738,-0.1641101,1.177854,-0.557799,0.2470424,NO,0.5515132,0.7975711,0,1.5,0.5,63.98079,60,NONE,2,POLE,0,0.6,1
80.14445,NO,19,-0.0125396,1.187265,-0.4742806,-0.1672305,1.220248,-0.6179093,0.2136502,NO,0.1068061,1.531125,0,1.5,0.5,72.20522,60,NONE,2,POLE,0,0.6,1
83.15556,NO,20,-0.1366126,1.162039,-0.4598768,-0.255374,1.198454,-0.6419705,0.2204278,YES,0,1.507256,0,1.5,0.5,70.78273,70,NONE,2,POLE,0,0.6,1
85.1,NO,21,-0.05490199,1.176207,-0.4591421,-0.2012006,1.212719,-0.6312439,0.2288132,NO,0.5689777,0.8410803,0,1.5,0.5,71.37443,70,NONE,2,POLE,0,0.6,1
87.4,NO,22,-0.01814723,1.060579,-0.4146535,-0.1399088,1.180542,-0.5578941,0.2230132,NO,0.554669,0.5415692,0,1.5,0.5,64.34367,70,NONE,2,POLE,0,0.6,1
90.76667,NO,23,-0.03346753,1.389988,-0.4735774,-0.1995858,1.37509,-0.5918732,0.2044777,NO,0.5483089,0.4601593,0,1.5,0.5,83.55685,70,NONE,2,POLE,0,0.6,1
93.8,NO,24,0.03819872,1.161503,-0.441311,-0.1247351,1.267028,-0.5588342,0.2269241,NO,0.5351582,1.188217,0,1.5,0.5,70.23634,70,NONE,2,POLE,0,0.6,1
97.60001,NO,25,-0.004460425,1.220018,-0.4258119,-0.1287606,1.244967,-0.5947367,0.2112074,NO,0.137863,1.386882,0,1.5,0.5,73.17392,70,NONE,2,POLE,0,0.6,1
