Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
6961.98,1,0.7789185,0.7668769,-0.1053004,0,0,0.8554097,0.7241954,0.7364144,0,0,0
6961.991,1,0.7787194,0.7666371,-0.1052279,0,0,0.8541427,0.7170683,0.7396574,0,0,0
6962.001,1,0.7785436,0.7671793,-0.1052814,0,0,0.8539143,0.7108136,0.742384,0,0,0
6962.013,1,0.7787787,0.7667198,-0.1052656,0,0,0.8576992,0.7068598,0.744899,0,0,0
6962.023,1,0.7791243,0.7668022,-0.1052487,0,0,0.859988,0.7039813,0.7463692,0,0,0
6962.035,1,0.7793218,0.7670385,-0.1051977,0,0,0.8623492,0.7007473,0.7481526,0,0,0
6962.046,1,0.7794731,0.7669322,-0.105135,0,0,0.8651013,0.6997689,0.7490413,0,0,0
6962.058,1,0.779617,0.7667778,-0.1050887,0,0,0.8671557,0.699126,0.7492503,0,0,0
6962.069,1,0.7798671,0.7666382,-0.1051164,0,0,0.8683061,0.6986505,0.7482929,0,0,0
6962.081,1,0.7798875,0.7667876,-0.1053977,0,0,0.8694894,0.6975802,0.7467086,0,0,0
6962.091,1,0.7799129,0.7666837,-0.105392,0,0,0.8705674,0.6968902,0.7459038,0,0,0
6962.102,1,0.7800077,0.7664509,-0.1054215,0,0,0.8716865,0.6963179,0.7446277,0,0,0
6962.113,1,0.7799436,0.7662605,-0.1051412,0,0,0.8723761,0.6960361,0.7435789,0,0,0
6962.125,1,0.7798271,0.7663221,-0.105154,0,0,0.8735806,0.6958593,0.7426271,0,0,0
6962.136,1,0.7798084,0.766214,-0.105103,0,0,0.8744744,0.6963938,0.7415593,0,0,0
6962.146,1,0.7798048,0.7661082,-0.1050808,0,0,0.8754962,0.6965438,0.7409146,0,0,0
6962.158,1,0.7797698,0.7661384,-0.1050117,0,0,0.8763285,0.6968027,0.7401648,0,0,0
6962.169,1,0.7799371,0.7663941,-0.1050146,0,0,0.8765417,0.6968782,0.7394733,0,0,0
6962.18,1,0.78015,0.7662822,-0.1050122,0,0,0.8769081,0.6968343,0.7390193,0,0,0
6962.191,1,0.7802373,0.7664808,-0.1049592,0,0,0.8767022,0.6966654,0.7385367,0,0,0
6962.203,1,0.7803064,0.7665738,-0.104939,0,0,0.8768307,0.6964314,0.7380786,0,0,0
6962.214,1,0.7802385,0.7666717,-0.1049738,0,0,0.8766025,0.696193,0.7381468,0,0,0
6962.225,1,0.7801109,0.7666584,-0.1049569,0,0,0.8761354,0.695886,0.7380875,0,0,0
6962.236,1,0.7799783,0.7666467,-0.1049399,0,0,0.8755904,0.6953126,0.7385116,0,0,0
6962.248,1,0.7798029,0.7666279,-0.1049178,0,0,0.8747209,0.6946734,0.7394087,0,0,0
6962.259,1,0.7796394,0.7666459,-0.1048801,0,0,0.8740289,0.6940613,0.7399037,0,0,0
6962.27,1,0.7795821,0.7665701,-0.1048882,0,0,0.8731122,0.6932477,0.7409108,0,0,0
