Time,Ball X,Ball Y,Ball Z
755.2109,0.6793547,0.7741805,-0.8867471
755.222,0.6584613,0.7663045,-0.9148235
755.2335,0.6382344,0.7579526,-0.9482977
755.2443,0.6180944,0.7506144,-0.9811866
755.2558,0.6008118,0.7510951,-1.016917
755.2668,0.5832977,0.7503434,-1.049408
755.2781,0.5644876,0.7452282,-1.084133
755.2894,0.5479236,0.742399,-1.120239
755.3004,0.5457574,0.7832789,-1.071143
755.3115,0.5331594,0.7833588,-1.107717
755.3231,0.5149671,0.7780463,-1.144369
755.3342,0.5026825,0.7798061,-1.180705
755.345,0.4907028,0.7816496,-1.218354
755.3561,0.4798926,0.7846867,-1.254622
755.3674,0.4687131,0.7882656,-1.29342
755.3784,0.4590306,0.7940782,-1.329283
755.39,0.4515279,0.8016413,-1.365412
755.4011,0.4433277,0.8094122,-1.402877
755.4121,0.4411357,0.8244871,-1.436224
755.4232,0.4353017,0.8350285,-1.471452
755.4344,0.4313131,0.8498154,-1.505301
755.4413,0.4295833,0.859235,-1.525169
755.4568,0.428439,0.8827453,-1.568883
755.4678,0.4276382,0.899838,-1.599247
755.4792,0.4269781,0.9152603,-1.630311
755.4902,0.4284779,0.9338243,-1.658292
755.5015,0.4306766,0.9497007,-1.686988
755.5126,0.4331158,0.9665395,-1.712977
755.5238,0.4363426,0.9843615,-1.738451
755.5349,0.4426029,0.9982519,-1.76436
755.5464,0.4461753,1.01592,-1.787616
755.5573,0.4377887,1.039329,-1.801757
755.5684,0.4434004,1.05434,-1.823265
755.5797,0.4510255,1.072253,-1.842212
755.5913,0.4574966,1.088745,-1.861324
755.6024,0.4659449,1.105946,-1.878442
755.6132,0.4751478,1.123012,-1.894072
755.6247,0.4850117,1.139579,-1.908097
755.6356,0.4954401,1.155999,-1.921156
755.6489,0.5056309,1.171971,-1.934002
755.6581,0.5173174,1.187218,-1.944276
755.6691,0.5293022,1.201516,-1.953326
755.6804,0.5417076,1.215541,-1.961325
755.6912,0.5545145,1.228775,-1.968028
755.7025,0.5675668,1.24125,-1.97383
755.7136,0.5801967,1.253425,-1.979736
755.725,0.5938497,1.264148,-1.98431
755.7361,0.6073906,1.273459,-1.988432
755.7561,0.621116,1.281766,-1.992031
755.7599,0.6345825,1.289573,-1.996123
755.7698,0.6482071,1.296015,-1.999903
755.7808,0.6618918,1.300567,-2.003041
755.792,0.6753951,1.305766,-2.007123
755.8032,0.6889784,1.308067,-2.012158
755.8145,0.703015,1.310479,-2.013512
755.8253,0.7178046,1.31068,-2.015758
755.8368,0.7313451,1.3112,-2.019932
755.8481,0.7457634,1.308438,-2.020639
755.8594,0.7602975,1.306767,-2.022263
755.8704,0.7739282,1.3027,-2.024697
755.8813,0.7882242,1.297915,-2.02491
755.8923,0.8032267,1.291843,-2.024927
755.9035,0.8169255,1.285034,-2.025468
755.915,0.8312405,1.278988,-2.023589
755.928,0.8457944,1.270984,-2.019698
755.9368,0.8595631,1.262408,-2.015908
755.9493,0.8738148,1.253243,-2.009361
755.9594,0.8890094,1.243656,-2.003724
755.9708,0.902431,1.233289,-1.99708
755.9825,0.9173912,1.221595,-1.988354
755.993,0.9307132,1.209646,-1.978083
756.0045,0.9436859,1.197698,-1.969042
756.0158,0.9566114,1.183556,-1.95736
756.0263,0.9707012,1.168778,-1.945537
756.0375,0.9830601,1.153332,-1.933897
756.0492,0.9953184,1.137369,-1.919371
756.06,1.008995,1.120906,-1.904375
756.0712,1.021169,1.104679,-1.88987
756.0829,1.032586,1.087262,-1.872146
756.0936,1.04516,1.069891,-1.853777
756.1053,1.056337,1.052211,-1.833732
756.116,1.066898,1.034238,-1.813739
756.1268,1.078,1.015785,-1.792859
756.138,1.088142,0.9979616,-1.771095
756.1509,1.097247,0.980207,-1.746895
756.1611,1.106653,0.9620481,-1.722344
756.1716,1.115242,0.9446965,-1.697492
