Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
757.2328,YES,1,0.9307223,1.078248,-0.5172856,0.8228785,1.162136,-0.4309499,0.161621,NO,0.07753292
760.2377,YES,2,0.9099006,1.083735,-0.4874787,0.7987759,1.159693,-0.4365051,0.1439328,YES,0
763.3759,YES,3,0.8658477,1.02035,-0.5370624,0.7816913,1.099235,-0.4627569,0.1372094,YES,0
767.9566,YES,4,0.9510693,1.043573,-0.5049186,0.8188573,1.114403,-0.4705377,0.1538796,YES,0
771.5311,YES,5,0.930015,1.032961,-0.5027943,0.8210247,1.087665,-0.4748964,0.1250988,YES,0
776.4575,YES,6,0.9227908,1.001481,-0.5588708,0.8404798,1.102478,-0.4897285,0.1474998,NO,0.1809891
779.3947,YES,7,1.021373,1.46047,0.3466852,0.8785778,1.119674,-0.4406459,0.8697256,NO,0.1745844
781.4171,YES,8,0.8263021,1.247237,-0.8279526,0.888037,1.068113,-0.5285997,0.3542718,YES,0
785.2371,YES,9,1.843834,0.9864713,-4.070232,0.6712407,0.9184419,-0.6126442,3.651646,NO,0.8168463
786.8457,YES,10,0.9620614,1.011189,-0.5325646,0.8383452,1.089376,-0.5089855,0.1482388,YES,0
791.8513,YES,11,0.3641345,1.299921,-0.4003487,0.7999524,1.112717,-0.4678533,0.4791028,NO,0.1450765
794.4524,YES,12,3.501941,-0.680589,-0.878207,0.8145558,1.140273,-0.4462893,3.274772,NO,0.1530115
796.8993,YES,13,0.9128233,1.048281,-0.5261548,0.8285159,1.130217,-0.4512918,0.1393757,NO,0.1139189
799.6919,YES,14,1.311325,0.6170793,-0.5721006,0.8188009,1.120425,-0.4624989,0.7127061,NO,0.06629482
802.3073,YES,15,0.7833697,0.8192039,-1.346746,0.8209823,1.082276,-0.4951136,0.8921322,NO,0.3355523
809.4772,YES,16,0.7873936,1.072104,-0.5256944,0.8002641,1.107194,-0.480031,0.05900931,YES,0
812.3031,YES,17,1.688074,0.5819392,-0.7996221,0.8019066,1.109723,-0.4550111,1.087477,YES,0
821.5965,YES,18,0.9389912,1.453596,0.2448668,0.8064392,1.059104,-0.4960971,0.8498361,YES,0
826.7123,YES,19,0.4408867,1.263872,-0.2812619,0.7693838,1.071797,-0.4937503,0.4358377,YES,0
833.4829,YES,20,0.04358315,1.166719,-1.012282,0.8141079,1.066494,-0.8370373,0.7965326,YES,0
