Time,Ball X,Ball Y,Ball Z
156.8351,0.7735209,0.8389761,-0.9623241
156.8459,0.7743055,0.8385042,-0.9651155
156.8573,0.7750944,0.8380424,-0.9678996
156.8685,0.7759666,0.8374889,-0.970701
156.8793,0.7769045,0.8369156,-0.9735286
156.8913,0.7779389,0.8363723,-0.9763567
156.9021,0.7789755,0.835796,-0.9791915
156.9129,0.7801687,0.8352147,-0.9821353
156.9244,0.7814597,0.8346386,-0.9851193
156.9353,0.782858,0.8340381,-0.9881365
156.9471,0.7843516,0.8334259,-0.9912958
156.9577,0.7858474,0.8328131,-0.9944742
156.9689,0.7875504,0.8321288,-0.9978602
156.9799,0.7894281,0.8313843,-1.00132
156.9919,0.7912791,0.8306215,-1.004796
157.0025,0.7937511,0.8297441,-1.008589
157.0136,0.7963489,0.8288752,-1.012398
157.0249,0.7990602,0.8280013,-1.016282
157.036,0.8023552,0.8271264,-1.020398
157.0473,0.8060293,0.8262004,-1.024624
157.0586,0.8099187,0.8252497,-1.028962
157.0694,0.8137192,0.8243754,-1.033206
157.0806,0.8177907,0.8235608,-1.037549
157.0919,0.8218618,0.8228152,-1.041709
157.1035,0.8257566,0.8220739,-1.045781
157.1141,0.8297215,0.8213623,-1.049695
157.1251,0.8335108,0.8206235,-1.053668
157.1367,0.8371727,0.8198485,-1.057566
157.1474,0.8408139,0.8192106,-1.061166
157.159,0.8443828,0.8185698,-1.064664
157.1705,0.8477997,0.8178518,-1.068024
157.1811,0.8511318,0.8170627,-1.071335
157.1921,0.8544368,0.8162364,-1.074555
157.2032,0.8576625,0.815444,-1.077783
157.2148,0.8609304,0.8147479,-1.081026
157.2271,0.864141,0.8139412,-1.084499
157.237,0.8673738,0.8131918,-1.087915
157.2481,0.8708255,0.8125584,-1.091111
157.2592,0.8743346,0.8119771,-1.094423
157.271,0.8778927,0.8115901,-1.097611
157.2819,0.8813844,0.8112316,-1.100728
157.2928,0.884755,0.8108684,-1.10394
157.304,0.8881037,0.8105185,-1.107138
157.3156,0.8912776,0.8104168,-1.11041
157.3264,0.8943549,0.810081,-1.113841
157.3375,0.897287,0.8100392,-1.117178
157.3486,0.9004389,0.8098722,-1.120423
157.3598,0.9036146,0.8098351,-1.12367
157.371,0.906855,0.809886,-1.126933
157.3821,0.9101989,0.809824,-1.130202
157.3934,0.9135746,0.809705,-1.133536
157.4044,0.917208,0.8096528,-1.136883
157.4157,0.917208,0.8096528,-1.136883
157.427,0.917208,0.8096528,-1.136883
157.4378,0.917208,0.8096528,-1.136883
157.4492,0.917208,0.8096528,-1.136883
157.4601,0.917208,0.8096528,-1.136883
157.4713,0.917208,0.8096528,-1.136883
157.4826,0.917208,0.8096528,-1.136883
157.494,0.917208,0.8096528,-1.136883
157.5051,0.917208,0.8096528,-1.136883
157.5162,0.917208,0.8096528,-1.136883
157.5285,0.917208,0.8096528,-1.136883
157.5387,0.917208,0.8096528,-1.136883
157.5498,0.917208,0.8096528,-1.136883
157.561,0.917208,0.8096528,-1.136883
157.5721,0.917208,0.8096528,-1.136883
157.5834,0.917208,0.8096528,-1.136883
157.5949,0.917208,0.8096528,-1.136883
157.6064,0.917208,0.8096528,-1.136883
157.6169,0.917208,0.8096528,-1.136883
157.628,0.917208,0.8096528,-1.136883
157.6392,0.917208,0.8096528,-1.136883
157.651,0.917208,0.8096528,-1.136883
157.6614,0.917208,0.8096528,-1.136883
157.6726,0.917208,0.8096528,-1.136883
157.6841,0.917208,0.8096528,-1.136883
157.6962,0.917208,0.8096528,-1.136883
157.7065,0.917208,0.8096528,-1.136883
157.7173,0.917208,0.8096528,-1.136883
157.7295,0.917208,0.8096528,-1.136883
157.7402,0.917208,0.8096528,-1.136883
157.7508,0.917208,0.8096528,-1.136883
157.7629,0.917208,0.8096528,-1.136883
157.7731,0.917208,0.8096528,-1.136883
157.786,0.917208,0.8096528,-1.136883
157.7966,0.917208,0.8096528,-1.136883
157.8069,0.917208,0.8096528,-1.136883
157.8176,0.917208,0.8096528,-1.136883
157.8302,0.917208,0.8096528,-1.136883
157.8399,0.917208,0.8096528,-1.136883
157.8511,0.917208,0.8096528,-1.136883
157.8621,0.917208,0.8096528,-1.136883
157.8734,0.917208,0.8096528,-1.136883
157.8859,0.917208,0.8096528,-1.136883
157.8957,0.917208,0.8096528,-1.136883
157.9071,0.917208,0.8096528,-1.136883
157.9185,0.917208,0.8096528,-1.136883
157.9292,0.917208,0.8096528,-1.136883
157.9407,0.917208,0.8096528,-1.136883
157.9518,0.917208,0.8096528,-1.136883
157.9626,0.917208,0.8096528,-1.136883
157.9749,0.917208,0.8096528,-1.136883
157.9853,0.917208,0.8096528,-1.136883
157.9963,0.917208,0.8096528,-1.136883
158.0086,0.917208,0.8096528,-1.136883
158.0184,0.917208,0.8096528,-1.136883
158.03,0.917208,0.8096528,-1.136883
158.041,0.917208,0.8096528,-1.136883
158.052,0.917208,0.8096528,-1.136883
158.0638,0.917208,0.8096528,-1.136883
158.0744,0.917208,0.8096528,-1.136883
158.0856,0.917208,0.8096528,-1.136883
158.097,0.917208,0.8096528,-1.136883
158.108,0.917208,0.8096528,-1.136883
158.1191,0.917208,0.8096528,-1.136883
158.1302,0.917208,0.8096528,-1.136883
158.1422,0.917208,0.8096528,-1.136883
158.1525,0.917208,0.8096528,-1.136883
158.1643,0.917208,0.8096528,-1.136883
158.175,0.917208,0.8096528,-1.136883
158.1861,0.917208,0.8096528,-1.136883
158.198,0.917208,0.8096528,-1.136883
158.2088,0.917208,0.8096528,-1.136883
158.2195,0.917208,0.8096528,-1.136883
158.2327,0.917208,0.8096528,-1.136883
158.2421,0.917208,0.8096528,-1.136883
158.2532,0.917208,0.8096528,-1.136883
158.2643,0.917208,0.8096528,-1.136883
158.2758,0.917208,0.8096528,-1.136883
158.2867,0.917208,0.8096528,-1.136883
158.2978,0.917208,0.8096528,-1.136883
158.3089,0.917208,0.8096528,-1.136883
158.3201,0.917208,0.8096528,-1.136883
158.3314,0.917208,0.8096528,-1.136883
158.3434,0.917208,0.8096528,-1.136883
158.3539,0.917208,0.8096528,-1.136883
158.3649,0.917208,0.8096528,-1.136883
158.3763,0.917208,0.8096528,-1.136883
158.3883,0.917208,0.8096528,-1.136883
158.4004,0.917208,0.8096528,-1.136883
158.4094,0.917208,0.8096528,-1.136883
