Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
161.4596,YES,1,0.930894,1.034516,-0.6286144,0.8537201,1.061978,-0.5734763,0.09874284,YES,0
167.9496,YES,2,0.1114521,2.085153,-0.7813239,0.8697768,1.063666,-0.5548053,1.292208,NO,0.1954368
168.8206,YES,3,-1.133521,3.228906,-1.481052,0.7396715,0.9654775,-0.6765361,3.046179,NO,1.661032
170.731,YES,4,0.2199876,0.8769685,-0.6234441,0.8291552,1.143494,-0.4951818,0.6771795,YES,0
173.8925,YES,5,0.9307714,1.041834,-0.586525,0.8833722,1.086126,-0.5540659,0.07254004,NO,1.348452
177.2007,YES,6,0.9441423,1.109162,-0.5126874,0.8412722,1.013959,-0.6443641,0.1923136,NO,0.1520959
182.6272,YES,7,0.499634,0.8804446,-1.187154,0.7349761,0.9946353,-0.9187753,0.3747699,NO,0.1125824
184.8609,YES,8,2.330285,-0.2386806,-2.185786,0.7609285,0.9896363,-0.6620884,2.508644,NO,0.2624189
186.8165,YES,9,0.7937329,1.089053,-0.5374084,0.8035566,1.145949,-0.5218651,0.05979269,NO,0.07486621
189.2746,YES,10,2.035665,-0.08654141,-1.537859,0.7841671,1.05495,-0.6229804,1.925163,NO,0.1309082
191.1503,YES,11,2.307152,0.4885707,-0.8182602,0.820135,1.064736,-0.6429899,1.60434,NO,0.5599734
192.4798,YES,12,1.488928,0.3003187,-1.523697,0.6491338,0.9837532,-0.6490049,1.391914,NO,1.240316
194.5573,YES,13,2.186084,0.7469124,-0.2354996,0.7653614,1.05236,-0.6052163,1.499481,NO,0.6107798
197.7416,YES,14,2.047757,0.7286515,-0.2252114,0.7672255,1.030794,-0.6467347,1.381569,NO,0.4739257
202.9574,YES,15,0.6190902,1.849774,-0.3426797,0.8314596,1.079209,-0.5426931,0.8239393,NO,0.2481362
205.561,YES,16,0.8439636,0.7968916,-0.8021045,0.6663355,1.043459,-0.6330056,0.3477666,NO,0.1695127
207.8409,YES,17,0.9578182,2.042951,-0.5237384,0.852947,1.133361,-0.5250292,0.9156166,NO,0.2027292
210.2183,YES,18,1.839769,1.245289,0.0300982,0.7911228,1.195041,-0.55774,1.20322,NO,0.1046202
212.6206,YES,19,0.8693796,1.151187,-0.5822816,0.8313269,1.124664,-0.5796511,0.04645892,NO,0.1388815
216.2286,YES,20,-0.9055209,2.490281,-0.3324535,0.7480565,0.9453405,-0.6852868,2.290339,NO,0.2305751
226.0368,YES,21,0.9659978,1.107907,-0.4847333,0.8795995,1.149165,-0.5181425,0.1014053,NO,0.06801096
228.3037,YES,22,0.9055263,1.150905,-0.461628,0.8165405,1.204673,-0.5085728,0.1140756,NO,0.09316325
230.7618,YES,23,0.8481343,1.012236,-0.6048751,0.8031034,1.091972,-0.593502,0.09227631,YES,0
237.1397,YES,24,0.8313959,1.05662,-0.4937689,0.7920998,1.07936,-0.5927546,0.1089011,NO,0.06851454
243.0714,YES,25,0.7662041,0.6415544,-1.301513,0.7953211,1.079796,-0.590472,0.8357531,NO,0.1653352
