Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
48.05539,YES,1,0.8771449,1.064447,-0.66903,0.8089992,1.095548,-0.5176814,0.1688713,NO,0.1426353
50.69148,YES,2,0.07743716,1.209211,-0.639724,0.7032313,0.8773698,-0.9578371,0.7764876,NO,0.2085513
54.74607,YES,3,0.5365918,0.5016789,-1.482423,0.8808079,1.047125,-0.5884511,1.102353,NO,0.08105256
59.09201,YES,4,0.8247267,1.201023,-0.6352205,0.9071471,1.193455,-0.4815602,0.1745334,NO,0.1868185
61.84448,YES,5,0.8651079,0.7768608,-0.6601322,0.7761949,0.9727796,-0.605947,0.2218687,NO,0.06838024
64.15246,YES,6,0.8970461,1.098475,0.002401829,0.835767,1.055583,-0.5644019,0.5717179,NO,0.1078345
67.97205,YES,7,0.8923102,1.022659,-0.6326671,0.8381092,1.150264,-0.4853098,0.2023238,NO,0.3479253
70.25135,YES,8,0.8834439,0.9989946,-0.5106084,0.8598049,0.9655471,-0.7348983,0.2279989,YES,0
75.75949,YES,9,0.9138815,1.022975,-0.5294302,0.841113,1.143418,-0.4813612,0.1487023,NO,0.1074102
78.17165,YES,10,-0.3225038,1.705712,-0.1403537,0.8264019,1.097302,-0.5645952,1.367526,NO,0.08427453
80.71809,YES,11,4.023099,-0.5323391,-0.9576752,0.8273713,1.03534,-0.6003807,3.577422,YES,0
84.19264,YES,12,0.4294093,1.29639,-1.829303,0.7976149,0.8579394,-0.5885606,1.366475,NO,0.4357148
85.6544,YES,13,0.8624848,0.9364088,-0.6715872,0.7555928,1.057404,-0.583941,0.1837052,NO,0.1800182
88.0574,YES,14,0.7340506,0.9082538,-0.6449907,0.8000202,1.096337,-0.5592806,0.2169643,YES,0
90.48128,YES,15,0.6736353,1.020755,-0.6792624,0.7192689,1.07078,-0.5611923,0.1361083,YES,0
95.34066,YES,16,0.4031512,1.349039,-0.4543564,0.7729225,1.082967,-0.5227666,0.4606577,NO,0.1058391
97.54105,YES,17,3.24501,0.244899,-0.023283,0.7908708,0.987166,-0.6657703,2.643208,YES,0
104.7576,YES,18,4.104902,-0.2958887,0.7996536,0.8283147,1.030731,-0.6376753,3.816,NO,3.34339
105.4277,YES,19,4.104902,-0.2958887,0.7996536,0.8283147,1.030731,-0.6376753,3.816,NO,4.57609
107.6841,YES,20,0.05175483,1.718674,-0.8171682,0.8183993,1.192776,-0.4319663,1.006327,NO,0.08811276
110.99,YES,21,3.261669,-0.4928463,-1.780295,0.7526088,1.09661,-0.716238,3.154992,NO,0.4642786
112.0851,YES,22,0.339076,1.282522,-0.6604495,0.8078739,1.002631,-0.6650381,0.5460142,NO,1.287244
114.476,YES,23,1.622942,0.1858509,-0.6284091,0.7419856,1.047793,-0.5504947,1.234949,NO,0.300163
123.9816,YES,24,1.69407,-0.8253627,-4.736876,0.8046601,0.7701683,-1.306056,3.886811,NO,0.3290587
125.2999,YES,25,1.69407,-0.8253627,-4.736876,0.8046601,0.7701683,-1.306056,3.886811,NO,3.541327
