Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
2845.296,1,0.6184489,0.9894966,0.5215912,0,0,0.9425915,0.9620444,0.5807691,0,0,0
2845.308,1,0.6184489,0.9894966,0.5215912,0,0,0.9556276,0.9640701,0.5776763,0,0,0
2845.32,1,0.6184489,0.9894966,0.5215912,0,0,0.9673846,0.9682727,0.5753427,0,0,0
2845.33,1,0.6184489,0.9894966,0.5215912,0,0,0.9817168,0.9833989,0.5878055,0,0,0
2845.341,1,0.6184489,0.9894966,0.5215912,0,0,0.9904146,0.9898796,0.5872021,0,0,0
2845.352,1,0.6184489,0.9894966,0.5215912,0,0,1.000632,0.9942478,0.5878651,0,0,0
2845.362,1,0.6184489,0.9894966,0.5215912,0,0,1.007878,0.9990659,0.5910952,0,0,0
2845.374,1,0.6184489,0.9894966,0.5215912,0,0,1.015651,1.002659,0.5921311,0,0,0
2845.386,1,0.6184489,0.9894966,0.5215912,0,0,1.020955,1.0067,0.5946465,0,0,0
2845.398,1,0.6184489,0.9894966,0.5215912,0,0,1.025239,1.011077,0.5977423,0,0,0
2845.408,1,0.6184489,0.9894966,0.5215912,0,0,1.030145,1.015952,0.6006396,0,0,0
2845.419,1,0.6184489,0.9894966,0.5215912,0,0,1.031018,1.021083,0.6043887,0,0,0
2845.43,1,0.6184489,0.9894966,0.5215912,0,0,1.033453,1.025472,0.6068099,0,0,0
2845.441,1,0.6184489,0.9894966,0.5215912,0,0,1.034324,1.030656,0.6095161,0,0,0
2845.452,1,0.6184489,0.9894966,0.5215912,0,0,1.034342,1.034786,0.6115842,0,0,0
2845.464,1,0.6184489,0.9894966,0.5215912,0,0,1.033962,1.03839,0.612781,0,0,0
2845.475,1,1.3407,0.9100311,0.1851053,0,0,1.03318,1.041208,0.6142395,0,0,0
2845.487,1,1.370944,0.9050754,0.1636999,0,0,1.032526,1.043418,0.6155207,0,0,0
2845.497,1,1.403439,0.9012569,0.1381438,0,0,1.031761,1.044993,0.6159606,0,0,0
2845.508,1,1.42882,0.8980858,0.1156871,0,0,1.030437,1.045216,0.616482,0,0,0
2845.52,1,1.456196,0.895012,0.09249115,0,0,1.030175,1.046717,0.6173861,0,0,0
2845.531,1,1.472538,0.8937591,0.05602169,0,0,1.029128,1.046189,0.6170082,0,0,0
2845.542,1,1.498064,0.8907853,0.03108144,0,0,1.027816,1.045451,0.617099,0,0,0
2845.554,1,1.521358,0.888914,0.005334854,0,0,1.026973,1.044936,0.6172259,0,0,0
2845.564,1,1.52431,0.8952742,-0.02270651,0,0,1.026039,1.044575,0.616931,0,0,0
2845.575,1,1.543008,0.8955564,-0.04905057,0,0,1.024539,1.043069,0.6166589,0,0,0
2845.586,1,1.561799,0.895769,-0.07535505,0,0,1.023544,1.042162,0.6165071,0,0,0
2845.597,1,1.536082,0.9141368,-0.1036768,0,0,1.022247,1.040505,0.6156952,0,0,0
2845.609,1,1.549958,0.9155569,-0.129951,0,0,1.020899,1.038803,0.615279,0,0,0
2845.62,1,1.56148,0.9171978,-0.1559634,0,0,1.019805,1.036981,0.6147487,0,0,0
2845.631,1,1.518496,0.9407096,-0.1838341,0,0,1.01852,1.035197,0.6135426,0,0,0
2845.642,1,1.526497,0.9426075,-0.2101023,0,0,1.017018,1.032915,0.6128476,0,0,0
2845.653,1,1.531283,0.9438316,-0.2358716,0,0,1.015824,1.031012,0.6122358,0,0,0
2845.665,1,1.499139,0.9628676,-0.2602804,0,0,1.014321,1.02893,0.6113451,0,0,0
2845.675,1,1.495923,0.9643567,-0.2854033,0,0,1.012614,1.026436,0.6105483,0,0,0
2845.687,1,1.498947,0.9649539,-0.3111079,0,0,1.011273,1.024345,0.6097717,0,0,0
2845.698,1,1.462981,0.9809957,-0.3332081,0,0,1.009672,1.022452,0.6087315,0,0,0
2845.71,1,1.457588,0.9828632,-0.3577683,0,0,1.007773,1.019988,0.6079106,0,0,0
2845.72,1,1.453349,0.9847674,-0.3821068,0,0,1.006407,1.018045,0.6072047,0,0,0
