Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
2847.697,NO,1,0.6184489,0.9894966,0.5215912,0.9266661,0.9591429,0.5817947,0.3155055,NO,0.278517,0,1.021838,1.692282,-0.0613389,45.24792,0,NONE,1,POLE
2851.295,NO,2,0.8540962,1.130626,0.3523688,0.6695923,0.9910862,0.5471461,0.302409,NO,0.2492937,0.4316275,1.021838,1.692282,-0.0613389,38.47871,0,NONE,1,POLE
2855.528,NO,3,1.016967,1.088102,0.3729775,1.067372,1.05022,0.6663604,0.3000821,NO,0.1548145,4.220744,1.021838,1.692282,-0.0613389,35.7123,0,NONE,1,POLE
2858.119,NO,4,0.4200598,0.9409798,0.4277072,0.6847551,0.8572905,0.566504,0.3103741,NO,0.09035955,3.360083,1.021838,1.692282,-0.0613389,45.90569,0,NONE,1,POLE
2863.324,NO,5,0.491242,0.9562402,0.4331703,0.7598893,0.9135813,0.576005,0.3072343,NO,0.2188698,3.209675,1.021838,1.692282,-0.0613389,44.57916,0,NONE,1,POLE
2866.32,NO,6,0.5110481,0.9506651,0.4432113,0.765831,0.8986242,0.5969014,0.302065,NO,0.1747039,3.224149,1.021838,1.692282,-0.0613389,44.07173,0,NONE,1,POLE
2868.798,NO,7,0.557485,0.8509332,0.147763,0.9685152,0.923475,0.5912464,0.6090038,NO,0.3373819,1.635322,1.021838,1.692282,-0.0613389,31.18617,0,NONE,1,POLE
2871.01,NO,8,0.4478103,0.9324638,0.4218066,0.7106024,0.8672509,0.5680728,0.3077438,NO,0.543461,3.69669,1.021838,1.692282,-0.0613389,44.63855,0,NONE,1,POLE
2876.428,NO,9,0.5064136,0.9195249,0.4261677,0.7693024,0.8691621,0.57054,0.3041221,NO,0.103929,3.715496,1.021838,1.692282,-0.0613389,42.55447,0,NONE,1,POLE
2884.46,NO,10,0.4194313,0.9576217,0.4857888,0.6460578,0.8496152,0.656409,0.3035395,YES,0,3.79953,1.021838,1.692282,-0.0613389,47.92517,10,NONE,1,POLE
2884.651,NO,11,0.7429989,0.790044,-0.1919439,0.7179435,1.072447,0.6572208,0.895243,NO,0.8040442,0.07136801,1.021838,1.692282,-0.0613389,18.84344,10,NONE,1,POLE
2884.818,NO,12,0.7391567,0.7892369,-0.1748912,0.7059706,1.076812,0.6596272,0.8833016,NO,0.8190832,0.1681715,1.021838,1.692282,-0.0613389,18.64145,10,NONE,1,POLE
2884.99,NO,13,0.740005,0.7893758,-0.1520472,0.6981168,1.075846,0.6567121,0.8590177,NO,0.8386965,0.2107858,1.021838,1.692282,-0.0613389,18.15475,10,NONE,1,POLE
2885.176,NO,14,0.7542775,0.7881819,-0.1355431,0.6957558,1.077068,0.6407583,0.8303758,NO,0.8551375,0.06530296,1.021838,1.692282,-0.0613389,17.07233,10,NONE,1,POLE
2885.343,NO,15,0.7531452,0.7877679,-0.1219494,0.7097625,1.033795,0.6537147,0.8149026,NO,0.8669341,0.09095144,1.021838,1.692282,-0.0613389,16.93663,10,NONE,1,POLE
2885.543,NO,16,0.759681,0.7873083,-0.114691,0.7134194,0.9883302,0.7010871,0.8414535,NO,0.8738316,0.06466064,1.021838,1.692282,-0.0613389,16.46887,10,NONE,1,POLE
2885.744,NO,17,0.7640134,0.7844276,-0.1102231,0.7104283,0.9654044,0.7120517,0.8436586,NO,0.879828,0.06222872,1.021838,1.692282,-0.0613389,16.1221,10,NONE,1,POLE
2885.946,NO,18,0.7618881,0.7763453,-0.1088614,0.6789997,0.9478731,0.7128372,0.8434933,NO,0.8841684,0.04988913,1.021838,1.692282,-0.0613389,16.09345,10,NONE,1,POLE
2886.102,NO,19,0.7609286,0.7895516,-0.08676696,0.6311812,0.9341568,0.7286747,0.8382661,NO,0.8912835,0.02541986,1.021838,1.692282,-0.0613389,16.19286,10,NONE,1,POLE
2886.27,NO,20,0.7619774,0.7883953,-0.09455347,0.5655866,0.928986,0.7336619,0.8627142,NO,0.8817148,0.07479765,1.021838,1.692282,-0.0613389,16.16324,10,NONE,1,POLE
2886.493,NO,21,0.76184,0.7877585,-0.1061134,0.4953799,0.9354273,0.7526231,0.9111726,NO,0.8690139,0.07786863,1.021838,1.692282,-0.0613389,16.26054,10,NONE,1,POLE
2886.66,NO,22,0.7558004,0.7873716,-0.1199949,0.4832468,0.9330425,0.7966707,0.9673578,NO,0.8599794,0.07292397,1.021838,1.692282,-0.0613389,16.75464,10,NONE,1,POLE
2886.852,NO,23,0.7538584,0.7865059,-0.1305301,0.4951325,0.926537,0.8360088,1.010319,NO,0.8498117,0.06485601,1.021838,1.692282,-0.0613389,16.991,10,NONE,1,POLE
2887.063,NO,24,0.7503939,0.7818967,-0.1442618,0.5388045,0.9006166,0.9024425,1.074455,NO,0.8428434,0.06746447,1.021838,1.692282,-0.0613389,17.31573,10,NONE,1,POLE
2887.33,NO,25,0.7475601,0.7741965,-0.1567338,0.5029587,0.9674165,0.915656,1.116774,NO,0.8387478,0.03968292,1.021838,1.692282,-0.0613389,17.55234,10,NONE,1,POLE
