Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
879.5707,YES,1,0.6187361,0.9933399,-0.6823058,1.282002,0.8558347,-0.7329392,0.6792597,YES,0
880.722,YES,2,0.3238102,1.175391,-0.5653074,1.986968,0.7390414,-0.8345304,1.740395,NO,1.337222
888.7087,YES,3,0.9434513,0.8897306,-0.7214503,-0.5146282,1.636637,-0.1824644,1.724637,NO,0.09737132
894.6738,YES,4,0.8568454,0.8808646,-0.7436354,0.9929669,0.8965231,-0.7175801,0.1394745,YES,0
898.7953,YES,5,0.9771139,0.8193674,-0.7805367,1.371825,0.7844151,-0.7963607,0.3965711,NO,0.1361713
901.7664,YES,6,0.8207809,0.9255756,-0.6956048,2.994814,-0.09317255,-1.25673,2.465589,YES,0
901.9339,YES,7,0.8583795,0.9089912,-0.7009523,3.769042,-0.4761548,-1.482009,3.31672,NO,1.331737
905.5211,YES,8,0.7889398,0.9527663,-1.575185,4.033687,-0.5997312,-1.552202,3.597104,NO,0.4928374
907.8105,YES,9,0.947091,0.8365989,-0.7958992,1.062249,0.8670012,-0.7416775,0.1308653,NO,0.148191
920.333,YES,10,0.8339061,0.7882941,0.2445059,0.9496123,0.9353279,-0.6980698,0.9609661,NO,0.1342309
924.1748,YES,11,0.5366187,1.555055,-3.575059,0.8739465,1.049474,-0.5429521,3.092422,YES,0
926.6124,YES,12,2.028821,-0.01172137,2.93187,1.035931,0.9755088,-0.5681033,3.769651,NO,0.2000483
957.4077,YES,13,1.107709,0.9009327,-0.7461419,0.9152471,0.9928782,-0.5860126,0.2667153,NO,1.055166
959.5524,YES,14,1.148778,0.8788143,-0.7757235,0.514406,1.028897,-0.5258069,0.6981483,NO,1.310928
961.0608,YES,15,1.275539,0.8211457,-0.8070629,0.514406,1.028897,-0.5258069,0.8376092,NO,1.306882
961.8421,YES,16,1.275539,0.8211457,-0.8070629,0.514406,1.028897,-0.5258069,0.8376092,NO,1.335509
964.4118,YES,17,1.275539,0.8211457,-0.8070629,0.514406,1.028897,-0.5258069,0.8376092,NO,1.335518
965.5063,YES,18,1.275539,0.8211457,-0.8070629,0.514406,1.028897,-0.5258069,0.8376092,NO,1.335505
966.1876,YES,19,1.275539,0.8211457,-0.8070629,0.514406,1.028897,-0.5258069,0.8376092,NO,1.335499
966.77,YES,20,1.275539,0.8211457,-0.8070629,0.514406,1.028897,-0.5258069,0.8376092,NO,1.335539
