Time,Ball X,Ball Y,Ball Z
1006.638,0.8140987,0.8587474,0.5148149
1006.65,0.8150341,0.8585949,0.5252628
1006.661,0.8154994,0.8582437,0.5355017
1006.672,0.8096857,0.860708,0.5504432
1006.684,0.8100489,0.8603114,0.5606964
1006.694,0.8099527,0.8596978,0.5709288
1006.705,0.8038689,0.8617939,0.5856147
1006.717,0.8037617,0.8612812,0.5960488
1006.728,0.8033715,0.8606795,0.6067026
1006.74,0.7976434,0.8624456,0.6211193
1006.75,0.7968457,0.8617953,0.6320412
1006.761,0.7958999,0.8611436,0.6430128
1006.772,0.7915697,0.8613997,0.6557953
1006.784,0.7903368,0.8607857,0.6668344
1006.795,0.788594,0.8602252,0.6781282
1006.808,0.7881954,0.8592095,0.6887593
1006.817,0.7862459,0.8587024,0.7003047
1006.829,0.7842855,0.858254,0.7118201
1006.84,0.7832316,0.8572409,0.7228168
1006.851,0.781176,0.8567535,0.7345226
1006.864,0.7788563,0.8563442,0.7464159
1006.875,0.7770027,0.8554796,0.7581003
1006.884,0.7746683,0.8549833,0.7701442
1006.896,0.7721474,0.8545212,0.782282
1006.908,0.769163,0.8538768,0.7947463
1006.917,0.766596,0.8533181,0.8067677
1006.929,0.7640315,0.8527907,0.8188202
1006.941,0.7614467,0.8519127,0.8308343
1006.951,0.7589381,0.8513663,0.8428518
1006.963,0.7564835,0.8508413,0.8549048
1006.975,0.7536469,0.8502518,0.8672518
1006.984,0.7513829,0.8497806,0.8793504
1006.996,0.7491104,0.8492712,0.8915551
1007.008,0.7469187,0.8485036,0.9036688
1007.018,0.7447664,0.8480846,0.9157693
1007.03,0.7426178,0.8476824,0.9287373
1007.04,0.7406673,0.8469337,0.9403288
1007.052,0.7385247,0.846644,0.9532204
1007.065,0.7365687,0.8465286,0.9667619
1007.074,0.735659,0.8458337,0.9781709
1007.086,0.7338885,0.8458736,0.9915767
1007.096,0.7321481,0.8458542,1.004975
1007.109,0.731692,0.8452888,1.016615
1007.119,0.7302374,0.8454796,1.030207
1007.13,0.7288796,0.8456601,1.043841
1007.141,0.7287242,0.8451551,1.055178
1007.153,0.7274116,0.8453411,1.068855
1007.164,0.7262596,0.8455791,1.082665
1007.175,0.7262985,0.8450212,1.094432
1007.186,0.7251275,0.8452481,1.10822
1007.197,0.7254027,0.844723,1.120197
1007.209,0.7243031,0.8449985,1.134229
1007.219,0.7233289,0.8453238,1.14841
1007.231,0.7224222,0.8457732,1.16255
1007.242,0.7229732,0.84527,1.174218
1007.253,0.7221724,0.8457713,1.188163
1007.264,0.7212965,0.8463033,1.202392
1007.276,0.7223217,0.8458142,1.214282
1007.286,0.7215239,0.8463966,1.228569
1007.297,0.7228181,0.8457266,1.239926
1007.309,0.7219387,0.8461279,1.254308
1007.32,0.7209882,0.8465916,1.268677
1007.332,0.7199406,0.8469874,1.283119
1007.343,0.7203162,0.8463775,1.295197
1007.353,0.7190952,0.8467208,1.309744
1007.367,0.7177668,0.8469465,1.324625
1007.376,0.7177405,0.8463148,1.336515
1007.387,0.7163177,0.8465568,1.351216
1007.398,0.7145544,0.8466628,1.366329
1007.409,0.7139782,0.8461145,1.378722
1007.421,0.7121059,0.8463309,1.393692
1007.432,0.7101245,0.8464711,1.408821
1007.443,0.7102917,0.84523,1.421872
1007.454,0.7080231,0.8453727,1.437102
1007.465,0.7052871,0.8453721,1.451178
1007.476,0.7028339,0.8455288,1.466608
1007.487,0.7001179,0.8457549,1.482151
1007.499,0.6973429,0.8459115,1.497976
1007.51,0.6931677,0.8465151,1.512766
1007.522,0.6900871,0.8467162,1.528799
1007.532,0.6869991,0.846851,1.544928
1007.543,0.683385,0.8469548,1.559978
1007.555,0.6801344,0.8470467,1.576308
1007.566,0.6767706,0.8470577,1.5925
1007.577,0.6733781,0.8466518,1.607543
1007.588,0.6697093,0.8465096,1.624029
1007.599,0.6658869,0.8462721,1.640667
1007.61,0.6617321,0.8459368,1.656664
1007.622,0.6576302,0.8456725,1.673299
1007.632,0.6532102,0.8454237,1.690153
1007.644,0.6492422,0.8447914,1.705757
1007.655,0.6447649,0.8445417,1.7226
1007.667,0.6402166,0.8443921,1.739519
1007.678,0.6361111,0.8437726,1.755294
1007.688,0.6316255,0.8436677,1.772116
1007.7,0.6270674,0.8436009,1.789083
1007.711,0.6224713,0.8432251,1.805383
1007.722,0.6178728,0.8431815,1.822454
1007.733,0.6133654,0.8430603,1.839354
1007.744,0.6099725,0.8422223,1.854839
1007.756,0.6056363,0.8420973,1.871705
1007.766,0.601444,0.841893,1.88865
1007.778,0.5981422,0.8411487,1.904648
1007.789,0.5942219,0.8408664,1.921495
1007.8,0.5904508,0.8405367,1.938377
1007.812,0.587591,0.8396672,1.953786
1007.823,0.5840647,0.839358,1.970643
1007.834,0.5808855,0.8391616,1.987695
1007.846,0.5786887,0.8382425,2.003061
1007.857,0.5757471,0.8379637,2.019912
1007.869,0.5730182,0.8374201,2.03646
1007.878,0.5714737,0.8361176,2.050852
1007.889,0.5692223,0.8355492,2.067186
1007.9,0.5668985,0.8353319,2.083814
1007.912,0.5652694,0.8346742,2.097655
1007.923,0.5627058,0.8336982,2.114261
1007.934,0.561975,0.8324435,2.127066
1007.945,0.5591933,0.8322002,2.1438
1007.956,0.5566826,0.8316028,2.160143
1007.968,0.5542576,0.8311098,2.177307
1007.979,0.5537853,0.8299242,2.193693
1007.99,0.551245,0.8295759,2.210705
1008.001,0.5513713,0.8276744,2.226318
1008.013,0.5491186,0.827238,2.243225
1008.023,0.5470572,0.8264844,2.259752
1008.035,0.5449834,0.8257117,2.276567
1008.046,0.5454528,0.823449,2.289835
1008.057,0.5434249,0.8225942,2.306146
1008.068,0.5449156,0.8195391,2.31871
1008.08,0.5432042,0.8184251,2.335357
1008.092,0.5413529,0.8175989,2.351944
1008.102,0.5443209,0.8139943,2.364497
1008.113,0.5427843,0.8129036,2.381471
1008.125,0.541351,0.8120013,2.398626
1008.136,0.5398405,0.8109847,2.414352
1008.148,0.5386854,0.8100989,2.431528
1008.158,0.5377129,0.8092325,2.449321
1008.17,0.5373853,0.8087492,2.46645
1008.18,0.5363867,0.808319,2.485021
1008.191,0.5354542,0.8078474,2.5031
1008.204,0.5351744,0.8064718,2.519084
1008.214,0.5341036,0.8058577,2.536987
1008.225,0.5330252,0.8054004,2.554807
1008.236,0.532016,0.8051832,2.573085
1008.247,0.5309693,0.8046118,2.590865
1008.259,0.529668,0.80468,2.608965
1008.269,0.5282966,0.8047355,2.627385
1008.282,0.5279351,0.8039762,2.644883
1008.292,0.5267819,0.8038787,2.663471
1008.303,0.5265352,0.8031243,2.681251
1008.314,0.5253533,0.803158,2.700548
1008.326,0.5240471,0.8031324,2.720068
1008.337,0.5237521,0.8023375,2.738206
1008.348,0.5224758,0.8018012,2.757791
1008.359,0.5211888,0.8010606,2.777478
1008.372,0.5210083,0.7996609,2.795286
1008.381,0.5196753,0.7990004,2.815041
1008.393,0.5183384,0.798474,2.83477
1008.404,0.5174654,0.7973543,2.853433
1008.416,0.5160051,0.7967654,2.873426
1008.427,0.5144439,0.7962562,2.893599
1008.438,0.5129007,0.7957464,2.913617
1008.449,0.512019,0.7947102,2.93263
1008.46,0.510196,0.7944928,2.952864
1008.471,0.5083657,0.7939879,2.97306
1008.483,0.5065369,0.7938085,2.993473
1008.494,0.5047209,0.7935627,3.01391
1008.505,0.5029954,0.7929792,3.034259
1008.516,0.5010954,0.7927191,3.054802
1008.527,0.4991747,0.7924728,3.07531
1008.538,0.497728,0.7917937,3.095237
1008.549,0.4957428,0.7914023,3.115786
1008.56,0.4937608,0.790974,3.136344
1008.572,0.4924884,0.7899191,3.156388
1008.584,0.4903461,0.7892749,3.177136
1008.594,0.488179,0.7886794,3.197704
1008.605,0.487097,0.7874172,3.217526
1008.616,0.4848294,0.7866842,3.238338
1008.628,0.4824418,0.7858778,3.259185
1008.639,0.4817219,0.7842612,3.279143
1008.65,0.47932,0.7834226,3.30001
1008.661,0.4768835,0.7826142,3.321021
1008.672,0.4740251,0.7817496,3.342025
1008.683,0.4715132,0.7809743,3.363164
1008.695,0.4690357,0.7801489,3.38428
1008.706,0.4692298,0.7780076,3.404672
1008.717,0.4667194,0.7771173,3.425951
1008.728,0.464184,0.7764204,3.447056
1008.739,0.4635471,0.77434,3.468218
1008.751,0.4610915,0.7734963,3.489521
1008.762,0.4599359,0.7720592,3.510921
1008.773,0.4575269,0.7713157,3.532326
1008.784,0.4551424,0.7704643,3.553908
1008.795,0.4537535,0.7690767,3.575736
1008.806,0.4514072,0.7682585,3.597429
1008.818,0.4491398,0.7673835,3.619348
1008.828,0.4473199,0.7661104,3.641793
1008.84,0.4451417,0.7652335,3.663835
1008.851,0.4430597,0.7643596,3.686004
1008.862,0.4410481,0.7635291,3.708204
1008.875,0.4400188,0.7619376,3.731291
1008.884,0.4379961,0.76108,3.753741
1008.896,0.4367048,0.759627,3.777283
1008.907,0.4344729,0.7588973,3.800378
1008.918,0.4320161,0.7582345,3.823846
1008.929,0.4295093,0.7575864,3.847409
1008.941,0.4266726,0.7569854,3.872777
1008.951,0.4242001,0.7564746,3.8968
1008.963,0.4220001,0.755931,3.921105
1008.974,0.4203622,0.7548233,3.946499
1008.985,0.4183788,0.7541012,3.970456
1008.996,0.4167656,0.7525679,3.997656
1009.008,0.4149503,0.7518009,4.021399
1009.018,0.4131255,0.7511485,4.045309
1009.03,0.4114139,0.7506027,4.069133
1009.041,0.4095223,0.7494206,4.097309
1009.052,0.4077057,0.7489958,4.12144
1009.063,0.4056541,0.7478855,4.15031
1009.074,0.4036762,0.7475705,4.174858
1009.086,0.4016623,0.7472742,4.199269
1009.098,0.3995727,0.7471328,4.224007
1009.108,0.3972465,0.7465283,4.251381
1009.121,0.3951788,0.7462187,4.276379
1009.13,0.3931198,0.7459229,4.301017
1009.141,0.3906733,0.7453481,4.327947
1009.153,0.388551,0.7450502,4.352886
1009.163,0.386426,0.7447262,4.378307
1009.175,0.383436,0.7440604,4.407268
1009.186,0.3813175,0.743784,4.43294
1009.197,0.3792529,0.7435123,4.458773
1009.208,0.3774283,0.7431209,4.485132
1009.22,0.3754854,0.7427493,4.511122
1009.231,0.3729841,0.7425423,4.53762
1009.242,0.3711315,0.7420552,4.563929
1009.253,0.3692259,0.7415987,4.590287
1009.264,0.3673086,0.7411008,4.616827
1009.275,0.3651122,0.7405885,4.644464
1009.287,0.3632917,0.7400788,4.671539
1009.299,0.360958,0.7393647,4.700966
1009.309,0.3590087,0.7389737,4.727819
1009.321,0.3570574,0.738556,4.754845
1009.332,0.3551244,0.7381237,4.782641
1009.343,0.352712,0.7375221,4.811866
1009.354,0.3506871,0.7371809,4.83898
1009.365,0.3486826,0.7368976,4.866327
1009.378,0.3453431,0.7364045,4.898991
1009.388,0.3434034,0.7360094,4.926454
1009.398,0.3415015,0.7358019,4.954112
1009.409,0.339417,0.7356774,4.983209
1009.421,0.3375714,0.7357523,5.010957
1009.432,0.3356695,0.7358564,5.038793
1009.443,0.3329926,0.7360075,5.067986
1009.454,0.330984,0.7359015,5.095916
1009.465,0.3288891,0.7356783,5.124066
1009.476,0.3260675,0.7353703,5.154202
1009.488,0.3240539,0.7350909,5.181965
1009.499,0.3221481,0.7347237,5.209887
1009.51,0.3195391,0.7345366,5.238411
1009.521,0.3178868,0.7340122,5.266182
1009.532,0.3163547,0.7334534,5.29391
1009.543,0.313785,0.7330649,5.322808
1009.555,0.3125445,0.7323853,5.35009
1009.566,0.3112205,0.7312897,5.378309
1009.577,0.3088749,0.7311857,5.407462
1009.588,0.3078259,0.73062,5.435522
1009.6,0.3066767,0.7299035,5.465313
1009.61,0.304658,0.7292931,5.494517
1009.621,0.3033484,0.7280991,5.522686
1009.633,0.3022425,0.7269112,5.551162
1009.645,0.2997702,0.7263908,5.582158
1009.656,0.2985702,0.725744,5.611537
1009.666,0.2974712,0.7250065,5.641075
1009.678,0.2946907,0.724787,5.670493
1009.688,0.2933725,0.7240084,5.699368
1009.7,0.2917139,0.7232412,5.728436
1009.711,0.2883108,0.723051,5.758508
1009.722,0.2864117,0.7222531,5.787709
1009.733,0.2843145,0.7214923,5.817134
1009.744,0.2800196,0.7215689,5.847039
1009.756,0.2777767,0.7208602,5.876285
1009.767,0.2738016,0.7206795,5.906536
1009.778,0.2712697,0.7198468,5.936074
1009.789,0.2687356,0.7189373,5.965567
1009.8,0.2661113,0.7180117,5.995094
1009.811,0.2615954,0.7177739,6.025576
1009.823,0.2587126,0.7166951,6.055259
1009.834,0.25577,0.7154398,6.084752
1009.845,0.2479365,0.7157861,6.118343
1009.856,0.2447358,0.7141662,6.147998
1009.868,0.241848,0.7123177,6.177279
1009.88,0.2385169,0.710534,6.207013
1009.89,0.2352102,0.7087971,6.236815
1009.901,0.2318062,0.706926,6.266779
1009.912,0.2285306,0.7050066,6.295758
1009.923,0.2251259,0.7029227,6.325826
1009.935,0.2201269,0.7015671,6.35565
1009.946,0.2165852,0.6994632,6.385859
1009.957,0.2130131,0.6973912,6.416195
1009.968,0.2060227,0.6969466,6.446428
1009.979,0.2023437,0.6948684,6.47703
1009.99,0.1987145,0.692789,6.507545
1010.001,0.1909424,0.692654,6.538123
1010.012,0.1872082,0.6906682,6.568903
1010.024,0.1834395,0.6888472,6.599803
1010.035,0.1834395,0.6888472,6.599803
1010.047,0.1834395,0.6888472,6.599803
1010.057,0.1834395,0.6888472,6.599803
1010.069,0.1834395,0.6888472,6.599803
1010.081,0.1834395,0.6888472,6.599803
1010.091,0.1834395,0.6888472,6.599803
1010.102,0.1834395,0.6888472,6.599803
1010.115,0.1834395,0.6888472,6.599803
1010.124,0.1834395,0.6888472,6.599803
1010.135,0.1834395,0.6888472,6.599803
1010.147,0.1834395,0.6888472,6.599803
1010.158,0.1834395,0.6888472,6.599803
1010.169,0.1834395,0.6888472,6.599803
1010.18,0.1834395,0.6888472,6.599803
