Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
7632.204,NO,1,0.2135599,1.015428,0.3238661,0.4271967,1.056359,0.5618126,0.3223889,YES,0,3.84744,0.7246184,1.776885,0.001106739,38.44262,10,NONE,1,POLE
7635.98,NO,2,0.2206091,0.9583567,0.2827072,0.4567791,0.9764254,0.4888587,0.3140083,YES,0,4.047504,0.7246184,1.776885,0.001106739,35.19695,20,NONE,1,POLE
7639.252,NO,3,6.615972,-2.346538,0.9999322,0.7982227,0.9853407,0.6955857,6.711203,NO,0.08838169,0,0.7246184,1.776885,0.001106739,55.39186,20,NONE,1,POLE
7642.581,NO,4,0.4942346,1.210861,0.5214155,0.7945689,1.002171,0.7007765,0.4073363,NO,0.2353098,0,0.7246184,1.776885,0.001106739,45.15191,20,NONE,1,POLE
7645.218,NO,5,0.5077976,0.7805965,0.2014084,0.5689619,0.8509355,0.5221,0.3339637,NO,0.2240275,4.573794,0.7246184,1.776885,0.001106739,16.50357,20,NONE,1,POLE
7648.178,NO,6,0.4565409,0.7659657,0.2117803,0.5401095,0.8522539,0.5112987,0.3227082,YES,0,5.166426,0.7246184,1.776885,0.001106739,18.63773,30,NONE,1,POLE
7651.305,NO,7,0.4001264,0.8191328,0.2984526,0.566159,0.8437183,0.5479078,0.3006645,NO,0.1574117,3.640439,0.7246184,1.776885,0.001106739,24.68063,30,NONE,1,POLE
7653.584,NO,8,0.431015,0.7891011,0.2726886,0.5661065,0.8593608,0.5595484,0.3247686,NO,0.2122625,4.519439,0.7246184,1.776885,0.001106739,22.04282,30,NONE,1,POLE
7661.873,NO,9,-0.5829566,1.750992,0.5471547,0.6454843,1.079707,0.7104864,1.409386,YES,0,3.00947,0.7246184,1.776885,0.001106739,88.95316,40,NONE,1,POLE
7665.883,NO,10,0.1556724,1.133777,0.4079711,0.3444638,1.01294,0.641789,0.3239052,NO,0.1326825,5.324575,0.7246184,1.776885,0.001106739,47.40335,40,NONE,1,POLE
7703.886,NO,11,0.1221228,1.267263,0.5920401,0.3571413,1.072094,0.6039004,0.3057209,NO,0.3624217,1.005026,0.7246184,1.776885,0.001106739,58.87332,40,NONE,1,POLE
7708.063,NO,12,0.2764181,0.8919394,0.3529115,0.4953599,0.8380522,0.5828097,0.3220132,NO,0.1181806,3.800369,0.7246184,1.776885,0.001106739,32.77586,40,NONE,1,POLE
7711.615,NO,13,0.2583303,0.9344908,0.4539053,0.5022539,0.9081664,0.644912,0.3109264,NO,0.3089302,4.51757,0.7246184,1.776885,0.001106739,37.65256,40,NONE,1,POLE
7718.619,NO,14,0.3664393,0.87468,0.4241652,0.5384789,0.8799263,0.6816263,0.3096956,NO,0.3109397,6.055111,0.7246184,1.776885,0.001106739,31.56682,40,NONE,1,POLE
7722.104,NO,15,0.2905588,0.8716741,0.3638649,0.4949349,0.866641,0.5839384,0.3003786,NO,0.2918957,4.244098,0.7246184,1.776885,0.001106739,32.0022,40,NONE,1,POLE
7728.181,NO,16,0.337307,1.005552,0.5190911,0.5087638,0.9315778,0.7596759,0.3045499,NO,0.164903,2.784181,0.7246184,1.776885,0.001106739,39.98039,40,NONE,1,POLE
7733.844,NO,17,0.3857982,0.8399864,0.2771373,0.479644,0.8601371,0.581681,0.3193117,YES,0,2.748101,0.7246184,1.776885,0.001106739,25.00721,50,NONE,1,POLE
7736.448,NO,18,0.4615002,0.8271534,0.3201749,0.5400013,0.8456682,0.6278305,0.3180521,YES,0,3.033556,0.7246184,1.776885,0.001106739,23.53092,60,NONE,1,POLE
7738.817,NO,19,0.4384006,0.8355629,0.3408837,0.5534771,0.8539418,0.6393855,0.3204429,YES,0,3.206387,0.7246184,1.776885,0.001106739,25.26525,70,NONE,1,POLE
7741.809,NO,20,0.4560364,0.8383653,0.3505485,0.5679535,0.846189,0.6492608,0.3190857,NO,0.1069598,3.548142,0.7246184,1.776885,0.001106739,25.15499,70,NONE,1,POLE
