Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
100.3783,YES,1,0.9214798,1.005223,-0.5451894,0.9447563,0.9071728,-0.5497072,0.100876,NO,0.8504021
107.2922,YES,2,0.9443831,0.9604408,-0.605531,0.9851695,0.8955952,-0.5365973,0.103055,NO,0.805172
117.3023,YES,3,0.927753,0.9308498,-0.655045,0.8940731,0.8756592,-0.6018207,0.08374463,NO,0.9634912
130.2376,YES,4,0.6248608,0.9678493,-0.6492901,0.679469,1.007674,-0.7623751,0.1317434,NO,0.09333569
144.5802,YES,5,0.9631532,1.151238,-0.4182606,0.9440864,0.9453171,-0.6673698,0.3237629,NO,1.53861
144.7815,YES,6,0.9669577,1.170144,-0.37673,0.9449942,0.948379,-0.6573043,0.3583069,NO,1.564444
163.3249,YES,7,0.7389202,0.9676648,-0.7082193,0.7845899,1.002478,-0.7230422,0.05930789,YES,0
179.366,YES,8,1.033221,0.848671,-0.8857701,1.017417,0.9834003,-0.8020294,0.1594186,YES,0
182.4252,YES,9,0.7880155,0.917883,-0.6715128,0.9054105,0.9562286,-0.6678894,0.123552,NO,0.1794955
186.5258,YES,10,0.5052294,0.7910799,-1.1732,0.6965133,0.9638577,-0.9195943,0.3616039,YES,0
192.7926,YES,11,0.9234828,0.8765349,-0.7333741,0.9409687,0.9813774,-0.664525,0.1266408,YES,0
197.8978,YES,12,0.8752087,0.8320364,-0.8531466,0.9294369,0.9877661,-0.6167743,0.2882088,NO,0.08849685
199.4614,YES,13,1.037801,0.878336,-0.749712,1.028791,0.9801786,-0.7681785,0.1038947,NO,1.173137
201.5954,YES,14,0.8924088,0.8475363,-0.7623861,0.926129,0.9673918,-0.6906929,0.1436743,NO,0.07700488
207.091,YES,15,0.7248512,0.8689418,-0.8030961,0.8388869,0.9857384,-0.7592568,0.1690191,NO,0.1339788
212.2969,YES,16,0.7301334,0.8383858,-1.520522,0.8949096,0.949082,-0.9268193,0.6260097,YES,0
217.0441,YES,17,0.622958,0.9069136,-0.7199731,0.6591434,0.9576472,-0.8574703,0.1509594,NO,0.1564051
221.5455,YES,18,0.7602155,0.8608136,-0.7969379,0.8242893,0.9958916,-0.7991984,0.1495213,NO,0.09081171
225.0642,YES,19,0.8040376,0.8946303,-0.8012276,0.8657527,1.004564,-0.7333558,0.1431807,NO,0.08317953
228.6503,YES,20,0.8295588,0.9424305,-0.8495238,0.9238298,1.046873,-0.7191212,0.1918333,YES,0
233.0513,YES,21,0.7869334,0.9748008,-0.6608417,0.8330807,1.020415,-0.786211,0.1411654,NO,0.07161129
236.4042,YES,22,0.7216776,0.9269527,-0.6771734,0.7580079,0.9755065,-0.8542044,0.1871292,YES,0
241.6751,YES,23,0.4348201,0.8578247,-0.9155076,0.6365385,0.9861161,-0.9383111,0.2401437,NO,0.1198441
245.3734,YES,24,0.702611,0.9054149,-0.7364395,0.7118213,0.9890733,-0.8805575,0.1668939,NO,0.135651
249.1147,YES,25,0.815176,1.076552,-0.5703626,0.9289619,1.054677,-0.7336035,0.2001832,YES,0
