Time,Ball X,Ball Y,Ball Z
313.8069,1.187879,1.021457,-1.90754
313.8181,1.190319,1.021577,-1.926075
313.8293,1.192753,1.02106,-1.944326
313.841,1.194931,1.020659,-1.962856
313.8517,1.19753,1.019949,-1.981378
313.863,1.200099,1.019506,-2.00033
313.875,1.202909,1.019365,-2.019632
313.8853,1.206415,1.019568,-2.038917
313.897,1.210752,1.019585,-2.058217
313.9097,1.214554,1.019682,-2.077378
313.9188,1.219855,1.019648,-2.09664
313.931,1.225173,1.019232,-2.116489
313.9409,1.230064,1.019305,-2.136613
313.9535,1.235044,1.019566,-2.157531
313.9653,1.240334,1.019817,-2.179026
313.9744,1.245506,1.01959,-2.200751
313.9863,1.250589,1.019432,-2.222376
313.9976,1.255848,1.019036,-2.244577
314.0082,1.260861,1.019074,-2.266791
314.021,1.266515,1.019003,-2.289301
314.0315,1.272497,1.019062,-2.311511
314.0418,1.279938,1.018943,-2.333806
314.0529,1.286788,1.018558,-2.356024
314.0642,1.294106,1.018208,-2.378438
314.0753,1.301715,1.017866,-2.401271
314.0865,1.309606,1.017375,-2.424278
314.0975,1.317254,1.016897,-2.447243
314.1087,1.325597,1.016109,-2.47047
314.1198,1.333593,1.015507,-2.493566
314.1315,1.34164,1.014884,-2.516725
314.1425,1.349721,1.014185,-2.539845
314.1539,1.358178,1.01345,-2.563387
314.1643,1.366756,1.012505,-2.587076
314.1759,1.375254,1.011587,-2.610966
314.1868,1.383574,1.010924,-2.634932
314.1985,1.391861,1.010211,-2.659318
314.2091,1.399933,1.009369,-2.683943
314.2213,1.408136,1.008405,-2.708713
314.2316,1.4165,1.007442,-2.73323
314.243,1.424636,1.006823,-2.758208
314.2544,1.432869,1.006244,-2.783283
314.2658,1.44118,1.005501,-2.808325
314.2782,1.449895,1.004563,-2.833627
314.2878,1.458573,1.003669,-2.858844
314.2989,1.467819,1.00259,-2.884661
314.3113,1.476908,1.001673,-2.910251
314.321,1.486331,1.000973,-2.936748
314.3322,1.495767,1.000144,-2.962773
314.3433,1.506077,0.9993396,-2.989621
314.3549,1.51623,0.9985583,-3.0161
314.3658,1.527116,0.997847,-3.042923
314.3773,1.538296,0.9971297,-3.069788
314.3886,1.549486,0.9967276,-3.096916
314.3991,1.560795,0.9961795,-3.123932
314.4126,1.571875,0.9955882,-3.151071
314.4219,1.583253,0.9947218,-3.178819
314.4327,1.119384,0.9732487,-3.568794
314.4439,1.139766,-0.07626319,-2.523648
