Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
316.6783,YES,1,1.468081,0.7181047,-0.1799412,1.084159,0.8998246,-1.066989,0.9835,NO,0.4369973
320.7342,YES,2,1.579967,0.6492329,-0.8019497,1.230002,0.8079653,-0.937896,0.4076184,NO,0.1840296
326.1064,YES,3,1.144266,0.6785588,-1.473598,1.15669,0.8872927,-0.7732062,0.7309399,NO,0.07124773
328.3064,YES,4,0.8989867,0.9850653,-0.6685572,0.9976642,0.9134587,-0.7798629,0.165087,NO,0.413671
336.6734,YES,5,0.9810931,0.9675614,-0.6024461,1.003734,0.9730705,-0.6402175,0.04438085,NO,0.155771
339.8794,YES,6,1.067872,0.8840717,-0.69821,1.096647,0.9198048,-0.6873355,0.04714978,NO,0.1905924
343.2751,YES,7,1.094031,0.8801394,-0.6800187,1.030535,0.9359084,-0.6392946,0.09381042,NO,0.1550297
348.168,YES,8,1.298304,0.6855414,-0.8672512,0.9825612,0.8884064,-0.7171133,0.4042144,NO,0.1233307
351.3294,YES,9,0.7823268,0.9652332,-0.6498125,0.9252819,0.937309,-0.6472504,0.1456795,YES,0
357.483,YES,10,0.8537751,0.9481555,-0.68367,1.012449,0.9454892,-0.6631095,0.1600229,NO,0.5405295
359.9417,YES,11,0.8727668,0.9671659,-0.6175318,1.013459,0.9550132,-0.6005743,0.1422308,NO,0.1325589
367.6048,YES,12,1.208084,0.9563867,-0.6707065,1.020175,0.9882272,-0.548702,0.2262938,NO,0.1049987
371.6706,YES,13,0.8339094,1.001264,-0.5907919,0.9692732,0.96619,-0.609194,0.1410397,NO,0.06394136
375.8821,YES,14,1.048914,0.9130131,-0.6201301,1.047951,0.3143272,-0.6944127,0.6032774,YES,0
378.7189,YES,15,1.169285,0.8547738,-0.6368418,0.7317809,1.145765,-0.4765975,0.5493308,NO,0.1472511
381.8923,YES,16,1.004678,0.9222437,-0.6713655,1.00967,0.9634752,-0.6559312,0.04430771,YES,0
398.469,YES,17,0.8242847,0.9543958,-0.6398821,0.9290137,0.9352708,-0.6768472,0.1126958,YES,0
415.0459,YES,18,0.9692886,0.895939,-0.6644471,0.9725578,0.9330108,-0.6817682,0.0410491,YES,0
422.5542,YES,19,1.108398,0.7788397,-0.7707021,0.9421721,0.9216367,-0.690881,0.2332242,NO,0.1047518
431.9381,YES,20,1.253957,0.9136113,-1.399776,1.143591,0.8431349,-1.183718,0.252643,YES,0
433.5887,YES,21,0.9682965,0.9209259,-0.6896946,0.9253902,0.9387366,-0.666271,0.05202724,NO,0.1030167
437.9355,YES,22,0.8440277,1.048861,-0.585572,1.016423,0.8928022,-0.6620004,0.2447767,YES,0
444.738,YES,23,1.038821,0.8809516,-0.6816971,0.9668015,0.933147,-0.6454985,0.09602869,YES,0
448.9593,YES,24,0.3780299,0.9326679,-1.090283,0.9114897,0.9277853,-0.7336152,0.6417283,YES,0
449.1602,YES,25,0.8363786,0.9680824,-0.6115515,0.9088737,0.882936,-0.6665266,0.1246102,NO,2.319153
