Time,Ball X,Ball Y,Ball Z
92.51315,0.8405442,0.7880418,-0.9638159
92.52417,0.8344653,0.779066,-0.9823747
92.53537,0.8280554,0.7722517,-1.001271
92.5471,0.8225417,0.7685996,-1.020926
92.55773,0.8160519,0.7632108,-1.040697
92.56873,0.8097917,0.7589245,-1.060294
92.58067,0.8024942,0.7584136,-1.081758
92.59142,0.7956794,0.7594501,-1.102998
92.60233,0.7872172,0.7640289,-1.126633
92.61383,0.7794408,0.7638587,-1.148963
92.62472,0.7733121,0.7618387,-1.168583
92.63763,0.7665883,0.7605934,-1.180024
92.64724,0.7598583,0.759151,-1.19831
92.65817,0.7716678,0.7692891,-1.171281
92.66978,0.7686375,0.7682852,-1.181952
92.68076,0.7623092,0.7724783,-1.176491
92.69209,0.7613918,0.759517,-1.108779
92.70279,0.7582112,0.7607204,-1.108165
92.7141,0.748669,0.7676767,-1.048279
92.72541,0.7458361,0.7685702,-1.043317
92.73647,0.7432648,0.7740759,-1.038662
92.74767,0.7408428,0.7749746,-1.034222
92.75871,0.7304171,0.7793366,-0.9967582
92.77032,0.7274675,0.7775636,-0.9900076
92.78141,0.7252599,0.7783469,-0.9833357
92.79258,0.7203256,0.7791647,-0.9688385
92.80351,0.7152675,0.7777797,-0.9612567
92.81445,0.7118668,0.7767268,-0.950846
92.82601,0.7090384,0.7759535,-0.944134
92.83765,0.7038231,0.7745646,-0.9370999
92.84891,0.7007818,0.7746874,-0.9306586
92.85951,0.6991265,0.7777407,-0.926605
92.8704,0.6959366,0.7792199,-0.921711
92.88152,0.6952773,0.7812567,-0.9189677
92.89281,0.6957924,0.7852715,-0.9148667
92.90414,0.6951081,0.7851392,-0.9101465
92.9156,0.6948043,0.7853192,-0.9091489
92.92657,0.6924922,0.7880198,-0.9045987
92.93752,0.6924981,0.7895821,-0.9009857
92.94921,0.6920853,0.7910601,-0.9010937
92.95967,0.690571,0.7912083,-0.8978231
92.97119,0.6903654,0.7911122,-0.8951056
92.98254,0.688162,0.7927263,-0.8947744
92.99374,0.6868879,0.7929529,-0.8928545
93.00475,0.6872485,0.7938448,-0.8922122
