Time,Ball X,Ball Y,Ball Z
50.56375,1.677924,0.6086664,-0.6544027
50.57371,1.685915,0.6050177,-0.6546175
50.58504,1.693942,0.6013999,-0.6548698
50.59655,1.7019,0.5977218,-0.6551745
50.60743,1.709872,0.5940135,-0.6555297
50.61958,1.717845,0.5902948,-0.655865
50.63008,1.725776,0.5864501,-0.6562479
50.64075,1.733718,0.5826392,-0.6566405
50.65244,1.741659,0.5788403,-0.6570187
50.66315,1.74962,0.5750115,-0.6574533
50.67456,1.757591,0.5711749,-0.6579251
50.68599,1.765559,0.5673223,-0.6583874
50.69708,1.773572,0.5633969,-0.6588886
50.70789,1.781558,0.5594833,-0.6593986
50.71997,1.789614,0.5555134,-0.6599298
50.73025,1.797688,0.5515323,-0.6604688
50.74176,1.805795,0.5475569,-0.6610188
50.75252,1.805795,0.5475569,-0.6610188
50.76469,1.805795,0.5475569,-0.6610188
50.77526,1.805795,0.5475569,-0.6610188
50.78647,1.805795,0.5475569,-0.6610188
50.79768,1.805795,0.5475569,-0.6610188
50.81043,1.805795,0.5475569,-0.6610188
50.81951,1.805795,0.5475569,-0.6610188
50.83088,1.805795,0.5475569,-0.6610188
50.84463,1.805795,0.5475569,-0.6610188
50.8532,1.805795,0.5475569,-0.6610188
50.8653,1.805795,0.5475569,-0.6610188
50.87549,1.805795,0.5475569,-0.6610188
50.88691,1.805795,0.5475569,-0.6610188
50.89794,1.805795,0.5475569,-0.6610188
50.90889,1.805795,0.5475569,-0.6610188
50.92041,1.805795,0.5475569,-0.6610188
50.93127,1.805795,0.5475569,-0.6610188
50.94337,1.805795,0.5475569,-0.6610188
50.95364,1.805795,0.5475569,-0.6610188
50.96484,1.805795,0.5475569,-0.6610188
50.97616,1.805795,0.5475569,-0.6610188
50.98776,1.805795,0.5475569,-0.6610188
50.9983,1.805795,0.5475569,-0.6610188
51.00971,1.805795,0.5475569,-0.6610188
51.02071,1.805795,0.5475569,-0.6610188
51.03214,1.805795,0.5475569,-0.6610188
51.04333,1.805795,0.5475569,-0.6610188
51.05439,1.805795,0.5475569,-0.6610188
51.06551,1.805795,0.5475569,-0.6610188
51.07661,1.805795,0.5475569,-0.6610188
51.08803,1.805795,0.5475569,-0.6610188
51.09898,1.805795,0.5475569,-0.6610188
51.11011,1.805795,0.5475569,-0.6610188
51.12141,1.805795,0.5475569,-0.6610188
51.13247,1.805795,0.5475569,-0.6610188
51.14404,1.805795,0.5475569,-0.6610188
51.1548,1.805795,0.5475569,-0.6610188
51.16655,1.805795,0.5475569,-0.6610188
51.17745,1.805795,0.5475569,-0.6610188
51.18881,1.805795,0.5475569,-0.6610188
51.19946,1.805795,0.5475569,-0.6610188
51.21064,1.805795,0.5475569,-0.6610188
51.22181,1.805795,0.5475569,-0.6610188
51.23317,1.805795,0.5475569,-0.6610188
51.24461,1.805795,0.5475569,-0.6610188
51.25541,1.805795,0.5475569,-0.6610188
51.2671,1.805795,0.5475569,-0.6610188
51.27794,1.805795,0.5475569,-0.6610188
51.28915,1.805795,0.5475569,-0.6610188
51.2999,1.805795,0.5475569,-0.6610188
51.3112,1.805795,0.5475569,-0.6610188
51.32254,1.805795,0.5475569,-0.6610188
51.33373,1.805795,0.5475569,-0.6610188
51.34633,1.805795,0.5475569,-0.6610188
51.35581,1.805795,0.5475569,-0.6610188
51.36709,1.805795,0.5475569,-0.6610188
51.37923,1.805795,0.5475569,-0.6610188
51.38958,1.805795,0.5475569,-0.6610188
51.40159,1.805795,0.5475569,-0.6610188
51.41184,1.805795,0.5475569,-0.6610188
51.42336,1.805795,0.5475569,-0.6610188
51.43394,1.805795,0.5475569,-0.6610188
51.44558,1.805795,0.5475569,-0.6610188
51.45669,1.805795,0.5475569,-0.6610188
51.46814,1.805795,0.5475569,-0.6610188
51.47895,1.805795,0.5475569,-0.6610188
51.48989,1.805795,0.5475569,-0.6610188
51.50125,1.805795,0.5475569,-0.6610188
51.51207,1.805795,0.5475569,-0.6610188
51.52339,1.805795,0.5475569,-0.6610188
51.53434,1.805795,0.5475569,-0.6610188
51.54557,1.805795,0.5475569,-0.6610188
51.5568,1.805795,0.5475569,-0.6610188
51.56788,1.805795,0.5475569,-0.6610188
51.57948,1.805795,0.5475569,-0.6610188
51.59037,1.805795,0.5475569,-0.6610188
51.60213,1.805795,0.5475569,-0.6610188
51.61259,1.805795,0.5475569,-0.6610188
51.62402,1.805795,0.5475569,-0.6610188
51.63542,1.805795,0.5475569,-0.6610188
51.64618,1.805795,0.5475569,-0.6610188
51.65747,1.805795,0.5475569,-0.6610188
51.66869,1.805795,0.5475569,-0.6610188
51.68047,1.805795,0.5475569,-0.6610188
51.69086,1.805795,0.5475569,-0.6610188
51.70211,1.805795,0.5475569,-0.6610188
51.71339,1.805795,0.5475569,-0.6610188
51.72461,1.805795,0.5475569,-0.6610188
51.73575,1.805795,0.5475569,-0.6610188
51.74675,1.805795,0.5475569,-0.6610188
51.75853,1.805795,0.5475569,-0.6610188
51.76925,1.805795,0.5475569,-0.6610188
51.78026,1.805795,0.5475569,-0.6610188
51.79152,1.805795,0.5475569,-0.6610188
51.80299,1.805795,0.5475569,-0.6610188
51.81413,1.805795,0.5475569,-0.6610188
51.82478,1.805795,0.5475569,-0.6610188
51.83597,1.805795,0.5475569,-0.6610188
51.84873,1.805795,0.5475569,-0.6610188
51.85856,1.805795,0.5475569,-0.6610188
51.86963,1.805795,0.5475569,-0.6610188
51.88157,1.805795,0.5475569,-0.6610188
51.89172,1.805795,0.5475569,-0.6610188
51.90318,1.805795,0.5475569,-0.6610188
51.91432,1.805795,0.5475569,-0.6610188
51.92551,1.805795,0.5475569,-0.6610188
51.93665,1.805795,0.5475569,-0.6610188
51.94794,1.805795,0.5475569,-0.6610188
51.95887,1.805795,0.5475569,-0.6610188
51.9704,1.805795,0.5475569,-0.6610188
51.98185,1.805795,0.5475569,-0.6610188
51.99245,1.805795,0.5475569,-0.6610188
52.00357,1.805795,0.5475569,-0.6610188
52.01506,1.805795,0.5475569,-0.6610188
52.02594,1.805795,0.5475569,-0.6610188
52.0372,1.805795,0.5475569,-0.6610188
52.04847,1.805795,0.5475569,-0.6610188
52.05964,1.805795,0.5475569,-0.6610188
52.07069,1.805795,0.5475569,-0.6610188
52.08184,1.805795,0.5475569,-0.6610188
52.09305,1.805795,0.5475569,-0.6610188
52.10434,1.805795,0.5475569,-0.6610188
52.11534,1.805795,0.5475569,-0.6610188
52.12678,1.805795,0.5475569,-0.6610188
52.13775,1.805795,0.5475569,-0.6610188
52.14899,1.805795,0.5475569,-0.6610188
52.15997,1.805795,0.5475569,-0.6610188
52.17125,1.805795,0.5475569,-0.6610188
52.18264,1.805795,0.5475569,-0.6610188
52.19372,1.805795,0.5475569,-0.6610188
52.20471,1.805795,0.5475569,-0.6610188
52.21613,1.805795,0.5475569,-0.6610188
52.22701,1.805795,0.5475569,-0.6610188
52.23821,1.805795,0.5475569,-0.6610188
52.24949,1.805795,0.5475569,-0.6610188
52.26056,1.805795,0.5475569,-0.6610188
52.27203,1.805795,0.5475569,-0.6610188
52.28297,1.805795,0.5475569,-0.6610188
