Time,Ball X,Ball Y,Ball Z
348.436,1.302689,0.9654264,-1.318331
348.4467,1.310688,0.9750092,-1.335017
348.4586,1.318906,0.979928,-1.354815
348.4693,1.324991,0.9813024,-1.373301
348.4803,1.331903,0.987154,-1.39193
348.4922,1.335045,0.9926164,-1.409553
348.5032,1.334402,0.9997005,-1.425828
348.5137,1.332451,1.011758,-1.441807
348.5266,1.331232,1.01782,-1.457562
348.5358,1.329987,1.020806,-1.473221
348.5473,1.332101,1.02638,-1.491032
348.5589,1.331202,1.028705,-1.506601
348.5699,1.327312,1.031063,-1.521377
348.5814,1.322442,1.040271,-1.536321
348.592,1.315962,1.046827,-1.54859
348.6031,1.31027,1.048978,-1.562263
348.6145,1.306388,1.054501,-1.578872
348.6266,1.296794,1.059046,-1.588098
348.637,1.288994,1.06078,-1.601506
348.6486,1.278846,1.066109,-1.613099
348.6598,1.268864,1.068902,-1.621311
348.6704,1.2571,1.068841,-1.630272
348.6812,1.247256,1.072114,-1.641282
348.6932,1.23631,1.073678,-1.648897
348.7042,1.22479,1.071672,-1.657904
348.7156,1.210654,1.074514,-1.664208
348.726,1.196764,1.074619,-1.668737
348.7375,1.182636,1.072767,-1.674793
348.7487,1.168936,1.07163,-1.681695
348.7598,1.15469,1.070474,-1.685739
348.7706,1.140122,1.06637,-1.690558
348.7818,1.124656,1.064372,-1.695461
348.7934,1.109769,1.060896,-1.698494
348.8039,1.094834,1.053448,-1.702667
348.8158,1.078694,1.048913,-1.706419
348.827,1.063018,1.042024,-1.708403
348.838,1.04739,1.033342,-1.711804
348.8491,1.02988,1.025832,-1.713384
348.8606,1.012815,1.017409,-1.713851
348.8714,0.9961988,1.007227,-1.715638
348.8833,0.9783882,0.9988484,-1.716239
348.8946,0.9605645,0.9894497,-1.714624
348.9061,0.9430852,0.9778298,-1.714123
348.9165,0.9248288,0.9681642,-1.712458
348.9284,0.9066948,0.958529,-1.708844
348.9385,0.8878835,0.9485716,-1.703353
348.9497,0.8687537,0.9399363,-1.69618
348.9607,0.8494238,0.9311451,-1.68792
348.9723,0.8299056,0.9221898,-1.679661
348.9832,0.8104075,0.9150374,-1.668657
348.9945,0.7907773,0.9085877,-1.657007
349.0055,0.7710544,0.9019879,-1.644183
349.0174,0.751642,0.8953577,-1.63177
349.0289,0.7318296,0.889935,-1.617526
349.0388,0.7119552,0.8843236,-1.602267
349.0503,0.6922696,0.8784482,-1.587455
349.0614,0.6730193,0.8740247,-1.56981
349.0725,0.6535866,0.869175,-1.552971
349.0833,0.6346865,0.86516,-1.534733
349.0949,0.6161407,0.8616201,-1.515627
349.1059,0.5975038,0.8577451,-1.495803
349.1172,0.5792347,0.8544314,-1.476061
349.1284,0.5616181,0.8508563,-1.455267
349.1396,0.5439265,0.8462654,-1.434338
349.1507,0.5267374,0.8422915,-1.412736
349.1617,0.5102671,0.8399489,-1.390284
349.1733,0.4938937,0.8378948,-1.367707
349.1843,0.4786181,0.8376122,-1.343956
349.1959,0.4640062,0.8383458,-1.320011
349.2065,0.450676,0.8407704,-1.295484
349.2174,0.4367049,0.842437,-1.271296
349.2288,0.4241748,0.8453808,-1.246517
349.2397,0.4345163,0.8357698,-1.23348
349.2517,0.4246314,0.8399236,-1.207356
349.2628,0.415352,0.8448917,-1.182428
349.2733,0.4071467,0.8487419,-1.15796
349.2849,0.400261,0.8536074,-1.131608
349.2957,0.3921975,0.8582821,-1.106824
349.307,0.3865009,0.8637639,-1.082224
349.3184,0.3812678,0.8686213,-1.056422
349.3309,0.3759232,0.8745327,-1.031481
349.3407,0.3720233,0.8805995,-1.007361
349.3517,0.3691957,0.885986,-0.9825099
349.3629,0.366632,0.8922616,-0.9587348
349.374,0.3633394,0.8977447,-0.935349
349.3853,0.3619242,0.9027107,-0.9125109
349.3959,0.3613523,0.9090159,-0.8895903
349.4072,0.3614199,0.9160639,-0.867882
349.4186,0.3626634,0.9213892,-0.8460128
349.4297,0.3647878,0.9288267,-0.8252895
349.4409,0.3658594,0.9359132,-0.8046141
349.4524,0.3696464,0.9424379,-0.7848306
349.4644,0.3748711,0.9515951,-0.7669923
349.4746,0.3786124,0.9599001,-0.7486336
349.486,0.3858556,0.9671698,-0.7317708
349.4969,0.3925338,0.9762403,-0.7163205
349.5079,0.3998806,0.9847243,-0.7013404
349.5191,0.4079921,0.9920524,-0.6858072
349.5325,0.4166689,1.00148,-0.6736193
349.5414,0.4257401,1.009884,-0.6615891
349.5531,0.4353762,1.016632,-0.6485364
349.5645,0.4458355,1.024051,-0.6382391
349.5749,0.4547345,1.030387,-0.6265926
349.5858,0.4650853,1.033664,-0.617239
349.5979,0.4761336,1.039764,-0.6059139
349.6088,0.4865453,1.043409,-0.5954125
349.6202,0.4971305,1.045317,-0.5868123
349.631,0.5091952,1.04826,-0.5772805
349.6426,0.5198175,1.050994,-0.5675709
349.6533,0.5317339,1.050436,-0.560725
349.6642,0.5443121,1.050634,-0.5522249
349.6758,0.5557576,1.050062,-0.5442226
349.6871,0.5688254,1.048535,-0.5388012
349.6982,0.5821965,1.048643,-0.5322502
349.7096,0.5943831,1.046652,-0.526679
349.7216,0.6084042,1.044042,-0.5219548
349.7315,0.6226708,1.04161,-0.5190697
349.7429,0.6361241,1.039307,-0.516722
349.7541,0.6505378,1.036968,-0.5153301
349.765,0.6658258,1.034733,-0.5151975
349.7764,0.6803048,1.032585,-0.5165057
349.7878,0.6946695,1.029797,-0.5195334
349.7988,0.7093702,1.027203,-0.5219748
349.8098,0.7219676,1.024743,-0.5254138
349.8206,0.7323553,1.021753,-0.528657
349.8321,0.7374884,1.021124,-0.5315325
349.8434,0.7408746,1.020564,-0.5360053
349.8544,0.7372435,1.016259,-0.5437987
349.8662,0.7332237,1.01142,-0.5478756
349.8786,0.7288367,1.010141,-0.5530503
349.888,0.7272456,1.007068,-0.5575626
349.899,0.724493,1.003409,-0.5601556
349.9106,0.7222155,1.002914,-0.5654912
349.9218,0.7189891,1.002423,-0.5719199
349.9331,0.7146839,1.002257,-0.5758214
349.9438,0.7094294,1.003361,-0.5774269
349.9557,0.7048893,1.002439,-0.5816693
349.9668,0.6995621,1.003185,-0.5838766
349.9772,0.694347,1.003106,-0.586174
349.9887,0.6895672,1.002368,-0.5902367
350.0008,0.6849928,1.001027,-0.5931847
350.0106,0.6807581,0.9991904,-0.5959694
350.0216,0.6762692,0.9968673,-0.5998654
350.0349,0.6722376,0.9939597,-0.6030176
350.0556,0.6640104,0.9878154,-0.6105092
350.067,0.6599095,0.9849862,-0.6139827
350.078,0.6564083,0.9822139,-0.6179783
350.0888,0.6525632,0.9798253,-0.6226878
350.0998,0.649056,0.9742805,-0.6261699
350.1116,0.6454408,0.9686596,-0.6303544
350.1237,0.6423966,0.963256,-0.6345375
350.1338,0.6396927,0.9581746,-0.6391172
350.1451,0.6378505,0.9545348,-0.6446242
350.1559,0.6365943,0.9517789,-0.649678
350.1669,0.6353675,0.949344,-0.6546426
350.1791,0.6338122,0.9461682,-0.659313
350.1895,0.6326327,0.9412538,-0.664032
350.2009,0.6302491,0.932604,-0.6681123
350.212,0.628608,0.9266381,-0.6730807
350.223,0.6283914,0.924273,-0.6793046
350.2339,0.6305428,0.9306874,-0.6886747
350.2455,0.6321993,0.9331276,-0.6966038
350.2575,0.633803,0.9340098,-0.7026725
350.2675,0.6346545,0.9312562,-0.7078567
350.2791,0.6360542,0.9297507,-0.7131283
350.2898,0.637452,0.9282062,-0.7178454
350.3012,0.6388867,0.9259741,-0.7224166
350.3129,0.6408325,0.9245437,-0.7257059
350.3239,0.6427416,0.9235793,-0.7294374
350.3347,0.6448976,0.9221644,-0.7327321
350.3461,0.6464025,0.9214976,-0.7358825
350.3571,0.6485257,0.9196327,-0.7383921
350.3686,0.65052,0.917675,-0.7401047
350.3795,0.6522175,0.9152286,-0.7421405
350.3906,0.6541755,0.9123456,-0.7436993
350.4018,0.6560214,0.9088348,-0.7440498
350.4129,0.657486,0.9062414,-0.7451994
350.424,0.6592456,0.9033566,-0.7450874
350.436,0.6605588,0.9006581,-0.7449012
350.4466,0.6618723,0.8981836,-0.7448952
350.4575,0.6627941,0.895739,-0.7436943
350.4688,0.6636534,0.8922144,-0.7430933
350.4798,0.6642049,0.8887792,-0.7420154
350.4913,0.6645713,0.8851745,-0.7413857
350.5024,0.6633393,0.881407,-0.7412972
350.5136,0.6632062,0.8783916,-0.7426827
350.5249,0.6628078,0.8759186,-0.7438192
350.5365,0.6630565,0.8733982,-0.7463174
350.5471,0.6624605,0.8720196,-0.7485003
350.5586,0.6616201,0.8722014,-0.7515783
350.5701,0.6603473,0.8718461,-0.7549157
350.5809,0.6604923,0.871263,-0.7589252
350.5917,0.6598302,0.869216,-0.761646
350.6028,0.6590064,0.8655313,-0.7643297
350.614,0.6590909,0.8630869,-0.7673588
350.6251,0.658954,0.8607012,-0.7713182
350.6365,0.6590523,0.8589281,-0.774823
350.6474,0.6594871,0.8574393,-0.7784927
350.6592,0.660028,0.8545407,-0.7838838
350.67,0.6605051,0.8520814,-0.7880569
350.681,0.6611749,0.8509361,-0.7938564
350.6918,0.661938,0.8502017,-0.8017573
350.7032,0.6628596,0.8483094,-0.8095589
350.7147,0.6638506,0.8462009,-0.8162248
350.7258,0.665114,0.8421541,-0.8232827
350.7371,0.6660282,0.8372531,-0.8307583
350.7479,0.6674919,0.8334705,-0.8388689
350.7592,0.6692693,0.830292,-0.8466251
350.7714,0.6707807,0.8272836,-0.8549879
350.7821,0.6727778,0.8259147,-0.8637123
350.7929,0.6749429,0.8244367,-0.8712523
350.804,0.6774043,0.8230288,-0.8788674
350.8156,0.6796948,0.8215554,-0.8866053
350.8263,0.6826763,0.8196642,-0.8927991
350.8373,0.6856763,0.8176719,-0.8990207
350.8488,0.6884198,0.8155723,-0.9050405
350.8598,0.6914193,0.8138428,-0.9113235
350.871,0.694659,0.8135682,-0.9174614
350.8825,0.6977071,0.8133023,-0.9238565
350.8932,0.7007663,0.8137317,-0.9303205
350.9048,0.7036861,0.8131237,-0.9367986
350.916,0.7067789,0.8119599,-0.9435341
350.9268,0.7100389,0.8105645,-0.9487736
350.9383,0.7128059,0.8082234,-0.9542649
350.9505,0.7159197,0.8068424,-0.9597089
350.9601,0.7191357,0.8054334,-0.9640412
350.9716,0.7218373,0.8038483,-0.9676533
350.9829,0.7249355,0.8024719,-0.9711487
350.9936,0.7281767,0.800771,-0.9740231
351.0056,0.7313774,0.7988508,-0.9766617
351.0164,0.734584,0.7967913,-0.9788704
351.027,0.7378098,0.7946718,-0.9808314
351.0403,0.7412553,0.7932143,-0.9829602
351.0498,0.7445338,0.7919248,-0.9845293
351.0612,0.7480099,0.7908106,-0.9855719
351.0717,0.751261,0.7895461,-0.9872034
351.084,0.7543871,0.788375,-0.9884121
351.094,0.7575973,0.7871788,-0.9892857
351.1054,0.7606465,0.7864921,-0.9902422
351.117,0.7637423,0.7858559,-0.9910328
351.1279,0.7668948,0.7856207,-0.9911621
351.1393,0.7695349,0.7853842,-0.9911842
351.1508,0.7726104,0.7848456,-0.9914062
351.1615,0.7757714,0.7846218,-0.9912724
351.1734,0.7783548,0.7850615,-0.990871
351.1839,0.781276,0.7854775,-0.9906137
351.1947,0.7842,0.7856429,-0.9904668
351.2063,0.7864634,0.7857881,-0.9899001
351.2169,0.7888086,0.7858167,-0.9892519
351.2286,0.7913714,0.7860587,-0.9893548
351.2393,0.7930533,0.7866617,-0.9887171
351.2515,0.7954668,0.78685,-0.9882896
351.2619,0.7966108,0.7872069,-0.988342
351.2727,0.7977657,0.7876259,-0.9878175
351.285,0.7990857,0.7877373,-0.9872596
351.2957,0.798572,0.7881265,-0.9864659
351.3065,0.7985287,0.7884964,-0.9855447
351.3181,0.7986411,0.7891892,-0.9846504
351.329,0.7981735,0.7899617,-0.9840109
351.34,0.7972124,0.7905165,-0.9828045
351.3516,0.7962688,0.7905873,-0.981653
351.3625,0.7953367,0.7905256,-0.9812467
351.3734,0.7939952,0.7907881,-0.9802425
351.385,0.7918122,0.791081,-0.9792316
351.3958,0.7892714,0.7912568,-0.9788909
351.4069,0.7866969,0.7915539,-0.9778233
351.418,0.7833636,0.7917181,-0.9764805
351.4297,0.7800636,0.7918919,-0.9761505
351.4407,0.7764377,0.7919225,-0.974797
351.4519,0.7722366,0.7920306,-0.9733324
351.4627,0.7678569,0.7921309,-0.9724805
351.4742,0.7635164,0.7921857,-0.9711838
351.4861,0.7586086,0.7921541,-0.9698739
351.4966,0.7537721,0.7919594,-0.9690957
351.5077,0.7490324,0.7918103,-0.9678829
351.5193,0.7443195,0.7917339,-0.9672322
351.5302,0.7390463,0.7918936,-0.965909
