Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
350.0349,YES,1,0.6722376,0.9939597,-0.6030176,0.7893293,1.12934,-0.8634236,0.3159897,NO,0.3719664
356.9475,YES,2,0.8227311,0.7995623,-0.9608326,0.9271682,0.9113522,-0.9417,0.1541756,NO,0.2126631
382.1821,YES,3,0.719422,0.9559706,-0.6969457,0.8080782,1.108022,-0.8515699,0.2342824,NO,0.08489395
386.9412,YES,4,0.6627342,0.9892197,-0.7171705,0.772734,1.170041,-0.8285122,0.2391512,YES,0
396.4578,YES,5,0.7742195,0.7856039,-0.9382071,0.833303,0.8802516,-0.9829512,0.1202127,NO,0.2132466
410.1199,YES,6,0.858249,1.267723,-0.3849735,0.7323865,1.283184,-0.6231973,0.2698722,NO,0.1606724
415.9396,YES,7,0.8543296,0.77703,-0.9949391,0.9278881,0.9098675,-0.9532681,0.1574584,YES,0
422.7752,YES,8,0.8270001,0.8085045,-0.8875802,0.8982032,0.8744439,-0.9482458,0.1144474,YES,0
429.8131,YES,9,0.6642534,0.7964076,-0.9345706,0.7578076,0.8864799,-0.9695487,0.1344948,NO,0.2330934
434.181,YES,10,0.8404707,0.774067,-0.9692442,0.8956013,0.8898873,-0.9750793,0.1284047,NO,0.1392804
439.3974,YES,11,0.876982,0.7948132,-0.9398043,0.9654309,0.9234716,-0.9283936,0.1565452,YES,0
455.3377,YES,12,0.6772491,1.130988,-0.7300696,0.7606463,1.149593,-0.9074187,0.1968603,YES,0
463.292,YES,13,0.7819357,0.7981256,-0.9027097,0.8792392,0.9064617,-0.926748,0.147589,YES,0
470.3852,YES,14,0.7618711,0.8384534,-0.8281457,0.8236076,0.9426544,-0.8859251,0.1341927,NO,0.1138427
475.0658,YES,15,0.6372128,0.8137646,-0.889802,0.7482709,0.9106759,-0.926914,0.1519967,NO,0.2398932
479.2767,YES,16,0.5826038,-0.2544591,-3.114352,0.8937646,0.9267108,-0.9232609,2.508558,NO,0.3188213
484.3704,YES,17,0.6842899,0.82804,-0.8302388,0.7918674,0.9208977,-0.8777153,0.1498315,NO,0.1477102
487.3863,YES,18,0.8473653,0.8336111,-0.8292902,0.9606337,0.9107993,-0.8918443,0.1506677,NO,0.1647323
492.8491,YES,19,0.8317812,0.8036853,-0.9135115,0.9296386,0.9181176,-0.9236314,0.150908,NO,0.1988922
497.8535,YES,20,0.7845107,0.8382324,-0.8005705,0.907012,0.930602,-0.849761,0.1611161,YES,0
503.7957,YES,21,0.7222883,2.026793,-0.5309627,0.8699172,1.055402,-0.8688061,1.039005,NO,0.3024695
509.5606,YES,22,0.6367941,0.8527721,-0.8255348,0.7335646,0.9171668,-0.9235535,0.1520488,NO,0.3038423
513.3245,YES,23,0.4365317,1.043993,-0.6769469,0.838953,0.9048007,-0.888536,0.4754866,NO,0.352779
516.7203,YES,24,0.7074184,0.9394808,-0.6398742,1.124234,0.9032694,-0.7666798,0.4371797,YES,0
520.1614,YES,25,0.933408,0.7540008,-0.8519547,0.8451376,0.9171056,-0.9235346,0.1987927,NO,1.191087
