Time,Ball X,Ball Y,Ball Z
62.46609,0.118135,1.262114,-0.6655395
62.47836,0.09664035,1.278444,-0.6946619
62.48806,0.07132316,1.297344,-0.7229638
62.49936,0.04841077,1.30883,-0.749332
62.51003,0.02585387,1.318943,-0.7760341
62.52176,0.0063802,1.328948,-0.8034832
62.53237,-0.01228452,1.341096,-0.8326926
62.5448,-0.0271287,1.350598,-0.8598635
62.55476,-0.04417205,1.358938,-0.886342
62.56657,-0.05824602,1.368218,-0.9147696
62.57861,-0.06345344,1.378561,-0.9512143
62.58834,-0.07364571,1.389772,-0.9840791
62.59949,-0.07531762,1.399031,-1.01816
62.61176,-0.07974648,1.405283,-1.052477
62.62186,-0.08294511,1.410253,-1.085326
62.63303,-0.08477485,1.415973,-1.11574
62.64458,-0.08732319,1.417441,-1.150129
62.65565,-0.09012926,1.420994,-1.182999
62.66705,-0.08693361,1.421297,-1.213463
62.67822,-0.08248985,1.420518,-1.24805
62.68872,-0.07888734,1.421401,-1.281829
62.69951,-0.07131338,1.42025,-1.312783
62.71063,-0.06391478,1.418021,-1.345742
62.72191,-0.05373907,1.415166,-1.37809
62.73354,-0.04296303,1.411789,-1.408134
62.74432,-0.03345716,1.407927,-1.438822
62.75586,-0.02295041,1.40332,-1.469428
62.7666,-0.009478331,1.395697,-1.49826
62.77766,0.003558397,1.387799,-1.526978
62.79,0.01574981,1.380818,-1.555693
62.80001,0.03031898,1.371407,-1.584421
62.81129,0.04473114,1.361784,-1.61253
62.82488,0.06322658,1.349977,-1.637952
62.83368,0.0802722,1.339541,-1.665606
62.84588,0.1038237,1.32638,-1.688437
62.85587,0.1245699,1.31492,-1.711648
62.86707,0.1490467,1.302031,-1.733279
62.87828,0.175053,1.289249,-1.753102
62.88945,0.200581,1.275701,-1.773851
62.9007,0.2297483,1.261479,-1.791102
62.91213,0.2609905,1.248191,-1.808207
62.92315,0.2939279,1.233745,-1.82324
62.93434,0.3272808,1.220331,-1.835881
62.94543,0.3648961,1.207745,-1.842358
62.95657,0.4008822,1.195263,-1.851325
62.96828,0.4381739,1.182408,-1.854623
62.97885,0.4740288,1.16841,-1.860725
62.99001,0.511829,1.154121,-1.863058
63.00246,0.5490509,1.13926,-1.866283
63.01337,0.5868027,1.122797,-1.866898
63.02431,0.6260365,1.107927,-1.864516
63.03484,0.6641294,1.094251,-1.864198
63.04606,0.7041243,1.08157,-1.854378
63.05881,0.7440469,1.068022,-1.846184
63.06839,0.7834392,1.054666,-1.839859
63.07968,0.8235101,1.042184,-1.829853
63.09068,0.8648254,1.028985,-1.819208
63.10185,0.9055244,1.017325,-1.805651
63.11282,0.9454181,1.007146,-1.790523
63.1242,0.9860342,0.9969008,-1.775123
63.13531,1.024211,0.9901141,-1.752039
63.14648,1.061037,0.9847925,-1.726873
63.15792,1.099178,0.9781415,-1.703927
63.16886,1.133434,0.9742975,-1.673462
63.17993,1.167462,0.9697864,-1.64641
63.19099,1.201271,0.9669584,-1.615776
63.20239,1.232333,0.9672551,-1.582875
63.21341,1.260449,0.9688669,-1.549184
63.22466,1.290979,0.9684446,-1.516377
63.23604,1.31756,0.9720315,-1.480488
63.24876,1.342743,0.9760065,-1.444919
63.2585,1.366761,0.979977,-1.408322
63.26936,1.390028,0.9853917,-1.370972
63.28156,1.409502,0.9924887,-1.332819
63.2924,1.426773,0.9994625,-1.292671
63.30285,1.44216,1.008038,-1.251631
63.31385,1.455763,1.016958,-1.211063
63.32735,1.470316,1.024586,-1.171107
63.33657,1.479865,1.035313,-1.12911
63.34759,1.486752,1.04649,-1.088756
63.35863,1.492996,1.057212,-1.048836
63.37004,1.498572,1.068861,-1.009032
63.38139,1.499909,1.082093,-0.9699252
63.3928,1.500029,1.094643,-0.9316425
63.40333,1.497633,1.108308,-0.8944516
63.41481,1.493661,1.122477,-0.8577263
63.42591,1.489094,1.135322,-0.821384
63.43739,1.47873,1.149694,-0.7869227
63.44837,1.471268,1.164014,-0.7518966
63.45972,1.45961,1.177621,-0.7186031
63.47055,1.448924,1.191143,-0.6845303
63.48265,1.435192,1.205076,-0.6527524
63.4938,1.418986,1.218076,-0.6217806
63.50394,1.402388,1.230896,-0.5926723
63.51561,1.384549,1.243936,-0.5647366
63.52624,1.36601,1.255545,-0.5387475
63.53765,1.345889,1.267376,-0.5130136
63.54914,1.326457,1.279163,-0.4877515
63.56012,1.303509,1.289665,-0.4654355
63.57113,1.280357,1.299708,-0.4446323
63.58239,1.256723,1.310392,-0.4234571
63.59327,1.23125,1.31973,-0.4064066
63.60479,1.204814,1.328786,-0.3908174
63.61556,1.176136,1.336841,-0.376307
63.62667,1.148075,1.344244,-0.3632741
63.63823,1.119438,1.350909,-0.3514521
63.64931,1.090481,1.357898,-0.3394866
63.66031,1.060881,1.363648,-0.3309195
63.6717,1.031067,1.368117,-0.3225265
63.68252,1.001097,1.372671,-0.3143206
63.69411,0.970439,1.374894,-0.3102694
63.70484,0.9405659,1.377568,-0.3035045
63.71643,0.9165838,1.378635,-0.3008456
63.72733,0.9103306,1.36429,-0.3256395
63.73911,0.9043414,1.364708,-0.3167334
63.74957,0.9340061,1.364367,-0.3289368
63.76077,0.9222863,1.362095,-0.3340256
63.77201,0.9100237,1.357027,-0.3342957
63.78296,0.9621158,1.358398,-0.3349662
63.79448,0.9580127,1.35181,-0.3404872
63.80558,0.9531208,1.331822,-0.3386443
63.81657,0.9735163,1.325311,-0.3391104
63.82897,0.963946,1.307172,-0.3314333
63.83918,0.9537038,1.304608,-0.3430891
63.85048,0.9630154,1.301149,-0.3470905
63.86187,0.9629899,1.274205,-0.3407793
63.87238,0.9567261,1.262994,-0.3258781
63.88372,0.9579817,1.246877,-0.3300338
63.89473,0.9530094,1.229195,-0.3397992
63.90624,0.9467722,1.215252,-0.348726
63.9172,0.9406571,1.199581,-0.3609378
63.92837,0.9313308,1.181574,-0.3699577
63.93967,0.9228279,1.178473,-0.368557
63.95081,0.9116489,1.172122,-0.3800192
63.96218,0.8987334,1.167008,-0.3872721
63.97328,0.8867596,1.166754,-0.387197
63.98421,0.8730304,1.163534,-0.3859093
63.99526,0.8635569,1.158657,-0.3863604
64.00655,0.8540958,1.153871,-0.3839009
64.01791,0.8444884,1.149981,-0.3822708
64.02895,0.8370415,1.146336,-0.3821681
64.04015,0.8289589,1.141389,-0.3799989
64.05144,0.820644,1.138778,-0.3797269
64.06245,0.8140185,1.137993,-0.3814285
64.0735,0.8078366,1.136469,-0.3809736
64.08469,0.8015579,1.136086,-0.3822818
64.09606,0.794862,1.136209,-0.3845122
64.10747,0.7893535,1.135446,-0.3862114
64.11813,0.7827042,1.135147,-0.3881793
64.12927,0.7761098,1.135723,-0.3909128
64.1405,0.7696646,1.134923,-0.3943803
64.15173,0.7613493,1.134556,-0.3957293
64.16302,0.7532748,1.134662,-0.399148
64.17406,0.7459974,1.133539,-0.4006565
64.18533,0.738601,1.131493,-0.4021411
64.19703,0.7323206,1.130277,-0.4034584
64.20779,0.7262118,1.129365,-0.4067876
64.21902,0.720869,1.127426,-0.4083765
64.23035,0.7153684,1.12677,-0.4098256
64.24104,0.7098594,1.124704,-0.4116488
64.25217,0.7031016,1.1247,-0.412468
64.26427,0.6988449,1.12353,-0.4136817
64.27477,0.6946106,1.122237,-0.4145858
64.28648,0.6886603,1.121795,-0.4150679
64.29735,0.6843832,1.121125,-0.4146571
64.30799,0.6812882,1.121724,-0.4132376
64.31971,0.677063,1.122801,-0.4116197
64.33202,0.6739322,1.125458,-0.4085109
64.34197,0.6707193,1.126668,-0.405987
64.35313,0.6672295,1.129283,-0.4030569
64.36588,0.6649048,1.13209,-0.4005153
64.3754,0.6634245,1.134427,-0.3981018
64.38805,0.6608639,1.137391,-0.3960199
64.39738,0.6599008,1.139968,-0.3949397
64.4098,0.6597373,1.14162,-0.3943338
64.42019,0.6588453,1.14344,-0.3936226
64.43085,0.6589712,1.145071,-0.3933156
64.4425,0.6589765,1.146014,-0.3935189
64.45351,0.6591347,1.147402,-0.3928781
64.46465,0.6584183,1.147413,-0.3924274
64.47597,0.6525481,1.14782,-0.3934112
64.4871,0.6538244,1.150367,-0.3967023
64.49821,0.649716,1.150427,-0.3960478
64.50945,0.6501309,1.151355,-0.3974726
64.52058,0.6487857,1.151111,-0.3971779
64.5317,0.6482006,1.151961,-0.3970706
64.54277,0.6474178,1.151966,-0.3960936
64.55424,0.6463743,1.153517,-0.3956993
64.56494,0.6448647,1.155736,-0.3945525
64.57632,0.6435297,1.156059,-0.3928175
64.58807,0.6420428,1.156166,-0.3912511
64.59874,0.6413755,1.156816,-0.3897827
64.60994,0.6408556,1.157296,-0.3881469
64.62145,0.640318,1.157996,-0.3861966
64.63208,0.6399136,1.158512,-0.3846986
64.64344,0.6395849,1.158705,-0.3840859
64.65477,0.6392038,1.159855,-0.3833077
64.66612,0.6392589,1.160955,-0.3829427
64.67693,0.6388886,1.16232,-0.3823206
64.688,0.6384208,1.165144,-0.3819261
64.69975,0.6387802,1.167707,-0.3821206
64.71053,0.6397151,1.170357,-0.3825421
64.72215,0.640847,1.172927,-0.3829091
64.73299,0.641885,1.175002,-0.3831382
64.7438,0.6430853,1.176803,-0.3836398
64.75517,0.6434864,1.178805,-0.3836122
64.76781,0.6447217,1.180171,-0.3837886
64.77736,0.6457393,1.181039,-0.3839693
64.78879,0.6466541,1.18222,-0.3836997
64.79996,0.6479067,1.182766,-0.3837388
64.81091,0.6490651,1.183217,-0.3835359
64.82282,0.6504087,1.183313,-0.3829064
64.83441,0.6516451,1.182916,-0.3822079
64.84579,0.6526611,1.182749,-0.3813508
64.85551,0.6542761,1.182584,-0.3803444
64.86666,0.6558465,1.181307,-0.379642
64.87787,0.6578214,1.180618,-0.3784957
64.88911,0.6594689,1.17998,-0.3792665
64.90056,0.6609625,1.178732,-0.3790588
64.91389,0.6635733,1.17761,-0.3793066
64.92268,0.6660155,1.176469,-0.3799036
64.93376,0.6693048,1.175299,-0.3805883
64.94555,0.6727509,1.173695,-0.381773
64.95596,0.6759035,1.172636,-0.3824487
64.96722,0.6802217,1.171188,-0.3837535
64.97878,0.6838561,1.169482,-0.3846943
64.98989,0.6875013,1.167881,-0.385411
65.00082,0.6911764,1.166264,-0.3865201
65.01299,0.6947246,1.164426,-0.3876441
65.02351,0.6980308,1.162741,-0.3884785
65.03461,0.701845,1.160722,-0.3896689
65.04558,0.7052711,1.158112,-0.390779
65.05663,0.7085546,1.156137,-0.391876
65.06796,0.7123604,1.153439,-0.3928638
65.08099,0.7161252,1.150773,-0.3939645
65.09017,0.7203416,1.148305,-0.394789
65.10124,0.7247168,1.14529,-0.3958395
65.11448,0.7290757,1.142496,-0.3972237
65.12368,0.733212,1.140297,-0.3982542
65.13676,0.7379736,1.138107,-0.3992083
65.14634,0.7431098,1.135921,-0.3996141
65.15752,0.7478457,1.133767,-0.4001226
65.16839,0.7526147,1.132527,-0.400744
65.18029,0.7573127,1.131067,-0.4016213
65.19177,0.7617853,1.129995,-0.402046
65.20232,0.7667077,1.128652,-0.4024458
65.21429,0.7712959,1.12697,-0.4030871
65.22412,0.7756476,1.125672,-0.4035239
65.23531,0.7804455,1.124452,-0.4043298
65.24656,0.7852628,1.122849,-0.4054177
65.25816,0.7900283,1.120923,-0.405688
65.26912,0.7950142,1.119399,-0.4066505
65.28001,0.7992179,1.117367,-0.4080696
65.29144,0.8034853,1.115341,-0.4091914
65.30248,0.8080318,1.113505,-0.4105921
65.31366,0.8120556,1.111538,-0.4122224
65.32484,0.816265,1.109909,-0.4137127
65.33803,0.8204744,1.108248,-0.4153094
65.34705,0.8242275,1.106537,-0.4168639
65.35825,0.8275914,1.105264,-0.4181833
65.36963,0.8314379,1.104022,-0.4198344
65.38071,0.8342909,1.102974,-0.4212971
65.39185,0.8376066,1.10179,-0.4225886
65.40297,0.8409321,1.100535,-0.4238625
65.41393,0.8434743,1.099196,-0.4249904
65.42521,0.8463739,1.097774,-0.4262493
65.43705,0.8492614,1.096422,-0.4276192
65.44804,0.852021,1.094881,-0.4291499
65.45875,0.8545116,1.093638,-0.4306512
65.47059,0.8571423,1.092213,-0.4318957
65.48109,0.8590331,1.090841,-0.4330471
65.49264,0.8607771,1.089657,-0.4340069
65.50398,0.8622602,1.08872,-0.4348187
65.51498,0.8632837,1.087467,-0.4357502
65.52614,0.8641199,1.086355,-0.4365716
65.53713,0.8650655,1.085257,-0.4373879
65.54806,0.8654799,1.083909,-0.4382663
67.98312,0.308511,1.581121,-0.8649848
67.99461,0.2961227,1.606513,-0.8792951
68.00656,0.2836342,1.631265,-0.8940454
68.01669,0.2720693,1.654757,-0.9093604
68.02777,0.2608753,1.676888,-0.922467
68.03974,0.2494064,1.698858,-0.9370675
68.05045,0.2388579,1.719566,-0.9512174
68.06168,0.2289653,1.738644,-0.964988
68.07249,0.2178025,1.758235,-0.9792309
68.08373,0.2073358,1.777122,-0.9928281
68.09496,0.1998837,1.792377,-1.009557
68.10642,0.1908726,1.807663,-1.026417
68.11741,0.1808059,1.822847,-1.04113
68.1284,0.1720409,1.835011,-1.057927
68.13983,0.1630661,1.845928,-1.07421
68.15115,0.1535846,1.855424,-1.091408
68.16196,0.1449932,1.866086,-1.108307
68.17354,0.135003,1.87222,-1.125403
68.18432,0.1230093,1.874631,-1.142079
68.19578,0.1134175,1.880462,-1.159649
68.20679,0.103595,1.884326,-1.177139
68.21814,0.092049,1.884911,-1.192994
68.22908,0.08130419,1.886358,-1.210432
68.24086,0.06898451,1.882405,-1.224414
68.25158,0.05725837,1.878522,-1.238858
68.2644,0.04597831,1.875174,-1.253401
68.274,0.03430629,1.869993,-1.268822
68.28519,0.02301824,1.863899,-1.281896
68.29649,0.0125792,1.857145,-1.295147
68.30766,0.002652645,1.849237,-1.308321
