Time,Ball X,Ball Y,Ball Z
330.46,-1.111,0,0
330.47,-1.111,0,0
330.481,-1.111,0,0
330.4921,-1.111,0,0
330.5039,-1.111,0,0
330.5156,-1.111,0,0
330.5261,-1.111,0,0
330.5374,-1.111,0,0
330.5484,-1.111,0,0
330.5595,-1.111,0,0
330.5708,-1.111,0,0
330.5826,-1.111,0,0
330.593,-1.111,0,0
330.6042,-1.111,0,0
330.6156,-1.111,0,0
330.6266,-1.111,0,0
330.6379,-1.111,0,0
330.6491,-1.111,0,0
330.6604,-1.111,0,0
330.6712,-1.111,0,0
330.6825,-1.111,0,0
330.6943,-1.111,0,0
330.705,-1.111,0,0
330.7161,-1.111,0,0
330.7274,-1.111,0,0
330.7388,-1.111,0,0
330.7495,-1.111,0,0
330.7609,-1.111,0,0
330.7717,-1.111,0,0
330.7829,-1.111,0,0
330.7952,-1.111,0,0
330.8051,-1.111,0,0
330.8168,-1.111,0,0
330.8281,-1.111,0,0
330.8394,-1.111,0,0
330.8502,-1.111,0,0
330.8613,-1.111,0,0
330.8726,-1.111,0,0
330.8834,-1.111,0,0
330.8945,-1.111,0,0
330.9059,-1.111,0,0
330.9174,-1.111,0,0
330.93,-1.111,0,0
330.9392,-1.111,0,0
330.9503,-1.111,0,0
330.9619,-1.111,0,0
330.9735,-1.111,0,0
330.9851,-1.111,0,0
330.9948,-1.111,0,0
331.0084,-1.111,0,0
331.0175,-1.111,0,0
331.0287,-1.111,0,0
331.0397,-1.111,0,0
331.0517,-1.111,0,0
331.0619,-1.111,0,0
331.0733,-1.111,0,0
331.0843,-1.111,0,0
331.0958,-1.111,0,0
331.1067,-1.111,0,0
331.1179,-1.111,0,0
331.1293,-1.111,0,0
331.1407,-1.111,0,0
331.1516,-1.111,0,0
331.1628,-1.111,0,0
331.174,-1.111,0,0
331.1855,-1.111,0,0
331.1964,-1.111,0,0
331.208,-1.111,0,0
331.2188,-1.111,0,0
331.23,-1.111,0,0
331.2413,-1.111,0,0
331.2525,-1.111,0,0
331.2634,-1.111,0,0
331.2747,-1.111,0,0
331.2861,-1.111,0,0
331.2972,-1.111,0,0
331.3081,-1.111,0,0
331.3195,-1.111,0,0
331.3306,-1.111,0,0
331.3419,-1.111,0,0
331.3528,-1.111,0,0
331.3645,-1.111,0,0
331.3753,-1.111,0,0
331.3862,-1.111,0,0
331.3978,-1.111,0,0
331.4087,-1.111,0,0
331.4198,-1.111,0,0
331.4326,-1.111,0,0
331.4424,-1.111,0,0
331.4532,-1.111,0,0
331.4644,-1.111,0,0
331.4758,-1.111,0,0
331.4869,-1.111,0,0
331.4984,-1.111,0,0
331.5092,-1.111,0,0
331.5204,-1.111,0,0
331.5317,-1.111,0,0
331.5428,-1.111,0,0
331.5539,-1.111,0,0
331.5655,-1.111,0,0
331.5762,-1.111,0,0
331.5876,-1.111,0,0
331.5988,-1.111,0,0
331.6098,-1.111,0,0
331.6207,-1.111,0,0
331.6325,-1.111,0,0
331.6432,-1.111,0,0
331.6547,-1.111,0,0
331.6657,-1.111,0,0
331.6768,-1.111,0,0
331.688,-1.111,0,0
331.6993,-1.111,0,0
331.7101,-1.111,0,0
331.7215,-1.111,0,0
331.7328,0.6004814,0.9939568,-0.5647633
331.744,0.6019701,0.9909309,-0.5678322
331.7555,0.6032727,0.9880151,-0.5709801
331.7666,0.6046218,0.9849522,-0.574626
331.7775,0.6072224,0.9813727,-0.5780561
331.7885,0.6081292,0.9785167,-0.5810976
331.7998,0.6077676,0.9762583,-0.584754
331.8107,0.6111257,0.9730074,-0.588444
331.8221,0.6113767,0.9702655,-0.5914383
331.8335,0.6102022,0.9684441,-0.5925655
331.8441,0.6101881,0.9656556,-0.5954342
331.856,0.6086082,0.9634444,-0.5972636
331.8668,0.6063104,0.9620111,-0.5994012
331.8781,0.6050873,0.9594216,-0.6020453
331.8892,0.6038727,0.9568698,-0.604739
331.9018,0.6000738,0.955489,-0.6065893
331.9113,0.5938925,0.9559461,-0.6080713
331.9226,0.5911536,0.9538387,-0.6111786
331.935,0.5829483,0.9553996,-0.6123509
331.9468,0.5794948,0.9536067,-0.6157877
331.956,0.572222,0.9541565,-0.6176579
331.9682,0.5686042,0.9525807,-0.6210711
331.9785,0.561924,0.953405,-0.6238534
331.9893,0.5524642,0.9552113,-0.6258934
332.0009,0.5477743,0.9542147,-0.6299326
332.012,0.5391411,0.9559273,-0.632576
332.0232,0.5285648,0.9582276,-0.6350014
332.0342,0.5195677,0.9601705,-0.6381757
332.0454,0.5137977,0.95978,-0.6423943
332.058,0.5054894,0.9608514,-0.6458943
332.0686,0.4976484,0.96217,-0.6493919
332.0787,0.4909248,0.9623486,-0.653409
332.0902,0.4833624,0.9630762,-0.6568048
332.101,0.4756986,0.9643418,-0.6599088
332.1122,0.4686977,0.9649996,-0.6632526
332.1234,0.4608524,0.9666785,-0.6653359
332.1352,0.4542377,0.9679031,-0.6680665
332.1458,0.4474365,0.9691432,-0.6705856
332.157,0.440975,0.9706991,-0.6723764
332.1682,0.4354966,0.9720975,-0.674427
332.1794,0.4301803,0.9734942,-0.6762321
332.1911,0.4260463,0.9747947,-0.6778598
332.2017,0.4217473,0.9759251,-0.6796794
332.2127,0.4189384,0.9770514,-0.6814299
332.2256,0.4167032,0.9777769,-0.6831062
332.236,0.4146233,0.9784038,-0.6848445
332.2464,0.4140613,0.9786913,-0.6865525
332.2575,0.4144051,0.9786854,-0.6882694
332.2687,0.4155402,0.9784623,-0.6899483
332.2799,0.4166015,0.9782255,-0.6915629
332.2914,0.4192902,0.9775194,-0.6931157
332.3021,0.4227331,0.9764453,-0.6946526
332.3137,0.4259373,0.9753025,-0.6960716
332.3246,0.4313725,0.9730232,-0.6971626
332.3365,0.4358282,0.9710199,-0.6983311
332.3477,0.4415671,0.9680868,-0.6992509
332.358,0.4477503,0.9645499,-0.7000546
332.3691,0.4543849,0.9603933,-0.7007697
332.3804,0.4608669,0.9562732,-0.7015505
332.3914,0.4683572,0.9510309,-0.702193
332.4027,0.4763353,0.9453151,-0.7027364
332.4158,0.4842013,0.9397303,-0.7033186
332.4251,0.4936789,0.9327615,-0.703722
332.4394,0.5024909,0.926535,-0.7042
332.4472,0.5117582,0.9200388,-0.7046077
332.4587,0.5225598,0.9127111,-0.7048247
332.4696,0.5331737,0.9057153,-0.7051008
332.481,0.5442218,0.8987026,-0.7052667
332.4921,0.5551255,0.8919053,-0.7054474
332.5031,0.5666922,0.8851358,-0.7054801
332.5145,0.5784805,0.878624,-0.7054145
332.5257,0.5901976,0.8722333,-0.7053332
332.5371,0.6081205,0.8798758,-0.7020581
332.5482,0.6209043,0.874269,-0.7017603
332.5592,0.6262439,0.8733529,-0.693429
332.5705,0.6333763,0.8726884,-0.6907134
332.5818,0.6465114,0.8683136,-0.6900015
332.5926,0.6542425,0.867703,-0.687151
332.6039,0.6589815,0.8690648,-0.6835454
332.6154,0.6718623,0.865749,-0.682574
332.6262,0.6759658,0.8673421,-0.6785228
332.6375,0.6698623,0.8760555,-0.6712747
332.6485,0.6819412,0.8735149,-0.6701107
332.6597,0.6761147,0.8817409,-0.6634562
332.6716,0.6690853,0.8914434,-0.6561792
332.682,0.6801949,0.8897285,-0.6548715
332.6935,0.6762167,0.8971877,-0.6488407
332.7052,0.6654186,0.9088581,-0.6407483
332.7156,0.6749707,0.9083229,-0.6393256
332.7266,0.6763825,0.912447,-0.635134
332.7378,0.6748114,0.9184939,-0.6304176
332.7498,0.6832666,0.9184346,-0.6289363
332.7612,0.6876467,0.9205574,-0.6260343
332.772,0.6893388,0.9241332,-0.6228383
332.7827,0.6963245,0.924294,-0.6213934
332.7942,0.7007202,0.9256496,-0.618993
332.8049,0.703883,0.9274143,-0.616775
332.8162,0.7097231,0.9274421,-0.6154773
332.8275,0.7136874,0.9285133,-0.6132743
332.8385,0.7167069,0.9303161,-0.6113713
332.8511,0.7218598,0.9304203,-0.6102178
332.8606,0.7246318,0.9312974,-0.6083653
332.8723,0.7272857,0.9324559,-0.6067986
332.8832,0.7309904,0.9325845,-0.6059418
332.8943,0.7319458,0.9340622,-0.6040969
332.9055,0.7351219,0.9341038,-0.6032693
332.9166,0.7382934,0.9342407,-0.6025181
332.9276,0.7395679,0.9350202,-0.601366
332.9404,0.7398905,0.9360455,-0.6001384
332.95,0.7422823,0.9361389,-0.5994816
332.962,0.7427375,0.9368396,-0.5983577
332.9725,0.7436162,0.9376667,-0.5974429
332.9839,0.7451761,0.9376477,-0.596981
332.9949,0.7440987,0.9390714,-0.5956933
333.0059,0.7453275,0.9389855,-0.5953741
333.0172,0.7466174,0.9389063,-0.5950356
333.0282,0.7448757,0.94025,-0.5939319
333.0393,0.7456813,0.9400296,-0.5937736
333.0505,0.7463518,0.9397575,-0.5936747
333.0617,0.745912,0.9399257,-0.5931387
333.0731,0.7446373,0.9405692,-0.5926275
333.0841,0.745099,0.9401623,-0.5926063
333.0954,0.7442739,0.940256,-0.5927644
333.1064,0.7425063,0.9407557,-0.5924103
333.1175,0.7425616,0.9401568,-0.5926855
333.1289,0.7417083,0.9399772,-0.5923774
333.1405,0.7397369,0.9404517,-0.5920632
333.151,0.7395563,0.939875,-0.5924184
333.1624,0.7383743,0.939837,-0.5924191
333.1735,0.7362043,0.9403183,-0.5923197
333.1845,0.7359633,0.9397938,-0.5927751
333.196,0.7345989,0.93986,-0.5930462
333.2069,0.7323308,0.9404199,-0.5930202
333.2182,0.7320501,0.9398979,-0.5935934
333.2302,0.7283419,0.9412578,-0.5932176
333.241,0.7280548,0.9407305,-0.593797
333.2516,0.7277873,0.9401662,-0.5943675
333.2631,0.7238546,0.9415658,-0.5937061
333.2739,0.72363,0.9408807,-0.594346
333.2854,0.7224258,0.9407799,-0.5946224
333.2964,0.7199312,0.9412946,-0.5945756
333.3075,0.7197492,0.9406198,-0.5951567
333.3189,0.7196834,0.9399052,-0.59571
333.3319,0.7184718,0.9398061,-0.5958345
333.3412,0.7157269,0.9405196,-0.5955682
333.3521,0.7156603,0.9397936,-0.5961096
333.3635,0.7148552,0.9394677,-0.596463
333.3745,0.7123582,0.9401072,-0.5962501
333.3862,0.7124245,0.9393736,-0.5967872
333.3969,0.7114023,0.9392972,-0.5970378
333.4081,0.7089481,0.9400655,-0.5967953
333.4192,0.7091222,0.9394006,-0.5973032
333.4303,0.7081264,0.9394609,-0.5974314
333.4432,0.7059727,0.9403632,-0.5971882
333.4527,0.706278,0.9398594,-0.597651
333.4641,0.705453,0.9400589,-0.5976727
333.4757,0.7039933,0.940657,-0.5975487
333.4862,0.7045255,0.940248,-0.597944
333.4981,0.7017697,0.941703,-0.5972202
333.5085,0.7023251,0.9413069,-0.5975897
333.52,0.7022532,0.9413378,-0.5975573
333.5311,0.7030624,0.9408939,-0.5978417
333.542,0.7016023,0.9417259,-0.5974336
333.5536,0.7025119,0.9412426,-0.5976741
333.5645,0.7027814,0.9411215,-0.5975492
333.5757,0.7016697,0.9418219,-0.5971386
333.5876,0.7019878,0.941673,-0.5970221
333.5988,0.703098,0.9411038,-0.5971432
333.6097,0.7020094,0.9417745,-0.5966396
333.6202,0.7031741,0.941188,-0.5967426
333.6327,0.7037019,0.9409541,-0.596596
333.6432,0.7027675,0.9417197,-0.5959952
333.6537,0.7015437,0.9425005,-0.5954111
333.666,0.7028413,0.9419043,-0.5954633
333.6761,0.7020168,0.9426157,-0.5949047
333.6873,0.70333,0.9420558,-0.5949423
333.699,0.7030752,0.9424074,-0.5943882
333.7097,0.7021785,0.9431299,-0.5937607
333.722,0.701975,0.9435091,-0.5934298
333.7324,0.7033228,0.9430969,-0.5934758
333.7436,0.7026554,0.9439112,-0.5929091
333.7543,0.7024539,0.9444554,-0.5924509
333.7658,0.7038046,0.9441564,-0.5924919
333.7767,0.7031421,0.9450998,-0.5919366
333.7886,0.7028462,0.9457445,-0.591141
333.7996,0.701816,0.9469379,-0.5904813
333.8103,0.7031066,0.9467229,-0.5905252
333.8224,0.7032132,0.947137,-0.5900488
333.8329,0.7027571,0.9479644,-0.5895379
333.844,0.7040344,0.9477037,-0.5895567
333.8552,0.7053013,0.9474162,-0.5896134
333.8667,0.7056551,0.9475986,-0.5895894
333.8773,0.7052537,0.948293,-0.5891178
333.8888,0.7064041,0.9479468,-0.5891156
333.8999,0.7049424,0.9491501,-0.5879717
333.9109,0.7060097,0.9488387,-0.5879033
333.9224,0.7060469,0.9490676,-0.5873127
333.9334,0.7053727,0.9497911,-0.5866735
333.9471,0.7063538,0.9495676,-0.586489
333.956,0.7061788,0.9501045,-0.5864131
333.967,0.7046909,0.950645,-0.5857823
333.9781,0.7054433,0.9505644,-0.5856237
333.9893,0.7052004,0.9510955,-0.5848389
334.0004,0.7035346,0.9526391,-0.5839877
334.0118,0.7040859,0.9528555,-0.5837336
334.0231,0.7028856,0.9540811,-0.5827982
334.0338,0.7034323,0.954507,-0.5824921
334.0453,0.7006024,0.9564252,-0.5812869
334.0563,0.6983184,0.9585466,-0.5797951
334.0672,0.6963647,0.9606848,-0.5786157
334.0786,0.6965279,0.9616048,-0.5780568
334.0896,0.6964465,0.9628726,-0.5771251
334.1011,0.6962098,0.9640244,-0.5763505
334.1121,0.6966471,0.9652565,-0.5752778
334.1237,0.6966259,0.9668815,-0.5737402
334.1346,0.6977596,0.9681305,-0.572521
334.1454,0.6982154,0.9696375,-0.5711453
334.1568,0.6999395,0.9706678,-0.5699618
334.1681,0.6820211,0.9829485,-0.5630491
334.1798,0.6813093,0.9855528,-0.5613923
334.1903,0.6859308,0.985086,-0.5613155
334.2013,0.6771352,0.9919189,-0.5574813
334.213,0.6760548,0.994507,-0.5561125
334.2239,0.6812024,0.9934931,-0.5564845
334.2353,0.6805018,0.9956832,-0.5551662
334.2461,0.6766459,0.9992402,-0.5528252
334.2573,0.6818315,0.9982235,-0.5530393
334.2686,0.6805464,1.000649,-0.5510516
334.2797,0.6798285,1.002832,-0.5491674
334.2909,0.6864703,1.001022,-0.5497711
334.3025,0.6842176,1.004013,-0.5473404
334.3131,0.6837042,1.006111,-0.5456102
334.3246,0.6913917,1.003792,-0.5462997
334.3358,0.6894481,1.006723,-0.5440898
334.3473,0.6890985,1.008903,-0.5424087
334.3581,0.6964749,1.006853,-0.5425522
334.3692,0.6959889,1.009201,-0.5407166
334.3802,0.6958637,1.011506,-0.5390682
334.3913,0.7030551,1.00982,-0.5394053
334.403,0.705126,1.011319,-0.5383584
334.4138,0.705272,1.013565,-0.5368659
334.4254,0.712951,1.011877,-0.5376506
334.4368,0.7100057,1.016133,-0.5352583
334.449,0.7100601,1.018593,-0.5337718
334.4582,0.7127233,1.019631,-0.532975
334.4694,0.7105277,1.023297,-0.5308907
334.4808,0.7103549,1.025827,-0.5294557
334.492,0.713038,1.026822,-0.5287793
334.5032,0.7110117,1.030307,-0.5269182
334.5143,0.7106974,1.032872,-0.5255039
334.5256,0.7129409,1.034069,-0.5246434
334.5365,0.7163644,1.034975,-0.5242674
334.5477,0.7158301,1.037654,-0.5228572
334.5592,0.7186145,1.038546,-0.5220885
334.5713,0.7239342,1.038344,-0.5222259
334.582,0.7236013,1.040841,-0.5208714
334.5925,0.7260721,1.041787,-0.5202808
334.6037,0.7359218,1.038911,-0.5217578
334.6155,0.7356232,1.041197,-0.520472
334.626,0.737404,1.042134,-0.5198743
334.6375,0.7535314,1.035675,-0.5230682
334.6487,0.7532692,1.037558,-0.5219498
334.6593,0.7553695,1.038078,-0.5214553
334.6708,0.7804341,1.026918,-0.5271826
334.6823,0.7805207,1.02815,-0.5261314
334.6934,0.7834439,1.027749,-0.5260408
334.7044,0.789937,1.026072,-0.5268049
334.7168,0.7899326,1.027096,-0.5259228
