Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
337.7987,YES,1,0.8591132,0.9528545,-0.541657,0.8429356,0.9954212,-0.4716856,0.08348427,NO,0.2668329
340.8593,YES,2,0.8604476,0.9856181,-0.5284464,0.8554932,1.027886,-0.4614828,0.07934272,YES,0
345.1383,YES,3,0.5705444,0.8596919,-0.7546663,0.7126066,0.9785174,-0.4671242,0.3420258,NO,1.400451
347.0808,YES,4,0.8787797,0.982267,-0.5317302,0.8720539,1.020526,-0.4650631,0.07715868,NO,0.2617096
350.0075,YES,5,0.8537583,0.9949372,-0.4984975,0.8557013,1.01814,-0.4809644,0.0291468,NO,0.2209359
352.9231,YES,6,0.9300069,1.010496,-0.5009832,0.9071605,1.031184,-0.4559646,0.0545582,NO,0.2781211
356.699,YES,7,0.8668158,1.002268,-0.5016689,0.8785734,1.010715,-0.4186411,0.08428057,NO,0.1864743
359.4577,YES,8,0.8483174,0.9272754,-0.5798218,0.8380532,0.9387563,-0.5283792,0.05369833,NO,0.2238075
364.7863,YES,9,0.5368178,1.26841,-1.898597,0.6721925,0.9123343,-0.4887266,1.460428,YES,0
368.5977,YES,10,0.9380699,1.066167,-0.4485261,0.8944775,1.074178,-0.3900921,0.07334165,NO,0.1203336
370.6956,YES,11,0.8342147,0.9652665,-0.5485156,0.8301856,1.001042,-0.4979746,0.0620524,NO,0.150599
373.6224,YES,12,0.9142995,1.038327,-0.46347,0.8735729,1.06387,-0.4079068,0.07347393,YES,0
375.9562,YES,13,0.9120565,1.004633,-0.5013638,0.8918766,1.040068,-0.4293852,0.08272694,NO,0.1293195
384.4353,YES,14,0.8544889,0.9764214,-0.505558,0.8247545,0.9730166,-0.4197168,0.09090893,YES,0
386.2449,YES,15,0.6755896,0.778861,-0.9700899,0.825746,0.9538854,-0.4937794,0.5291995,YES,0
392.9245,YES,16,0.5581594,1.051545,-0.5206981,0.6082412,1.031431,-0.5280473,0.05446805,NO,0.1306992
395.673,YES,17,0.7811823,0.9688511,-0.5295451,0.8157099,1.021306,-0.4864678,0.07615327,NO,0.1614724
399.1358,YES,18,0.1979047,1.062046,-0.7736576,0.4089423,1.054424,-0.8059931,0.2136365,YES,0
403.6599,YES,19,0.5987552,1.121415,-0.4055605,0.735145,1.079814,-0.470782,0.1568015,YES,0
409.2677,YES,20,0.455318,1.126814,-0.5294344,0.5062399,1.05972,-0.5428233,0.08528747,NO,0.1608352
413.3568,YES,21,0.6036038,1.059229,-0.5434778,0.6401296,1.017306,-0.5306463,0.05706445,NO,0.2129281
416.4948,YES,22,0.3243483,1.138379,-0.6002612,0.4256419,1.080407,-0.6434863,0.1244566,YES,0
420.1142,YES,23,0.4249835,1.319376,-0.4241185,0.6287039,1.119919,-0.389715,0.2871737,YES,0
424.549,YES,24,0.7019401,0.929695,-0.5906208,0.7161642,0.9416682,-0.4705019,0.1215493,NO,0.8108099
426.4378,YES,25,0.6086285,0.9636186,-0.5738785,0.6883308,1.002654,-0.5389893,0.0953599,YES,0
