Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
571.1502,YES,1,0.6605771,0.8610493,-0.7892153,0.6302733,0.9552048,-0.762048,0.1025751,NO,0.2257493
573.7756,YES,2,0.6204297,0.9312688,-0.705987,0.5484193,1.119486,-0.6690454,0.2048801,NO,0.07510674
582.7452,YES,3,1.011412,0.8890684,-0.8128707,0.8965995,0.9396453,-0.8592312,0.1337507,NO,0.1253901
586.8111,YES,4,0.6470757,0.8595015,-0.7868066,0.6051663,0.9366646,-0.7596357,0.09191732,YES,0
592.4206,YES,5,0.3846543,0.9740247,-0.7081833,0.4343427,1.032812,-0.6725912,0.08480359,NO,0.1828398
595.0105,YES,6,0.837423,0.8330411,-0.8309934,0.7792044,0.9105196,-0.8334084,0.09694411,NO,0.1096053
598.0157,YES,7,0.5264632,0.9705285,-0.6059232,0.5840367,1.016295,-0.5691481,0.08222932,NO,0.1396549
601.1542,YES,8,0.4632057,0.8951045,-0.8460445,0.5041763,0.9633161,-0.8260427,0.08204559,NO,0.1882235
609.4537,YES,9,0.8550568,0.7937766,-0.8715568,0.7483721,0.8955477,-0.8616772,0.1477721,YES,0
614.7602,YES,10,1.157497,0.8443981,-1.096971,0.81845,1.038848,-0.9713414,0.4105445,NO,0.0669849
620.9939,YES,11,0.8352668,0.8423325,-0.8562419,0.7537079,0.9173124,-0.8493528,0.1110013,NO,0.1330952
625.0482,YES,12,0.4431361,0.9588046,-0.6910017,0.5330882,1.003083,-0.680563,0.1008012,NO,0.151169
627.4734,YES,13,0.6118608,0.9454265,-0.624722,0.6499453,1.011509,-0.5979996,0.08081715,NO,0.07151078
630.3093,YES,14,0.5730321,0.919212,-0.6924989,0.6027209,0.9781049,-0.6636715,0.07197795,NO,0.09480676
635.4477,YES,15,0.7786128,0.8564646,-0.749907,0.7187034,0.9248952,-0.743891,0.09114857,YES,0
