Time,Ball X,Ball Y,Ball Z
516.2025,1.040007,0.9715284,-0.6326919
516.2119,1.039968,0.9740769,-0.6338122
516.2234,1.040072,0.9766693,-0.6349561
516.2344,1.040078,0.979899,-0.636076
516.2456,1.040334,0.9828939,-0.6371686
516.2569,1.040461,0.9859242,-0.6382773
516.2679,1.040837,0.9892241,-0.6393967
516.2794,1.041025,0.992372,-0.6404603
516.2903,1.040433,0.995487,-0.641355
516.3013,1.040022,0.9983276,-0.6424158
516.3125,1.038947,1.000744,-0.6437602
516.3245,1.037726,1.002973,-0.6453481
516.3351,1.036269,1.004887,-0.647016
516.347,1.034429,1.006547,-0.6487899
516.3583,1.03264,1.008232,-0.6505978
516.3688,1.030379,1.009571,-0.6526322
516.38,1.028263,1.010983,-0.6545894
516.3912,1.025762,1.012081,-0.656703
516.402,1.02323,1.013095,-0.6589775
516.4131,1.02082,1.01415,-0.6612794
516.4242,1.018135,1.014907,-0.6640136
516.4363,1.015482,1.015741,-0.6667254
516.4478,1.012815,1.016613,-0.6695035
516.4575,1.010049,1.017237,-0.6727228
516.469,1.007361,1.017998,-0.6758072
516.4804,1.004647,1.018727,-0.6790123
516.4915,1.001853,1.019364,-0.6825452
516.5024,0.9989498,1.019956,-0.6861734
516.5135,0.9959483,1.020544,-0.6899452
516.5251,0.992776,1.021087,-0.6938031
516.5359,0.989463,1.021565,-0.6977892
516.5473,0.9861373,1.022062,-0.7017787
516.558,0.9825417,1.022424,-0.7060499
516.5696,0.9788411,1.022735,-0.7104764
516.5807,0.9750023,1.022996,-0.7150679
516.5918,0.9711952,1.023253,-0.7196317
516.6035,0.9671521,1.02339,-0.724489
516.6141,0.9629447,1.023346,-0.7294948
516.6253,0.9588154,1.023302,-0.7344053
516.6365,0.9544772,1.022995,-0.7395196
516.6481,0.9501915,1.022671,-0.7446241
516.6588,0.9456728,1.022112,-0.7499921
516.6713,0.9410986,1.021489,-0.7553144
516.6811,0.9364725,1.020847,-0.7606797
516.693,0.9317206,1.020105,-0.7660463
516.7056,0.9270316,1.019395,-0.7713552
516.7151,0.9223075,1.018553,-0.7767389
516.7258,0.9175965,1.017675,-0.7821503
516.7373,0.9129962,1.016753,-0.7876203
516.7485,0.9083347,1.015806,-0.7931712
516.7592,0.903839,1.014733,-0.7989142
516.7708,0.8993027,1.013804,-0.8046381
516.7815,0.8947574,1.012896,-0.8106263
516.7929,0.8902245,1.012046,-0.8167565
516.8043,0.885799,1.011361,-0.8229868
516.8159,0.8814509,1.01077,-0.8291781
516.8264,0.8774097,1.010501,-0.835444
516.8381,0.8734102,1.010276,-0.841727
516.8492,0.8699656,1.010585,-0.8482342
516.8604,0.8663523,1.01083,-0.8546846
516.8712,0.8626164,1.011007,-0.8610487
516.8824,0.8587706,1.011308,-0.8674591
516.8939,0.854736,1.011474,-0.8739471
516.9044,0.8506562,1.011526,-0.8804834
516.9157,0.8463637,1.011475,-0.8871405
516.9271,0.8419468,1.011329,-0.8938119
516.938,0.8374931,1.011109,-0.9003801
516.9494,0.832895,1.010761,-0.9069197
516.9603,0.8282679,1.010259,-0.9135103
516.9716,0.8237727,1.00978,-0.920105
516.9828,0.8193828,1.009137,-0.9267306
516.994,0.8150399,1.008623,-0.9333682
517.005,0.810888,1.008058,-0.940042
517.0166,0.8069167,1.007519,-0.9467044
517.028,0.8029957,1.007015,-0.9533401
517.0386,0.7994846,1.006624,-0.960057
517.05,0.7958937,1.006304,-0.9666944
517.0615,0.7925901,1.006215,-0.9733949
517.0721,0.7892778,1.006194,-0.9800727
517.0837,0.7863233,1.006659,-0.9868419
517.0944,0.7831362,1.00699,-0.9935958
517.106,0.7799904,1.007485,-1.000409
517.1172,0.7769272,1.0086,-1.00756
517.1281,0.7738226,1.009706,-1.014694
517.1391,0.7706442,1.010941,-1.022045
517.1513,0.7674247,1.011911,-1.029281
517.1613,0.7641847,1.01337,-1.03705
517.1729,0.7609285,1.014573,-1.044758
517.184,0.7577475,1.015777,-1.052696
517.1948,0.7545663,1.016932,-1.060871
