Time,Ball X,Ball Y,Ball Z
55.57632,1.27461,0.8990493,-1.223293
55.58689,1.273055,0.8969223,-1.257244
55.59856,1.270923,0.8937554,-1.296845
55.60943,1.267547,0.8948327,-1.328794
55.62215,1.25904,0.8992181,-1.361707
55.63162,1.252892,0.9038963,-1.391178
55.64262,1.245143,0.9070933,-1.423122
55.65385,1.236767,0.9106362,-1.454992
55.66491,1.227096,0.9182537,-1.480302
55.67644,1.216869,0.9233035,-1.510908
55.68786,1.206817,0.9280187,-1.541956
55.7001,1.193424,0.9362863,-1.565149
55.70949,1.179462,0.9458426,-1.591731
55.72067,1.165674,0.9528834,-1.619123
55.73203,1.148136,0.9628801,-1.639807
55.74313,1.133115,0.9713336,-1.664389
55.75424,1.116466,0.9793893,-1.689139
55.76564,1.09802,0.9886129,-1.710293
55.77719,1.079362,0.9989156,-1.729642
55.78805,1.060406,1.009188,-1.750021
55.7989,1.04011,1.020819,-1.766885
55.8101,1.018765,1.034215,-1.780411
55.82127,0.9974879,1.045783,-1.795345
55.8327,0.9766093,1.057096,-1.810668
55.84369,0.9544396,1.068846,-1.822083
55.85479,0.9323041,1.08041,-1.833878
55.86613,0.9100919,1.090962,-1.843586
55.87754,0.88776,1.102402,-1.853801
55.8881,0.8645729,1.113166,-1.859768
55.89943,0.8418466,1.123562,-1.867737
55.91075,0.8189157,1.1326,-1.873548
55.92167,0.7958509,1.141471,-1.877744
55.93324,0.7733963,1.149075,-1.882259
55.9444,0.7508159,1.156306,-1.887213
55.95523,0.7281175,1.16169,-1.890806
55.96712,0.7058003,1.166532,-1.893847
55.97862,0.6833419,1.171397,-1.896855
55.99028,0.6612483,1.173729,-1.896966
56.00027,0.6390474,1.177267,-1.898052
56.01249,0.6172561,1.179699,-1.896706
56.02224,0.5959266,1.1816,-1.894165
56.03379,0.5742511,1.183848,-1.891829
56.04464,0.5535516,1.184699,-1.887133
56.05628,0.5329252,1.185643,-1.881023
56.06704,0.5132303,1.186312,-1.873164
56.07882,0.4939094,1.187159,-1.863909
56.08982,0.4745166,1.188354,-1.854422
56.10061,0.4575001,1.188284,-1.840348
56.1119,0.4395351,1.188887,-1.82784
56.12346,0.4226198,1.188786,-1.812211
56.13446,0.4069909,1.187806,-1.796678
56.14587,0.3906404,1.18657,-1.781335
56.1564,0.3760781,1.183175,-1.763117
56.16748,0.3624986,1.18891,-1.779181
56.17919,0.3481755,1.185028,-1.761766
56.18982,0.334371,1.18029,-1.744011
56.20283,0.3214015,1.174533,-1.729228
56.21217,0.3080319,1.169316,-1.710879
56.22334,0.2964607,1.162871,-1.690396
