Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
61.74598,YES,1,0.55954,0.9213687,-0.7111723,0.6864409,0.9536037,-0.6931586,0.1321644,NO,0.2412083
64.37081,YES,2,0.6144315,1.163611,-0.4016395,0.5608737,1.044681,-0.5515501,0.1987105,NO,0.08580055
67.96777,YES,3,0.6245837,1.072375,-0.4654672,0.72576,1.004922,-0.6228549,0.1988907,NO,0.09082257
77.99862,YES,4,0.5108228,1.05052,-0.5804121,0.6118292,0.984463,-0.6107068,0.1244328,YES,0
84.54482,YES,5,0.6988066,0.9793946,-0.5597961,0.745165,0.9939007,-0.5676124,0.04919978,YES,0
89.39288,YES,6,0.5757012,1.047724,-0.5061638,0.7155765,0.994669,-0.5929413,0.1729459,YES,0
94.50873,YES,7,0.6036223,1.047025,-0.5050578,0.7218693,1.02756,-0.5879052,0.1456877,YES,0
99.87083,YES,8,0.4758142,1.090196,-0.496145,0.6854848,1.051814,-0.6231258,0.2481109,NO,0.1443441
103.5251,YES,9,0.643415,1.018323,-0.5256445,0.7122005,1.020785,-0.575696,0.08510379,NO,0.1118913
106.9759,YES,10,0.7126303,1.008253,-0.5201173,0.7518431,1.040178,-0.5286274,0.05127674,NO,0.1020194
109.3665,YES,11,1.272746,1.485097,-0.4579811,1.123411,1.140317,-0.6695948,0.4312237,NO,0.09324244
114.0807,YES,12,0.343098,0.8812923,-0.9991448,0.7808259,0.9599117,-0.713624,0.5284967,YES,0
118.8941,YES,13,0.464499,0.8347477,-1.332404,0.8606075,1.023466,-0.6847601,0.7822781,YES,0
124.2444,YES,14,0.6708287,1.033267,-0.5154755,0.7671984,1.005025,-0.5575264,0.1088715,NO,0.08842573
127.6178,YES,15,0.6337612,1.085449,-0.4894264,0.69656,1.027342,-0.5675077,0.1158312,NO,0.09263928
130.7575,YES,16,0.6354078,1.004657,-0.5583386,0.7227311,1.011577,-0.653219,0.1291337,YES,0
135.5824,YES,17,0.6235286,1.157996,-0.4658263,0.675052,1.046749,-0.589972,0.1744783,NO,0.07640515
138.3641,YES,18,0.6429604,0.9297249,-0.6294556,0.7655371,0.9917135,-0.6908367,0.1504503,YES,0
142.2071,YES,19,0.5587641,0.810027,-0.8767824,0.7875362,0.9643013,-0.6644628,0.3481621,NO,0.1704216
145.982,YES,20,0.6022106,1.027962,-0.5350094,0.7758011,1.030592,-0.5973754,0.1844725,YES,0
150.5749,YES,21,0.7415117,1.043121,-0.484966,0.8542957,1.047399,-0.5376041,0.1245363,NO,0.1796308
154.2602,YES,22,0.4791322,0.8620893,-1.499258,0.9751257,1.052001,-0.6498578,1.001777,YES,0
162.2258,YES,23,0.8243755,1.012481,-0.5247474,0.927385,1.025246,-0.5701668,0.1132997,YES,0
167.7768,YES,24,0.7551053,0.8994884,-0.6468229,0.7920076,1.005021,-0.6377895,0.1121632,NO,0.09805837
171.0274,YES,25,0.539981,0.7860909,-1.160348,0.8913841,0.9839209,-0.5457287,0.7351041,NO,0.06321075
