Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
46.88754,1,-0.08431459,1.167021,-0.4121002,0,0,-0.01323128,1.133327,-0.5545925,0.1324431,0.6262819,-0.5855665
46.89855,1,-0.1103646,1.153372,-0.4064367,0,0,-0.02918231,1.132178,-0.5612351,0.1318838,0.626412,-0.5854264
46.90965,1,-0.1352819,1.137783,-0.400434,0,0,-0.04296708,1.130631,-0.5682502,0.1314189,0.6265064,-0.5853333
46.9211,1,-0.1596037,1.121333,-0.3933262,0,0,-0.05604625,1.129313,-0.5750779,0.1310679,0.6265807,-0.5852506
46.9321,1,-0.1834699,1.104015,-0.3852212,0,0,-0.06920373,1.128079,-0.5826632,0.1307,0.6266775,-0.5851106
46.9434,1,-0.2067753,1.08601,-0.3759476,0,0,-0.07774103,1.126664,-0.5926386,0.1302879,0.6267805,-0.5849562
46.95442,1,-0.2294187,1.067556,-0.3653213,0,0,-0.08761203,1.125028,-0.6005193,0.1299286,0.6267635,-0.5850173
46.96554,1,-0.2512427,1.048923,-0.353188,0,0,-0.09414399,1.121447,-0.6080688,0.1295093,0.6268082,-0.5849508
46.97672,1,-0.2720565,1.030373,-0.3393038,0,0,-0.1036009,1.119762,-0.6152481,0.1291458,0.6267986,-0.5849797
46.988,1,-0.2915983,1.012226,-0.3232704,0,0,-0.1024755,1.121481,-0.6236171,0.1287365,0.6268708,-0.5848466
46.99925,1,-0.3096352,0.994796,-0.3047436,0,0,-0.1075803,1.120696,-0.6308341,0.1284381,0.6267071,-0.5851831
47.01068,1,-0.3261299,0.9782454,-0.2837345,0,0,-0.1116354,1.121453,-0.6388873,0.1281326,0.6267135,-0.5851787
47.0216,1,-0.3412789,0.9625232,-0.2606528,0,0,-0.1173389,1.120573,-0.6459887,0.127893,0.6266583,-0.5852972
47.03297,1,-0.3554001,0.947398,-0.236078,0,0,-0.1107897,1.12273,-0.6449369,0.1276883,0.6266832,-0.585252
47.04422,1,-0.3688142,0.9325327,-0.2105421,0,0,-0.1117462,1.124868,-0.644894,0.1276011,0.6265021,-0.585609
47.05633,1,-0.3817759,0.9175915,-0.1844338,0,0,-0.1117738,1.125631,-0.6472713,0.1274928,0.6264636,-0.5856801
47.06606,1,-0.394451,0.9023427,-0.1579886,0,0,-0.1088074,1.129257,-0.645187,0.1274093,0.6264074,-0.5857885
47.07729,1,-0.4069289,0.8866931,-0.1313225,0,0,-0.1077856,1.130983,-0.6454233,0.1274196,0.6263472,-0.5858953
47.08858,1,-0.419248,0.8706584,-0.1044722,0,0,-0.1068318,1.133435,-0.6449362,0.1273924,0.6263058,-0.5859703
47.09981,1,-0.4314165,0.8543169,-0.07742037,0,0,-0.1065015,1.135976,-0.6431231,0.1274661,0.6262876,-0.5859987
47.11149,1,-0.4434243,0.8377746,-0.05010989,0,0,-0.1060488,1.138791,-0.6415401,0.1275191,0.6263114,-0.5859463
47.12203,1,-0.4552466,0.821155,-0.02245008,0,0,-0.1053575,1.141221,-0.6407757,0.127562,0.6263319,-0.5858992
47.13322,1,-0.4668429,0.8045944,0.00567323,0,0,-0.1065046,1.146068,-0.6412213,0.1276736,0.6263298,-0.5858984
47.14451,1,-0.4781547,0.788232,0.03438063,0,0,-0.106029,1.148511,-0.6395108,0.1277554,0.6263526,-0.5858531
47.15563,1,-0.4890985,0.7722068,0.06378284,0,0,-0.1116399,1.151954,-0.6354798,0.1279358,0.6264048,-0.5857502
47.16688,1,-0.4995519,0.7566733,0.09397419,0,0,-0.110687,1.156543,-0.6330763,0.1280433,0.626624,-0.5853091
47.17841,1,-0.5093339,0.7418256,0.1250355,0,0,-0.1120492,1.158957,-0.6299995,0.1281984,0.6266757,-0.5852056
47.19066,1,-0.5181894,0.7279044,0.1570335,0,0,-0.1128883,1.160439,-0.6271173,0.1283981,0.6267821,-0.5849895
47.20037,1,-0.5257921,0.7151667,0.1900083,0,0,-0.1132954,1.162341,-0.62318,0.1285819,0.6268652,-0.584819
47.21144,1,-0.5317765,0.7038286,0.2239546,0,0,-0.1139158,1.164292,-0.6206096,0.1287545,0.626967,-0.584608
47.22254,1,-0.5357915,0.6940152,0.2588136,0,0,-0.1142861,1.16617,-0.6178032,0.1288853,0.6270552,-0.5844281
47.23357,1,-0.5375588,0.6857368,0.2944801,0,0,-0.1128985,1.170029,-0.6146753,0.1290644,0.6271281,-0.5842772
47.24501,1,-0.5368968,0.6789199,0.3308248,0,0,-0.1133569,1.172105,-0.6121119,0.1292107,0.6271811,-0.5841704
47.25624,1,-0.5337287,0.6734395,0.367709,0,0,-0.112972,1.172605,-0.6101245,0.129346,0.6272698,-0.5839881
47.26706,1,-0.5280615,0.6691617,0.4049972,0,0,-0.1133872,1.174436,-0.607741,0.1294674,0.6273305,-0.583865
47.27839,1,-0.5199859,0.6659418,0.4425602,0,0,-0.1138252,1.176091,-0.6058613,0.1295571,0.6274122,-0.5836961
47.28973,1,-0.50963,0.6636559,0.4802836,0,0,-0.1118613,1.177548,-0.6057583,0.1296594,0.6274934,-0.5835311
47.30054,1,-0.4971364,0.6622072,0.5180701,0,0,-0.1120151,1.179069,-0.6037816,0.1297016,0.6274868,-0.5835541
47.3121,1,-0.4826429,0.6615319,0.555836,0,0,-0.1119822,1.180733,-0.6019663,0.1297811,0.6275345,-0.5834514
