Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number
48.74667,YES,1,-0.06214422,1.174918,-0.4122164,0.003513932,1.135857,-0.5519348,0.1592419,NO,0.3040038,2.627938,0,1.5,0.5,70.4276,0,REWARD,3
58.76889,YES,2,-0.05648217,1.167392,-0.439479,-0.005141854,1.092056,-0.5510638,0.1440917,NO,0.2650605,2.572494,0,1.5,0.5,70.53675,0,REWARD,3
63.35778,YES,3,0.3536366,1.193417,-0.4193976,0.4625312,1.209981,-0.5898379,0.2029342,YES,0,3.05075,0,1.5,0.5,72.7122,10,REWARD,3
67.48,YES,4,0.1411527,1.224059,-0.4729554,0.2921994,1.188789,-0.5759579,0.1861948,NO,0.159275,2.897334,0,1.5,0.5,74.32198,10,REWARD,3
71.33556,YES,5,0.3406586,1.232589,-0.4206762,0.4418041,1.242228,-0.5733497,0.1833917,YES,0,2.313903,0,1.5,0.5,74.76223,20,REWARD,3
75.42445,YES,6,0.2667859,1.243264,-0.4657127,0.3941597,1.216164,-0.562572,0.1622968,YES,0,2.476961,0,1.5,0.5,75.62706,30,REWARD,3
82.60223,YES,7,0.4112674,1.202016,-0.464755,0.5133837,1.219677,-0.6609265,0.2218623,YES,0,2.023556,0,1.5,0.5,74.13854,40,REWARD,3
90.89111,YES,8,0.3370933,1.187394,-0.4377299,0.4409724,1.184883,-0.5875111,0.1822953,YES,0,2.557421,0,1.5,0.5,72.58281,50,REWARD,3
94.48,YES,9,0.2614715,1.098883,-0.4343299,0.3523303,1.083223,-0.6027642,0.1920175,NO,0.167339,2.088223,0,1.5,0.5,67.53853,50,REWARD,3
104.0133,YES,10,-0.1026902,1.269359,-0.434534,-0.009174347,1.157761,-0.5304989,0.1743803,NO,0.4489059,2.351374,0,1.5,0.5,76.21632,55,REWARD,3
109.3133,YES,11,-0.2269894,1.316535,-0.4559709,-0.1828887,1.224298,-0.5373042,0.1306432,NO,0.2376133,3.651565,0,1.5,0.5,79.42336,65,REWARD,3
118.1578,YES,12,0.5394846,1.4429,-0.5893928,0.6459295,1.400558,-0.7302074,0.1815272,NO,0.8351395,2.585485,0,1.5,0.5,87.31076,75,REWARD,3
124.7467,YES,13,0.09104896,1.410893,-0.4295743,0.2256896,1.342319,-0.5064921,0.1695488,NO,0.8732367,0.1027062,0,1.5,0.5,84.55041,80,REWARD,3
132.8578,YES,14,0.3961916,1.40094,-0.6337734,0.4863428,1.377552,-0.7805772,0.1738552,NO,0.8624874,2.406348,0,1.5,0.5,85.28488,90,REWARD,3
141.0356,YES,15,0.2040334,1.148486,-0.6313952,0.3044233,1.142241,-0.755137,0.1594653,NO,0.8764343,0.5647804,0,1.5,0.5,72.99853,95,REWARD,3
146.78,YES,16,0.3253144,1.297108,-0.6374478,0.3679947,1.189286,-0.7687863,0.1752051,NO,0.8248729,0.4794184,0,1.5,0.5,80.26852,100,REWARD,3
152.4356,YES,17,-0.003467249,1.134804,-0.5123277,0.0315007,1.070462,-0.6105993,0.1225558,NO,0.2127061,2.472545,0,1.5,0.5,70.16327,105,REWARD,3
167.5133,YES,18,0.4113502,1.221116,-0.51327,0.4298455,1.182934,-0.679427,0.1714879,YES,0,1.353706,0,1.5,0.5,75.69344,125,REWARD,3
172.9245,YES,19,0.0132654,1.209393,-0.5416827,0.1272123,1.148298,-0.6360466,0.1600656,NO,0.3203659,1.529141,0,1.5,0.5,74.41323,125,REWARD,3
175.1911,YES,20,0.4004404,1.479382,-0.6342278,0.4774495,1.410248,-0.7724276,0.1726534,NO,0.8784287,0.6914521,0,1.5,0.5,89.01801,135,REWARD,3
183.1356,YES,21,-0.3435948,1.213442,-0.4710492,-0.3195405,1.195771,-0.5985625,0.1309598,YES,0,3.185616,0,1.5,0.5,74.45345,150,REWARD,3
187.0578,YES,22,-0.329364,1.137076,-0.4729169,-0.3121728,1.107844,-0.5931228,0.1248979,YES,0,2.848429,0,1.5,0.5,70.54018,170,REWARD,3
190.7467,YES,23,-0.2304307,1.166801,-0.4318725,-0.1813155,1.123908,-0.5361046,0.1229489,NO,0.1715604,3.430271,0,1.5,0.5,70.85791,180,REWARD,3
194.2356,YES,24,-0.2794294,1.152328,-0.4694634,-0.2140075,1.120185,-0.5734061,0.1269538,NO,0.2447599,2.941174,0,1.5,0.5,70.98633,180,REWARD,3
197.6911,YES,25,-0.3177772,1.145103,-0.4814628,-0.2826208,1.086243,-0.6832147,0.2130829,NO,0.4643801,1.49423,0,1.5,0.5,71.0159,185,REWARD,3
201.3022,YES,26,-0.3844011,1.175038,-0.475771,-0.3473665,1.137123,-0.590432,0.126318,YES,0,2.222101,0,1.5,0.5,72.78416,200,REWARD,3
205.0689,YES,27,-0.2603941,1.183561,-0.4693398,-0.2118223,1.139186,-0.5920331,0.1392193,NO,0.2079943,3.636965,0,1.5,0.5,72.50144,205,REWARD,3
208.5467,YES,28,-0.3195658,1.110847,-0.4869365,-0.2707288,1.073301,-0.6474931,0.1719685,NO,0.3582858,1.038887,0,1.5,0.5,69.43748,205,REWARD,3
