Time,Ball X,Ball Y,Ball Z
2672.854,0.9694825,1.025426,-0.5579063
2672.865,0.9517053,1.041609,-0.5804056
2672.876,0.9341041,1.058378,-0.5983385
2672.887,0.9156765,1.074298,-0.6182641
2672.899,0.8964378,1.089468,-0.6351857
2672.91,0.8780309,1.105274,-0.653528
2672.92,0.8572768,1.121003,-0.6685822
2672.932,0.8358511,1.135641,-0.6817533
2672.942,0.8147928,1.147394,-0.6945111
2672.954,0.7928222,1.160948,-0.7058185
2672.965,0.7867118,1.176473,-0.7340943
2672.976,0.762365,1.188006,-0.7425922
2672.987,0.7390803,1.199187,-0.7505704
2673,0.7174331,1.209588,-0.7587625
2673.01,0.6886166,1.22024,-0.7601863
2673.021,0.6653491,1.229694,-0.7658206
2673.032,0.6444503,1.237819,-0.771717
2673.043,0.6196533,1.24496,-0.7736119
2673.055,0.595826,1.249794,-0.772827
2673.066,0.5730909,1.256638,-0.7736903
2673.077,0.5491127,1.2608,-0.7729183
2673.089,0.5269965,1.263361,-0.771867
2673.099,0.5066587,1.267098,-0.7719752
2673.112,0.4842216,1.266711,-0.7687483
2673.121,0.465861,1.2675,-0.7688614
2673.133,0.4420375,1.267859,-0.7623369
2673.144,0.4227046,1.264611,-0.7598189
2673.155,0.4020587,1.261466,-0.7543341
2673.166,0.3821269,1.258636,-0.7488009
2673.177,0.3602189,1.255911,-0.7416676
2673.189,0.3401805,1.250737,-0.7322572
2673.2,0.3200034,1.245707,-0.7225474
2673.211,0.2992254,1.239979,-0.710819
2673.222,0.2800359,1.232956,-0.697697
2673.233,0.2604557,1.226817,-0.6854762
2673.244,0.2408808,1.219192,-0.670277
2673.256,0.2226785,1.210449,-0.6533405
2673.269,0.2052823,1.201098,-0.6366299
2673.278,0.2008402,1.184655,-0.6322511
2673.289,0.1868085,1.173635,-0.6142528
2673.301,0.1702269,1.162433,-0.5918471
2673.312,0.1567287,1.149884,-0.5766269
2673.323,0.1433834,1.136168,-0.5534785
2673.334,0.1307926,1.123567,-0.5339388
2673.345,0.1191663,1.108522,-0.5127209
2673.356,0.1064267,1.094751,-0.488965
2673.367,0.09700394,1.080039,-0.465317
2673.378,0.08766401,1.063169,-0.4420527
2673.39,0.07960343,1.048017,-0.415646
2673.401,0.07176578,1.03189,-0.3889393
2673.412,0.06469834,1.014887,-0.3624312
2673.423,0.05755484,0.9999506,-0.3348621
2673.434,0.05377221,0.9838951,-0.3045547
2673.446,0.04912972,0.9679358,-0.2762659
2673.457,0.04719424,0.9540588,-0.2447568
2673.468,0.04698765,0.9400123,-0.2129933
2673.479,0.04712903,0.9257382,-0.1820163
2673.49,0.05186176,0.9143984,-0.1460699
2673.503,0.0563612,0.9029862,-0.1135321
2673.514,0.06369531,0.8919479,-0.07952452
2673.524,0.07200706,0.8828452,-0.04349363
2673.535,0.08230746,0.8745588,-0.008960426
2673.546,0.09386635,0.8667138,0.02598596
2673.557,0.1079756,0.8599917,0.06244415
2673.569,0.1205086,0.8531277,0.09701884
2673.58,0.1356586,0.847813,0.1317078
2673.591,0.1522958,0.844599,0.1666827
2673.602,0.1695435,0.8407745,0.2011776
