Time,Current Trial,Head X,Head Y,Head Z,Neck X,Neck Y,Neck Z,SpineShoulder X,SpineShoulder Y,SpineShoulder Z,SpineMid X,SpineMid Y,SpineMid Z,SpineBase X,SpineBase Y,SpineBase Z,RightShoulder X,RightShoulder Y,RightShoulder Z,LeftShoulder X,LeftShoulder Y,LeftShoulder Z,RightElbow X,RightElbow Y,RightElbow Z,LeftElbow X,LeftElbow Y,LeftElbow Z,RightWrist X,RightWrist Y,RightWrist Z,LeftWrist X,LeftWrist Y,LeftWrist Z,RightHand X,RightHand Y,RightHand Z,LeftHand X,LeftHand Y,LeftHand Z,RightThumb X,RightThumb Y,RightThumb Z,LeftThumb X,LeftThumb Y,LeftThumb Z,RightHandTip X,RightHandTip Y,RightHandTip Z,LeftHandTip X,LeftHandTip Y,LeftHandTip Z,RightHip X,RightHip Y,RightHip Z,LeftHip X,LeftHip Y,LeftHip Z,RightKnee X,RightKnee Y,RightKnee Z,LeftKnee X,LeftKnee Y,LeftKnee Z,RightAnkle X,RightAnkle Y,RightAnkle Z,LeftAnkle X,LeftAnkle Y,LeftAnkle Z,RightFoot X,RightFoot Y,RightFoot Z,LeftFoot X,LeftFoot Y,LeftFoot Z
146.3448,1,0.005317003,1.395488,-1.137731,0.005812943,1.275914,-1.170099,0.005390108,1.180569,-1.166486,0.004948288,1.085281,-1.162183,0.005356938,0.9906683,-1.15007,0.179171,1.236712,-1.113181,-0.1772397,1.234563,-1.168365,0.2252569,1.129505,-0.926537,-0.238168,1.023149,-1.161693,0.1662044,1.134078,-0.7145353,-0.1961037,0.9201779,-0.9717439,0.1149234,1.169554,-0.6452787,-0.196796,0.8623266,-0.8986857,0.1268524,1.140512,-0.6892494,-0.176694,0.8937563,-0.9377659,0.1305541,1.172006,-0.6311669,-0.215037,0.8524552,-0.9030788,0.09270105,0.8116813,-1.133248,-0.08147791,0.8106576,-1.148034,0.06727788,0.5901814,-0.822456,-0.0593037,0.5911312,-0.835597,0.04253551,0.3746169,-0.519993,-0.03772402,0.3774879,-0.5315329,0.0335255,0.2961164,-0.409847,-0.02986547,0.299687,-0.420804
146.3555,1,0.005059361,1.395632,-1.137529,0.005574793,1.275972,-1.169575,0.005202264,1.180637,-1.165704,0.004811496,1.085361,-1.161144,0.005303025,0.9907024,-1.149395,0.179064,1.23698,-1.112893,-0.1774576,1.234527,-1.167821,0.2252644,1.129627,-0.9263622,-0.2386551,1.023137,-1.163129,0.1661572,1.13413,-0.7143741,-0.1966131,0.9197522,-0.9734002,0.114839,1.169601,-0.6451431,-0.1976251,0.8613104,-0.9008172,0.1267942,1.140554,-0.6891029,-0.1773503,0.8929762,-0.9396166,0.1304642,1.172063,-0.6310266,-0.2159006,0.851549,-0.9053116,0.09270072,0.8116798,-1.133245,-0.08147761,0.8106592,-1.148038,0.06727761,0.5901796,-0.8224524,-0.05930352,0.591133,-0.8356007,0.04253539,0.374615,-0.5199896,-0.03772387,0.37749,-0.5315365,0.03352532,0.2961143,-0.4098435,-0.02986532,0.2996893,-0.4208075
146.3666,1,0.004894495,1.395614,-1.137474,0.005396456,1.275969,-1.169579,0.005049318,1.180632,-1.165754,0.004684806,1.085353,-1.16124,0.005249768,0.9906989,-1.149464,0.1789151,1.237004,-1.112989,-0.1776256,1.234478,-1.167775,0.225013,1.129933,-0.9262712,-0.2393982,1.023234,-1.16416,0.1662123,1.134184,-0.7141928,-0.1975251,0.9197077,-0.9744713,0.1148999,1.169543,-0.6448997,-0.1989258,0.8606927,-0.9023602,0.1268538,1.140559,-0.6889019,-0.1784417,0.8925841,-0.9408637,0.1305281,1.171991,-0.6307843,-0.2172316,0.8510424,-0.9069698,0.09270054,0.8117085,-1.133244,-0.08147739,0.8106305,-1.148038,0.06727767,0.5902029,-0.8224559,-0.05930316,0.5911098,-0.8355974,0.04253578,0.3746333,-0.5199966,-0.03772336,0.3774718,-0.5315296,0.03352597,0.296131,-0.409852,-0.02986476,0.2996728,-0.4207995
146.3777,1,0.004651278,1.395649,-1.137441,0.005155534,1.275982,-1.169462,0.004851073,1.180647,-1.16557,0.004530191,1.085372,-1.160988,0.00518319,0.9907067,-1.149301,0.1787474,1.237127,-1.113029,-0.177849,1.234412,-1.167608,0.2247964,1.130208,-0.9262127,-0.2393646,1.023068,-1.166032,0.1662027,1.134248,-0.7140727,-0.1974475,0.9187336,-0.9767962,0.1148728,1.169549,-0.6447632,-0.1991912,0.8591841,-0.9051332,0.1268357,1.140609,-0.6887917,-0.1785226,0.8912812,-0.9433663,0.1304956,1.171977,-0.6306387,-0.2175289,0.8496427,-0.9098415,0.09270021,0.8117341,-1.133243,-0.08147708,0.8106048,-1.14804,0.06727767,0.5902236,-0.8224576,-0.05930275,0.5910889,-0.8355955,0.04253605,0.374649,-0.5200017,-0.03772277,0.3774558,-0.5315245,0.03352618,0.2961448,-0.4098583,-0.02986419,0.2996585,-0.420793
146.389,1,0.004374593,1.395781,-1.137147,0.00490576,1.276037,-1.168877,0.004659384,1.180711,-1.164752,0.004397392,1.085447,-1.159937,0.005132526,0.9907382,-1.148619,0.1786141,1.237399,-1.112644,-0.1780749,1.234359,-1.166984,0.2247524,1.130465,-0.9258571,-0.2398037,1.023072,-1.167403,0.1661443,1.134487,-0.7137208,-0.1980038,0.9183938,-0.9783308,0.1147615,1.169784,-0.6444485,-0.2001336,0.8583428,-0.9070982,0.1267563,1.140852,-0.6884736,-0.179258,0.8906292,-0.9450583,0.1303723,1.172204,-0.6303093,-0.218499,0.848908,-0.9119125,0.09269992,0.8117307,-1.133239,-0.08147679,0.8106083,-1.148044,0.0672774,0.5902202,-0.8224537,-0.05930263,0.5910922,-0.8355995,0.04253587,0.3746459,-0.5199978,-0.03772292,0.377459,-0.5315284,0.03352612,0.2961419,-0.4098543,-0.02986431,0.2996618,-0.420797
146.3998,1,0.004143625,1.395744,-1.137088,0.004665643,1.276029,-1.168929,0.004455358,1.1807,-1.16489,0.004230499,1.085431,-1.160162,0.005055964,0.990731,-1.148775,0.1783938,1.237423,-1.112767,-0.1782997,1.234287,-1.166923,0.2242662,1.131021,-0.9256109,-0.2405763,1.023164,-1.168204,0.1661856,1.134601,-0.7133215,-0.1989316,0.918499,-0.979091,0.1147646,1.169848,-0.6440517,-0.2014616,0.8579608,-0.9082851,0.1267882,1.140934,-0.6880807,-0.1803717,0.8904271,-0.9459723,0.1303712,1.172276,-0.6299089,-0.2198539,0.8486341,-0.9132056,0.09269959,0.8117743,-1.133238,-0.08147648,0.8105647,-1.148044,0.06727767,0.590256,-0.8224589,-0.05930197,0.5910566,-0.8355942,0.04253674,0.3746738,-0.5200084,-0.03772178,0.3774312,-0.5315177,0.03352708,0.2961671,-0.4098669,-0.02986309,0.2996368,-0.4207842
146.4112,1,0.003663599,1.395871,-1.136947,0.004255623,1.276071,-1.168466,0.004144341,1.180753,-1.16417,0.004019409,1.085497,-1.159185,0.004967928,0.9907587,-1.148131,0.1781356,1.237764,-1.112556,-0.1786674,1.234145,-1.166368,0.2240331,1.131468,-0.9253461,-0.2407589,1.022993,-1.16987,0.1661268,1.134768,-0.7130045,-0.199151,0.9179889,-0.9809368,0.1146769,1.169954,-0.6437256,-0.2021089,0.8570399,-0.9105008,0.1267295,1.141044,-0.6877499,-0.1807905,0.889642,-0.9479414,0.1302851,1.172412,-0.62959,-0.2205279,0.8478201,-0.9155219,0.09269911,0.8117905,-1.133234,-0.08147599,0.8105485,-1.148049,0.06727737,0.5902685,-0.8224572,-0.05930153,0.5910439,-0.835596,0.04253653,0.3746829,-0.5200091,-0.03772151,0.377422,-0.531517,0.03352702,0.2961748,-0.4098686,-0.02986288,0.2996287,-0.4207827
146.4235,1,0.003215671,1.395925,-1.13658,0.003861517,1.276103,-1.16801,0.00383839,1.180788,-1.163643,0.003802598,1.085536,-1.158587,0.004872769,0.9907737,-1.147751,0.1778343,1.237992,-1.112266,-0.1790237,1.234014,-1.165823,0.2237324,1.131924,-0.9249284,-0.2412293,1.022935,-1.171217,0.1660721,1.135007,-0.712517,-0.1996881,0.9177423,-0.9823743,0.1145906,1.170158,-0.6432434,-0.2030482,0.8563809,-0.9123155,0.1266679,1.141257,-0.6872663,-0.1815154,0.8891251,-0.9495085,0.1301957,1.172628,-0.6291065,-0.2214912,0.8472636,-0.9174351,0.0926986,0.811821,-1.133231,-0.0814755,0.8105179,-1.148052,0.06727734,0.5902933,-0.8224581,-0.05930099,0.5910192,-0.835595,0.04253685,0.374702,-0.5200142,-0.03772092,0.3774029,-0.531512,0.03352746,0.2961918,-0.4098751,-0.02986217,0.2996118,-0.4207761
146.4334,1,0.00276643,1.395864,-1.136469,0.003443867,1.276092,-1.168088,0.003495693,1.18077,-1.163872,0.003536016,1.08551,-1.158965,0.004745126,0.9907624,-1.148018,0.1774448,1.238054,-1.112422,-0.1794082,1.233866,-1.165756,0.2229871,1.132623,-0.9246376,-0.2421085,1.022956,-1.171994,0.1660478,1.135073,-0.7120233,-0.2007331,0.9180645,-0.982947,0.1145813,1.170146,-0.6426992,-0.2045358,0.8563426,-0.9132283,0.1266483,1.141296,-0.6867586,-0.1827677,0.8892086,-0.9501762,0.1301889,1.172597,-0.6285617,-0.2229938,0.8473176,-0.9184562,0.09269798,0.8118941,-1.13323,-0.08147487,0.810445,-1.148052,0.0672777,0.5903528,-0.822467,-0.05929977,0.5909597,-0.8355862,0.04253832,0.3747482,-0.5200322,-0.03771898,0.3773565,-0.531494,0.03352922,0.2962333,-0.4098964,-0.02986011,0.2995703,-0.4207548
146.4447,1,0.002191573,1.39587,-1.136313,0.002937526,1.276099,-1.167938,0.003095806,1.180778,-1.163724,0.003243744,1.085518,-1.158822,0.00461027,0.990765,-1.147937,0.1770244,1.238256,-1.112431,-0.1798677,1.233676,-1.165472,0.2222863,1.13329,-0.9243189,-0.2422571,1.022738,-1.173574,0.165935,1.135117,-0.7115419,-0.2009511,0.917455,-0.98473,0.1144961,1.170058,-0.6421309,-0.2051833,0.8553935,-0.9153382,0.1265416,1.141304,-0.6862586,-0.1831873,0.8883745,-0.9520481,0.1301065,1.172466,-0.6279892,-0.2236536,0.8464561,-0.9206715,0.09269723,0.8119562,-1.133228,-0.0814741,0.8103828,-1.148055,0.06727767,0.5904033,-0.8224726,-0.05929869,0.5909094,-0.8355808,0.04253906,0.3747873,-0.5200459,-0.03771773,0.3773177,-0.5314807,0.03353032,0.2962682,-0.4099132,-0.02985871,0.2995355,-0.4207387
146.4562,1,0.00139761,1.395923,-1.136094,0.002270162,1.276121,-1.167598,0.002584189,1.180804,-1.163287,0.002889007,1.08555,-1.158286,0.004452676,0.9907776,-1.147599,0.1765192,1.238599,-1.112382,-0.180466,1.23341,-1.164957,0.2216861,1.134044,-0.9240187,-0.2426827,1.022499,-1.174889,0.1660298,1.135132,-0.7110537,-0.2014678,0.9173532,-0.985948,0.1145863,1.169935,-0.6415767,-0.2061695,0.8550349,-0.9168171,0.1266371,1.141262,-0.6857557,-0.183925,0.8881006,-0.9533002,0.1301975,1.172324,-0.6274325,-0.2246387,0.846166,-0.9222673,0.09269631,0.8120187,-1.133224,-0.08147317,0.8103202,-1.148059,0.06727767,0.5904539,-0.8224769,-0.05929747,0.5908585,-0.8355765,0.04253978,0.3748262,-0.5200583,-0.03771618,0.3772783,-0.5314682,0.0335314,0.296303,-0.4099285,-0.0298571,0.2995003,-0.4207232
146.4668,1,0.0005044043,1.395712,-1.135924,0.001466215,1.276069,-1.168022,0.001916587,1.180733,-1.164185,0.002359241,1.085455,-1.159657,0.004185081,0.9907364,-1.148546,0.1756939,1.238588,-1.112798,-0.1812063,1.233101,-1.165159,0.2203588,1.135218,-0.9236623,-0.2435238,1.022247,-1.175653,0.1659672,1.135322,-0.7103683,-0.2023387,0.9177025,-0.9863721,0.1145182,1.169971,-0.6408183,-0.2075345,0.8551518,-0.9174868,0.1265766,1.141382,-0.6850501,-0.1850292,0.8882961,-0.9537379,0.1301313,1.172345,-0.6266736,-0.2259949,0.8463432,-0.9230635,0.09269455,0.8121878,-1.133224,-0.08147141,0.8101512,-1.148058,0.06727815,0.5905921,-0.8224995,-0.05929476,0.5907204,-0.8355542,0.04254246,0.3749349,-0.5201023,-0.03771257,0.3771701,-0.5314251,0.03353482,0.2964008,-0.4099801,-0.02985317,0.2994032,-0.4206724
146.4781,1,-0.0004769862,1.395689,-1.135753,0.0006236434,1.276066,-1.167922,0.001252413,1.180728,-1.164139,0.001874924,1.085449,-1.159666,0.003957808,0.990733,-1.148579,0.1749747,1.238886,-1.112915,-0.1819669,1.232767,-1.164807,0.219134,1.13639,-0.9231858,-0.2438749,1.021869,-1.176742,0.165855,1.135274,-0.7096138,-0.2028582,0.9174201,-0.9873717,0.1143142,1.169834,-0.6400878,-0.2085205,0.8547622,-0.9186208,0.1264411,1.141271,-0.684317,-0.1857697,0.8879418,-0.9546859,0.1299157,1.17223,-0.6259339,-0.2269575,0.8459826,-0.924319,0.09269291,0.8122995,-1.133221,-0.08146977,0.8100395,-1.148061,0.06727806,0.590683,-0.8225111,-0.05929261,0.5906293,-0.8355427,0.04254395,0.3750056,-0.5201281,-0.03770977,0.3770993,-0.5313994,0.03353685,0.2964638,-0.4100111,-0.02985013,0.2993395,-0.4206415
146.4894,1,-0.001622677,1.395765,-1.135514,-0.0003289878,1.276092,-1.167493,0.0005263686,1.180763,-1.163558,0.001377046,1.085493,-1.158933,0.003735244,0.9907502,-1.148126,0.1742485,1.239386,-1.112884,-0.1828152,1.232375,-1.164081,0.2180955,1.137669,-0.9226631,-0.2442601,1.021459,-1.177935,0.1660048,1.135256,-0.7088089,-0.2032734,0.9173145,-0.9883912,0.1143365,1.169751,-0.6393452,-0.2094112,0.8545021,-0.9198225,0.1265599,1.141181,-0.6835431,-0.1864108,0.8877286,-0.9556855,0.129923,1.172195,-0.6251829,-0.2278326,0.845768,-0.9256403,0.09269118,0.8123888,-1.133215,-0.08146806,0.8099502,-1.148067,0.06727767,0.5907555,-0.822517,-0.05929062,0.5905571,-0.8355367,0.04254478,0.3750614,-0.5201457,-0.03770754,0.3770437,-0.5313818,0.03353822,0.2965137,-0.410033,-0.02984786,0.2992902,-0.4206197
146.5004,1,-0.002648175,1.39576,-1.135459,-0.001218349,1.276085,-1.167426,-0.0001733005,1.180758,-1.163482,0.0008688569,1.085491,-1.158848,0.003500164,0.9907488,-1.148097,0.1735122,1.239733,-1.113101,-0.183614,1.232022,-1.163636,0.2169163,1.138922,-0.9222975,-0.2449769,1.021149,-1.178464,0.1659482,1.135357,-0.7081891,-0.2040856,0.9177036,-0.9885166,0.1141824,1.169706,-0.6387254,-0.2106933,0.8548075,-0.9200681,0.1264794,1.141193,-0.6829401,-0.1874471,0.8880547,-0.9557532,0.1297569,1.172166,-0.6245526,-0.2290909,0.8461027,-0.9260042,0.09268922,0.8125018,-1.133211,-0.08146608,0.8098372,-1.148071,0.0672774,0.5908474,-0.8225282,-0.0592882,0.5904653,-0.8355258,0.04254627,0.3751327,-0.5201714,-0.03770471,0.3769724,-0.5313562,0.03354028,0.2965776,-0.4100641,-0.02984479,0.2992263,-0.420589
146.5115,1,-0.003777623,1.395757,-1.135258,-0.002184659,1.276085,-1.167223,-0.0009279251,1.18076,-1.163277,0.0003277361,1.085495,-1.158642,0.003247529,0.9907497,-1.148001,0.1727089,1.240124,-1.113192,-0.1844785,1.231633,-1.163075,0.2159808,1.140091,-0.9219491,-0.2449116,1.020638,-1.179863,0.1660222,1.135816,-0.7076157,-0.2039335,0.917398,-0.9898229,0.1142502,1.17012,-0.6381344,-0.2109956,0.8544894,-0.9214314,0.1265468,1.141649,-0.6823766,-0.1875124,0.8877248,-0.9569718,0.1298204,1.172553,-0.6239526,-0.2293663,0.8458032,-0.9274764,0.09268695,0.8126204,-1.133207,-0.08146381,0.8097185,-1.148076,0.06727695,0.5909438,-0.8225394,-0.05928543,0.5903687,-0.8355146,0.04254758,0.3752075,-0.5201979,-0.03770155,0.3768976,-0.53133,0.03354225,0.2966446,-0.410096,-0.02984148,0.2991593,-0.4205571
146.5228,1,-0.004899889,1.395772,-1.134801,-0.003142089,1.2761,-1.166759,-0.001669407,1.180779,-1.162807,-0.0001959503,1.085517,-1.158166,0.00300464,0.9907569,-1.147738,0.1718972,1.240547,-1.112971,-0.1853305,1.231252,-1.162241,0.2147658,1.14122,-0.92127,-0.2451006,1.020215,-1.180787,0.165677,1.136108,-0.7067543,-0.2041251,0.917347,-0.9905446,0.1138849,1.170437,-0.6373007,-0.2116391,0.854416,-0.9222219,0.1261873,1.141972,-0.6815445,-0.1879214,0.88766,-0.9575981,0.129446,1.172848,-0.6231052,-0.2299718,0.8457347,-0.9283887,0.0926846,0.8127275,-1.133201,-0.08146147,0.8096115,-1.148081,0.06727627,0.5910305,-0.8225481,-0.05928284,0.5902822,-0.8355061,0.04254836,0.3752745,-0.5202204,-0.03769872,0.3768306,-0.5313078,0.03354362,0.2967043,-0.4101236,-0.02983865,0.2990994,-0.42053
