Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
2941.231,1,0.4683412,0.9604069,0.385433,0,0,0.6644896,1.013466,0.6806533,0,0,0
2941.243,1,0.4431565,0.9563957,0.3573284,0,0,0.6570539,1.014701,0.6810532,0,0,0
2941.254,1,0.4158119,0.9489605,0.3315384,0,0,0.6514551,1.018296,0.6823237,0,0,0
2941.264,1,0.3891843,0.9417343,0.3049483,0,0,0.6461564,1.021255,0.6831706,0,0,0
2941.276,1,0.3620188,0.9350336,0.2780468,0,0,0.6441786,1.025846,0.6834118,0,0,0
2941.287,1,0.3398523,0.9289327,0.2502499,0,0,0.6425437,1.029627,0.6826866,0,0,0
2941.298,1,0.3113683,0.926566,0.2199216,0,0,0.6406562,1.032354,0.6820459,0,0,0
2941.309,1,0.2898521,0.9214112,0.190661,0,0,0.6424496,1.033527,0.680495,0,0,0
2941.32,1,0.2695894,0.9197266,0.1596265,0,0,0.6419709,1.034272,0.6790566,0,0,0
2941.332,1,0.2415812,0.9188865,0.127243,0,0,0.6417611,1.034237,0.6778965,0,0,0
2941.344,1,0.2263497,0.9219909,0.09557199,0,0,0.6435727,1.032611,0.6755924,0,0,0
2941.355,1,0.2089963,0.9233078,0.06215453,0,0,0.6437982,1.031952,0.6736391,0,0,0
2941.365,1,0.1884744,0.9307657,0.03043771,0,0,0.6444483,1.03079,0.6716638,0,0,0
2941.376,1,0.1736091,0.9326084,-0.001485348,0,0,0.644822,1.029974,0.6698363,0,0,0
2941.388,1,0.164089,0.9331087,-0.03278041,0,0,0.6452857,1.029183,0.6682084,0,0,0
2941.398,1,0.150793,0.934678,-0.0652771,0,0,0.6458565,1.028523,0.6673601,0,0,0
2941.41,1,0.1446948,0.9430661,-0.09866381,0,0,0.6463981,1.02854,0.6663151,0,0,0
2941.421,1,0.134527,0.9480778,-0.1320312,0,0,0.6467363,1.029058,0.665952,0,0,0
2941.432,1,0.1337703,0.9543802,-0.16505,0,0,0.6470292,1.02997,0.6662095,0,0,0
2941.446,1,0.1279199,0.9688362,-0.1991622,0,0,0.6475791,1.031301,0.6666436,0,0,0
2941.459,1,0.1213429,0.9784135,-0.2328241,0,0,0.6479321,1.032311,0.6668587,0,0,0
2941.465,1,0.1241193,0.9807025,-0.2641902,0,0,0.6482431,1.033738,0.6676705,0,0,0
2941.477,1,0.1217353,0.9861377,-0.298687,0,0,0.6487432,1.035255,0.6681502,0,0,0
2941.488,1,0.1174506,0.9935706,-0.3307872,0,0,0.649141,1.036578,0.6685216,0,0,0
2941.499,1,0.1191064,0.9997572,-0.3626049,0,0,0.6494719,1.037767,0.6691456,0,0,0
2941.51,1,0.1202458,1.006433,-0.3946238,0,0,0.6500543,1.038765,0.6693249,0,0,0
2941.522,1,0.1207744,1.015496,-0.425241,0,0,0.6505946,1.039632,0.6694286,0,0,0
