Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
234.5164,1,0.001880717,0.9321728,-0.2797376,0,0,-0.1444458,1.048454,-0.3418868,-0.3157654,1.223434,-0.6867269
234.5275,1,0.0272246,0.9228037,-0.2829706,0,0,-0.1337864,1.054767,-0.3441609,-0.315512,1.22378,-0.6849816
234.5388,1,0.04862611,0.9149819,-0.2834063,0,0,-0.1266733,1.0605,-0.3463205,-0.3151854,1.224156,-0.6831961
234.5499,1,0.06963077,0.9062483,-0.2829119,0,0,-0.1173733,1.062135,-0.3509558,-0.3150643,1.224379,-0.6815661
234.561,1,0.08997681,0.8971469,-0.2807398,0,0,-0.1107135,1.065996,-0.353117,-0.3149682,1.224537,-0.6804032
234.5723,1,0.1096434,0.8880712,-0.2764865,0,0,-0.1078337,1.066882,-0.354829,-0.3147831,1.224779,-0.6788676
234.5837,1,0.1286951,0.8793521,-0.269895,0,0,-0.1028005,1.068481,-0.356186,-0.3148945,1.224795,-0.6779929
234.5948,1,0.1472572,0.8710932,-0.2610306,0,0,-0.09972239,1.06882,-0.3569795,-0.3149583,1.224869,-0.6768061
234.6059,1,0.1654625,0.8631724,-0.2502314,0,0,-0.09713483,1.069123,-0.3573611,-0.3150607,1.224888,-0.6760123
234.617,1,0.1834094,0.8553719,-0.2379243,0,0,-0.09503019,1.069825,-0.3578093,-0.3151197,1.224911,-0.6754218
234.628,1,0.2011467,0.8475026,-0.2244523,0,0,-0.09249699,1.070392,-0.3585728,-0.3151446,1.224949,-0.6749792
234.6391,1,0.2186737,0.8394619,-0.2100028,0,0,-0.09098732,1.070445,-0.3596709,-0.3151016,1.22501,-0.6746608
234.6506,1,0.2359435,0.83125,-0.1946075,0,0,-0.09003735,1.070488,-0.360864,-0.3151533,1.224989,-0.6746033
234.6655,1,0.2528693,0.8229542,-0.1781814,0,0,-0.08918595,1.070312,-0.3621404,-0.3152074,1.224962,-0.6745359
234.6728,1,0.2693404,0.8147025,-0.1605909,0,0,-0.08851063,1.070344,-0.3636488,-0.315442,1.224835,-0.6744977
234.6855,1,0.2852533,0.8065926,-0.1417444,0,0,-0.08800375,1.070541,-0.364658,-0.3157291,1.22468,-0.6744537
234.6951,1,0.3005489,0.7986372,-0.1216634,0,0,-0.08853626,1.070233,-0.3659415,-0.3160098,1.22453,-0.6743352
234.7062,1,0.3152311,0.7907662,-0.1004876,0,0,-0.08827174,1.070233,-0.3674206,-0.3163978,1.224291,-0.6746251
234.7177,1,0.3293551,0.7828754,-0.07842225,0,0,-0.0886935,1.069986,-0.3686374,-0.3167051,1.224115,-0.6746659
234.7286,1,0.3429933,0.7748973,-0.05566426,0,0,-0.08904028,1.069349,-0.3699142,-0.3170339,1.223913,-0.67471
234.7398,1,0.3562071,0.7668473,-0.03236669,0,0,-0.08924031,1.06881,-0.3712293,-0.3173632,1.22371,-0.6748741
234.7511,1,0.3690427,0.7588148,-0.00864582,0,0,-0.08969712,1.067819,-0.3723454,-0.3175775,1.223571,-0.6749749
234.7619,1,0.3815432,0.7509096,0.01539801,0,0,-0.08997083,1.066782,-0.3735001,-0.3178002,1.22342,-0.6750407
234.7732,1,0.3937615,0.7431991,0.03967344,0,0,-0.09027708,1.065325,-0.374436,-0.3179499,1.223307,-0.6752629
234.7849,1,0.405757,0.7356856,0.06410787,0,0,-0.09067845,1.064168,-0.3753468,-0.3182369,1.223127,-0.6754289
234.7955,1,0.4175815,0.728339,0.08865339,0,0,-0.09119856,1.062858,-0.3764786,-0.3185615,1.22293,-0.6757447
234.8067,1,0.4292575,0.7211459,0.1132969,0,0,-0.09141576,1.061469,-0.3774999,-0.3188633,1.222736,-0.675987
234.8179,1,0.4407652,0.714141,0.138058,0,0,-0.09193647,1.06032,-0.3784243,-0.3191773,1.22254,-0.6761689
234.8292,1,0.4520362,0.7074129,0.162979,0,0,-0.09226,1.059011,-0.379431,-0.3195311,1.222325,-0.6762974
234.8402,1,0.4629484,0.7010984,0.1881138,0,0,-0.09242392,1.057576,-0.3804644,-0.3198682,1.222119,-0.6765277
234.8516,1,0.4733237,0.695359,0.2135176,0,0,-0.09270036,1.056261,-0.381696,-0.320155,1.221935,-0.6768145
234.8624,1,0.4829267,0.6903633,0.2392415,0,0,-0.09291744,1.055043,-0.3829738,-0.3204874,1.221727,-0.6772186
234.8738,1,0.4914733,0.6862597,0.2653266,0,0,-0.09301162,1.05385,-0.3843952,-0.3208369,1.221514,-0.6775531
234.8851,1,0.4986645,0.6831299,0.2917945,0,0,-0.09312522,1.052727,-0.3858756,-0.3210427,1.221372,-0.677941
234.8961,1,0.5042493,0.6809386,0.3186377,0,0,-0.09319484,1.051727,-0.3873001,-0.3212926,1.221208,-0.6782622
234.9075,1,0.5080833,0.6795256,0.3458171,0,0,-0.0932312,1.050874,-0.3887968,-0.3214913,1.221073,-0.6785705
234.9184,1,0.5101414,0.6786524,0.3732714,0,0,-0.09312308,1.049808,-0.3905836,-0.321734,1.220918,-0.6789246
234.9295,1,0.5104818,0.6780734,0.4009307,0,0,-0.09299362,1.048971,-0.3920678,-0.3220463,1.220719,-0.6792084
234.9407,1,0.5091894,0.6775917,0.4287241,0,0,-0.09286726,1.048323,-0.3937893,-0.3223912,1.220511,-0.6794584
234.9518,1,0.5063397,0.6770837,0.4565836,0,0,-0.09282637,1.047632,-0.3954803,-0.322635,1.220354,-0.6798161
234.963,1,0.5019854,0.6764983,0.4844439,0,0,-0.09274733,1.046936,-0.3970841,-0.3228836,1.220194,-0.6801849
234.9743,1,0.4961641,0.6758397,0.5122433,0,0,-0.09272492,1.046406,-0.398828,-0.3230166,1.220095,-0.6806329
234.9854,1,0.4889021,0.6751565,0.5399261,0,0,-0.09298337,1.046103,-0.4003059,-0.3232614,1.219941,-0.6809755
234.9968,1,0.480224,0.6745274,0.5674443,0,0,-0.09306681,1.045598,-0.4018005,-0.323429,1.219828,-0.6815165
235.009,1,0.4701549,0.6740516,0.5947578,0,0,-0.09307873,1.045161,-0.403366,-0.3235048,1.219757,-0.6820545
235.0193,1,0.4587246,0.673839,0.6218308,0,0,-0.09328222,1.04486,-0.40476,-0.3235916,1.219682,-0.6825144
235.0303,1,0.4459797,0.6739888,0.6486287,0,0,-0.09359133,1.044572,-0.4064536,-0.3237523,1.219567,-0.6831342
235.0413,1,0.4319828,0.6745812,0.6751109,0,0,-0.09381819,1.044217,-0.4077741,-0.3239167,1.219445,-0.6836634
235.0526,1,0.4168088,0.6756731,0.7012244,0,0,-0.09422791,1.043975,-0.4089206,-0.3241713,1.21928,-0.6841065
