Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
108.9556,NO,1,0.09686247,1.060727,-0.1809701,0.03482902,1.046141,-0.3428216,0.1739448,NO,0.5517978,4.625243,0,1.5,0.5,57.43602,0,FORCED,1,POLE
113.0222,NO,2,-0.05773217,1.004043,-0.1477214,-0.01666522,1.017698,-0.2831982,0.1422214,YES,0,6.03059,0,1.5,0.5,52.66827,10,FORCED,1,POLE
119.3111,NO,3,-0.01167084,1.084419,-0.2037425,0.002514958,1.051443,-0.3325263,0.1336934,YES,0,5.303613,0,1.5,0.5,59.4403,20,FORCED,1,POLE
123.7222,NO,4,-0.01952552,1.038775,-0.1860204,0.05774117,1.020869,-0.3345098,0.1683445,NO,0.2333433,6.478316,0,1.5,0.5,56.09703,20,FORCED,1,POLE
128.4333,NO,5,0.03921965,1.000753,-0.205367,0.01424515,1.003721,-0.3507303,0.147523,NO,0.3082545,4.819648,0,1.5,0.5,54.75145,20,FORCED,1,POLE
132.9889,NO,6,0.07303482,1.060806,-0.2492491,0.05305552,1.0573,-0.3968226,0.148961,NO,0.2919074,3.672951,0,1.5,0.5,59.74015,20,FORCED,1,POLE
137.8445,NO,7,0.03550481,0.9703272,-0.2526419,0.0249685,0.9972968,-0.384606,0.1351033,YES,0,4.428567,0,1.5,0.5,54.89394,30,FORCED,1,POLE
142.2667,NO,8,-0.06235429,1.030949,-0.2512819,-0.01047873,1.035854,-0.37955,0.1384479,NO,0.1553736,5.709801,0,1.5,0.5,58.11035,30,FORCED,1,POLE
146.7889,NO,9,-0.025592,1.03429,-0.1816044,-0.02479923,1.017397,-0.3269917,0.1463676,NO,0.2223475,4.52648,0,1.5,0.5,55.67573,30,FORCED,1,POLE
151.4222,NO,10,-0.0296627,0.9778028,-0.2480725,0.01115167,1.002581,-0.3861011,0.1460537,NO,0.2262155,4.34705,0,1.5,0.5,55.10389,30,FORCED,1,POLE
155.8778,NO,11,-0.006213211,0.9785321,-0.2524902,-0.01180017,1.026875,-0.4016165,0.1568657,NO,0.1883294,4.502449,0,1.5,0.5,55.27936,30,FORCED,1,POLE
160.3445,NO,12,-0.04832831,0.9639472,-0.2452009,0.01329911,1.033738,-0.4136609,0.192477,NO,0.2167524,6.139584,0,1.5,0.5,54.32801,30,FORCED,1,POLE
164.7667,NO,13,-0.08905404,0.8761219,-0.1623186,-0.06305909,0.9666069,-0.3054,0.1712762,NO,0.1801549,6.282764,0,1.5,0.5,46.96801,30,FORCED,1,POLE
169.3889,NO,14,0.1410858,0.8662315,-0.3919682,0.1165271,1.025767,-0.4827653,0.1851998,NO,0.3598553,4.710526,0,1.5,0.5,54.9387,30,FORCED,1,POLE
173.9,NO,15,-0.01835824,0.8321272,-0.2599056,0.008410692,0.9561499,-0.4036494,0.1917303,NO,0.1846596,4.70581,0,1.5,0.5,48.6964,30,FORCED,1,POLE
178.6333,NO,16,-0.02957271,0.9622055,-0.18202,0.01452744,0.9993347,-0.329634,0.1584717,NO,0.1636771,6.292406,0,1.5,0.5,51.76926,30,FORCED,1,POLE
182.5889,NO,17,0.1043325,0.8866264,-0.2239631,0.08780348,1.003037,-0.36031,0.1800421,YES,0,5.685123,0,1.5,0.5,50.01744,40,FORCED,1,POLE
187.0889,NO,18,0.1198456,0.9023849,-0.30046,0.08321142,1.012975,-0.4478804,0.1878963,YES,0,5.620383,0,1.5,0.5,53.55934,50,FORCED,1,POLE
191.0778,NO,19,-0.03664884,0.9455504,-0.2263634,0.004346609,0.9993104,-0.3846248,0.1720972,NO,0.1718138,5.753421,0,1.5,0.5,52.67982,50,FORCED,1,POLE
195.7222,NO,20,-0.05096686,0.9102367,-0.2469447,-0.0309391,0.9746709,-0.3845514,0.1532595,NO,0.2014525,5.79826,0,1.5,0.5,51.77122,50,FORCED,1,POLE
200.2444,NO,21,-0.1005923,0.8313771,-0.2031058,-0.07221794,0.9962336,-0.33172,0.211008,NO,0.2362842,5.591487,0,1.5,0.5,46.7298,50,FORCED,1,POLE
204.7444,NO,22,0.06928708,0.8427683,-0.3307597,0.04994321,0.9993607,-0.4356164,0.1894473,NO,0.2196082,5.709618,0,1.5,0.5,51.74832,50,FORCED,1,POLE
209.7556,NO,23,-0.01550071,0.7817857,-0.2095917,-0.02726436,0.9464726,-0.3219668,0.1997207,NO,0.1774573,5.377976,0,1.5,0.5,44.66082,50,FORCED,1,POLE
214.7444,NO,24,0.09405516,0.9200966,-0.1719539,0.08643937,1.017494,-0.2936913,0.1560906,NO,0.2371116,5.263484,0,1.5,0.5,49.48019,50,FORCED,1,POLE
219.6333,NO,25,0.1444634,0.8769363,-0.2789446,0.1321832,1.010147,-0.3758187,0.1651683,YES,0,4.79222,0,1.5,0.5,51.81599,60,FORCED,1,POLE
