Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
2544.691,NO,1,0.5115584,1.047435,0.5042336,0.7847142,0.9278691,0.6168437,0.3187337,NO,0.06336303,5.132581,0.7243096,1.715182,-0.01475501,40.03004,0,NONE,1,POLE
2553.205,NO,2,1.381183,0.5039563,0.5692945,0.7747452,0.9164195,0.5558007,0.7335359,NO,0.1176989,0,0.7243096,1.715182,-0.01475501,35.96803,0,NONE,1,POLE
2556.198,NO,3,0.3399171,1.232574,0.5309491,0.8615836,0.9989594,0.6753118,0.5895359,NO,1.398148,0.06750001,0.7243096,1.715182,-0.01475501,54.13263,0,NONE,1,POLE
2562.453,NO,4,1.227022,0.8578062,0.7113338,0.8434177,1.008372,0.6734722,0.4138309,NO,0.1112876,1.128396,0.7243096,1.715182,-0.01475501,45.84787,0,NONE,1,POLE
2571.96,NO,5,0.4881953,1.07478,0.5292401,0.7645062,0.9914531,0.6146467,0.300974,YES,0,0.1979667,0.7243096,1.715182,-0.01475501,42.80039,10,NONE,1,POLE
2584.941,NO,6,0.5241108,0.9009582,0.5582724,0.7984051,0.9980286,0.6362226,0.3012246,NO,0.07910306,0,0.7243096,1.715182,-0.01475501,36.70403,10,NONE,1,POLE
2588.203,NO,7,1.388376,0.5747755,0.5788276,0.7929391,0.9655892,0.6022472,0.7126208,YES,0,0,0.7243096,1.715182,-0.01475501,37.99076,20,NONE,1,POLE
2594.85,NO,8,0.5804933,1.078599,0.5153308,0.8497791,0.9903045,0.6174171,0.3012182,YES,0,0.1355195,0.7243096,1.715182,-0.01475501,40.78789,30,NONE,1,POLE
2601.205,NO,9,-1.426178,2.250622,0.2847693,0.8473049,0.9538685,0.6062179,2.636972,YES,0,0,0.7243096,1.715182,-0.01475501,103.853,40,NONE,1,POLE
2605.239,NO,10,2.679272,0.4174361,1.346066,0.7983056,0.979565,0.6317625,2.08908,NO,0.1559958,0,0.7243096,1.715182,-0.01475501,61.41741,40,NONE,1,POLE
2609.035,NO,11,1.180847,0.7825106,0.6174281,0.8283035,0.9851129,0.6749547,0.4106627,YES,0,0.1797636,0.7243096,1.715182,-0.01475501,39.89862,50,NONE,1,POLE
2611.95,NO,12,0.5196803,1.189658,0.5175719,0.859336,0.9954075,0.6336007,0.40812,YES,0,12.11622,0.7243096,1.715182,-0.01475501,47.33998,60,NONE,1,POLE
2615.013,NO,13,0.567697,1.091354,0.5592089,0.8530807,0.966574,0.6240981,0.3181579,NO,0.07975357,0.1752525,0.7243096,1.715182,-0.01475501,43.64252,60,NONE,1,POLE
2618.688,NO,14,1.232895,0.5664556,0.5896084,0.8212299,0.9801455,0.6568847,0.5874807,NO,0.1383979,56.44177,0.7243096,1.715182,-0.01475501,34.51303,60,NONE,1,POLE
2623.032,NO,15,0.5634471,1.108706,0.548234,0.8182601,0.987401,0.6563079,0.3021995,NO,0.165983,0.3050584,0.7243096,1.715182,-0.01475501,43.99281,60,NONE,1,POLE
2626.876,NO,16,0.5546831,1.14222,0.6106582,0.8055086,0.9793887,0.6355491,0.3000786,YES,0,0.61483,0.7243096,1.715182,-0.01475501,48.51726,70,NONE,1,POLE
2632.058,NO,17,1.025375,0.908905,0.3377786,1.004551,0.9086759,0.6425993,0.3055314,NO,0.06735603,3.18659,0.7243096,1.715182,-0.01475501,29.89816,70,NONE,1,POLE
2635.264,NO,18,1.123036,1.088917,0.5184171,0.8424281,0.9556404,0.6027517,0.3218943,YES,0,0.1361003,0.7243096,1.715182,-0.01475501,46.75152,80,NONE,1,POLE
2637.756,NO,19,1.001899,0.8251977,0.597172,0.763072,1.008096,0.608892,0.3010437,NO,0.1725845,0.3117899,0.7243096,1.715182,-0.01475501,37.05311,80,NONE,1,POLE
2645.921,NO,20,2.244457,1.115673,1.10818,0.8315415,1.015448,0.6397676,1.491906,YES,0,1.801652,0.7243096,1.715182,-0.01475501,72.40034,90,NONE,1,POLE
2656.778,NO,21,1.043311,0.8227863,0.5900371,0.7932954,0.9865974,0.6441231,0.3037551,NO,0.2161587,0.4172812,0.7243096,1.715182,-0.01475501,37.45982,90,NONE,1,POLE
2660.801,NO,22,0.5679311,1.067991,0.503258,0.8316404,0.9749609,0.6216655,0.3036733,NO,0.122254,0.4615282,0.7243096,1.715182,-0.01475501,39.89826,90,NONE,1,POLE
2661.858,NO,23,0.4100632,1.272946,0.605222,0.8481059,1.006705,0.6718903,0.516924,NO,1.430223,1.751738,0.7243096,1.715182,-0.01475501,57.53358,90,NONE,1,POLE
2668.508,NO,24,-2.21503,3.104238,0.7384281,0.8786161,0.9916881,0.6629295,3.746893,YES,0,5.170045,0.7243096,1.715182,-0.01475501,114.5975,100,NONE,1,POLE
2673.926,NO,25,0.1809943,1.274204,0.4917142,0.7784643,0.9882139,0.6093156,0.6727485,YES,0,0.3001395,0.7243096,1.715182,-0.01475501,59.30253,110,NONE,1,POLE
