Time,Ball X,Ball Y,Ball Z
15.49573,0.4444373,1.039827,-0.5157263
15.50722,0.4461411,1.043137,-0.5086854
15.51827,0.4452981,1.047444,-0.4946577
15.52932,0.4420593,1.052092,-0.477378
15.54071,0.4351974,1.058868,-0.4534586
15.55256,0.4267958,1.066115,-0.4249072
15.56309,0.4158912,1.074677,-0.3900132
15.57411,0.4041707,1.08329,-0.3537505
15.58558,0.3917285,1.091677,-0.3166385
15.59633,0.3817832,1.096098,-0.2841918
15.60768,0.3754951,1.09531,-0.2582581
15.61874,0.3714109,1.090836,-0.2361982
15.62989,0.3676695,1.084618,-0.2149464
15.64115,0.364078,1.076957,-0.1941872
15.65209,0.360957,1.06759,-0.1744613
15.6635,0.3583824,1.056522,-0.1559553
15.67465,0.3563019,1.043816,-0.1387414
15.68568,0.3547134,1.029426,-0.1229131
15.69699,0.3536681,1.013282,-0.1085071
15.70806,0.3531785,0.9953988,-0.09544671
15.71927,0.3531671,0.9759687,-0.08348814
15.73031,0.3535196,0.9553971,-0.07201413
15.74156,0.3542154,0.9341887,-0.06009533
15.75291,0.3554077,0.9124088,-0.04696027
15.76419,0.3573003,0.8896089,-0.03267012
15.77509,0.3599792,0.8653946,-0.01768607
15.78638,0.36341,0.8395894,-0.002145214
15.79766,0.367308,0.8122038,0.01424888
15.80857,0.3707415,0.7834275,0.0322212
15.81956,0.3718306,0.753758,0.05259038
15.83111,0.3682874,0.7240026,0.07554998
15.84208,0.3588831,0.6952779,0.09982429
15.8533,0.3450379,0.6677486,0.1239939
15.86429,0.3281483,0.641584,0.1477011
15.87557,0.3086548,0.6175365,0.1711555
15.88675,0.2869253,0.5969433,0.1946694
15.89796,0.2638704,0.581009,0.2185457
15.90926,0.2406708,0.5702159,0.2431002
15.92045,0.2182584,0.5646455,0.2686265
15.93142,0.1971433,0.5639716,0.29539
15.94254,0.1772356,0.5668179,0.3234097
15.95415,0.1580947,0.5711369,0.3523752
15.96499,0.1393547,0.5753381,0.381903
15.97619,0.1208819,0.5787168,0.4117784
15.98724,0.1026766,0.581311,0.4419235
15.99845,0.08476145,0.5835797,0.4722501
23.33683,-0.1629512,1.051557,-0.6045783
23.34851,-0.1507163,1.045705,-0.5977923
23.35927,-0.1389903,1.041383,-0.5829812
23.37055,-0.1255543,1.039703,-0.5605549
23.38164,-0.1120277,1.036779,-0.5370436
23.39281,-0.09820541,1.033058,-0.5120548
23.40371,-0.08409986,1.029857,-0.4840815
23.41529,-0.07008987,1.027845,-0.4519885
23.42617,-0.05607732,1.02592,-0.4167796
23.43737,-0.04188034,1.023303,-0.379505
23.44881,-0.02765635,1.018291,-0.3446286
23.45968,-0.01339833,1.009449,-0.3155484
23.47083,0.0009639766,0.9971284,-0.2912555
23.48213,0.01525875,0.982675,-0.2685017
23.49332,0.02934057,0.9668262,-0.2458242
23.50473,0.05694478,0.9317589,-0.2005934
23.51541,0.05694478,0.9317589,-0.2005934
23.52678,0.08419853,0.8922199,-0.1558071
23.53818,0.09775114,0.8704571,-0.1333714
23.54916,0.1112225,0.8471182,-0.1103912
23.56006,0.1246324,0.8219032,-0.08653969
