Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s
16.00444,NO,1,0.4444373,1.039827,-0.5157263,-0.229727,1.18107,-0.7817657,0.7383928,NO,0.9778326,0.4279793
25.08222,NO,2,-0.1629512,1.051557,-0.6045783,-0.2774194,1.202743,-0.9191768,0.3673313,NO,0.1659806,1.362462
76.18222,NO,3,0.2621683,1.13111,-0.3809195,-0.2818824,1.03716,-0.8817579,0.7454239,NO,0.1729989,2.03387
83.62667,NO,4,-0.1845313,0.9133064,-0.4081467,-0.3677524,0.9989874,-0.9064269,0.537768,NO,0.569096,3.578337
92.20444,NO,5,-0.1346728,0.9083268,-0.4088528,-0.335344,0.9828511,-0.9854187,0.6150212,NO,0.1637872,4.370317
99.70444,NO,6,-0.07074088,0.87972,-0.3838823,-0.3341194,0.935298,-0.9564599,0.6326944,NO,0.3305836,4.806859
108.4489,NO,7,-0.2726691,0.9238911,-0.3844537,-0.3545777,0.8888694,-0.9729489,0.5951993,NO,0.7043993,2.889773
113.8933,NO,8,-0.2487692,0.909688,-0.3908268,-0.3475465,0.874988,-0.9841057,0.6024457,NO,0.594083,3.300152
122.56,NO,9,0.03998749,0.8596563,-0.3485245,-0.3024911,0.8935562,-0.9507617,0.6936356,NO,0.1304381,5
131.0378,NO,10,-0.3501333,1.070352,-0.4292823,-0.3146867,0.8779184,-1.039172,0.6405097,NO,0.6448982,2.332459
138.1933,NO,11,-0.3189704,0.9182858,-0.5180699,-0.3063991,0.8597304,-1.050089,0.5353791,NO,0.9980367,2.897809
144.8378,NO,12,-0.3384125,0.9881017,-0.393942,-0.3070706,0.862581,-1.05857,0.677103,NO,1.044124,2.749175
154.3044,NO,13,0.01226594,0.8178452,-0.3401698,-0.3509681,0.8872122,-0.9558961,0.7182407,NO,0.2925407,5
160.9822,NO,14,-0.3606227,0.9334586,-0.499644,-0.3402063,0.8697009,-1.015256,0.5199397,NO,0.5281013,3.060819
170.2933,NO,15,-0.4494868,0.8204662,-0.3932824,-0.3749043,0.8597945,-0.9097273,0.5232825,NO,0.5542389,2.100996
176.3378,NO,16,0.6357008,1.172346,-0.4784005,-0.3662592,0.8988349,-0.7487944,1.07324,NO,0.7525232,0.8869134
183.3267,NO,17,0.70292,1.183908,-0.4435432,-0.3098503,0.8957243,-0.6828251,1.079819,NO,0.6600803,2.558462
189.5489,NO,18,-0.207633,0.8455696,-0.1664408,-0.367788,0.8378693,-0.8965346,0.7474931,NO,0.1969891,3.532851
194.76,NO,19,-0.3687446,1.007421,-0.5341073,-0.3633865,0.899678,-0.7964475,0.283654,NO,0.6344192,0.3212138
201.2045,NO,20,-0.3465456,0.9826313,-0.5307691,-0.3991215,0.8908386,-0.8469383,0.3333963,NO,0.146639,1.02968
206.3044,NO,21,-0.3216807,0.8798494,-0.4779587,-0.3947337,0.8750799,-0.8771781,0.4058764,NO,0.9087295,0.7716574
207.9822,NO,22,0.08113755,1.279064,-0.2759045,-0.4159485,0.8835958,-0.7999725,0.8234907,NO,1.039392,1.081775
215.5822,NO,23,0.1830329,0.9490803,-0.1846527,-0.4103336,0.875419,-0.8710366,0.9102927,NO,0.2988546,4.384476
227.2711,NO,24,-0.3525439,0.9362093,-0.3319193,-0.3781801,0.8653384,-0.8220997,0.4959403,NO,0.1177076,3.153394
230.4933,NO,25,0.05120645,1.748135,-0.1106597,-0.3388746,0.9547026,-0.7991664,1.120598,NO,0.9082969,0.5058065
