Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
50.17166,1,0.2272149,1.007694,-1.204286,0,0,0.4103001,0.9975717,-1.450521,0,0,0
50.18267,1,0.2237288,1.009446,-1.20032,0,0,0.4104587,0.9979247,-1.450894,0,0,0
50.19395,1,0.2202553,1.011195,-1.196367,0,0,0.410221,0.9975891,-1.450549,0,0,0
50.20527,1,0.2165314,1.013003,-1.192179,0,0,0.4102243,0.9976381,-1.450583,0,0,0
50.21621,1,0.2129101,1.014788,-1.188109,0,0,0.4104575,0.998015,-1.450923,0,0,0
50.22754,1,0.2092043,1.01658,-1.183948,0,0,0.4102288,0.9977208,-1.450588,0,0,0
50.23989,1,0.2053176,1.01842,-1.179574,0,0,0.4102427,0.9977502,-1.450614,0,0,0
50.2497,1,0.2014967,1.020256,-1.17528,0,0,0.4103905,0.9977026,-1.450646,0,0,0
50.26099,1,0.1975054,1.022142,-1.170804,0,0,0.4104103,0.9977033,-1.450673,0,0,0
50.27198,1,0.1934818,1.024028,-1.166301,0,0,0.4104346,0.9977205,-1.4507,0,0,0
50.2832,1,0.1893789,1.025946,-1.161684,0,0,0.410736,0.998036,-1.451033,0,0,0
50.29467,1,0.1853127,1.027832,-1.157143,0,0,0.4105107,0.9976139,-1.450716,0,0,0
50.30551,1,0.1810911,1.029768,-1.152411,0,0,0.4105438,0.997625,-1.450744,0,0,0
50.31698,1,0.176784,1.031705,-1.147622,0,0,0.4105655,0.9975439,-1.450654,0,0,0
50.32804,1,0.1724135,1.033684,-1.142734,0,0,0.4105846,0.9975784,-1.450686,0,0,0
50.33883,1,0.1680119,1.035665,-1.13782,0,0,0.4106156,0.9976155,-1.450716,0,0,0
50.35066,1,0.1636121,1.037643,-1.132909,0,0,0.4106365,0.9975815,-1.450695,0,0,0
50.36186,1,0.1590424,1.039649,-1.127844,0,0,0.4106821,0.9976114,-1.450724,0,0,0
50.3741,1,0.1543914,1.041692,-1.122687,0,0,0.410714,0.9976175,-1.450758,0,0,0
50.38374,1,0.1496534,1.043735,-1.117464,0,0,0.4110018,0.997911,-1.451062,0,0,0
50.39483,1,0.1448511,1.045805,-1.112145,0,0,0.410952,0.997882,-1.451012,0,0,0
50.40617,1,0.1400547,1.047875,-1.106835,0,0,0.4107817,0.9976029,-1.450837,0,0,0
50.41726,1,0.1350834,1.049986,-1.101331,0,0,0.4108912,0.9975473,-1.450881,0,0,0
