Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
62.13462,YES,1,0.2306327,1.005975,-1.208183,0.4102756,0.9975352,-1.450477,0.3017431,NO,0.175438,0.4560156,0.4042057,1.67875,-0.7543975,35.83518,0,NONE,1,POLE
68.1324,YES,2,0.02570808,0.944995,-1.24665,0.2434618,0.9952658,-1.469592,0.3156694,NO,0.1257446,3.124784,0.4042057,1.67875,-0.7543975,40.23981,0,NONE,1,POLE
74.01862,YES,3,0.6811601,0.953349,-1.271043,0.5866307,1.065326,-1.552735,0.3175297,YES,0,3.368746,0.4042057,1.67875,-0.7543975,38.94168,10,NONE,1,POLE
80.62016,YES,4,-0.04803276,0.945662,-1.154369,0.1788745,0.9672726,-1.382391,0.3224102,NO,0.1617155,2.798215,0.4042057,1.67875,-0.7543975,39.47321,10,NONE,1,POLE
86.10403,YES,5,0.7003459,0.9236196,-1.203776,0.5900112,1.037931,-1.48738,0.3250723,YES,0,3.146198,0.4042057,1.67875,-0.7543975,35.47753,20,NONE,1,POLE
95.64352,YES,6,-0.01915348,0.8910099,-1.111922,0.1702187,0.9398392,-1.356599,0.3132299,NO,0.2275815,3.875966,0.4042057,1.67875,-0.7543975,35.12406,20,NONE,1,POLE
101.0267,YES,7,0.674481,0.8954133,-1.185072,0.5469004,0.9145718,-1.485139,0.3266252,YES,0,3.931362,0.4042057,1.67875,-0.7543975,32.98731,30,NONE,1,POLE
106.9702,YES,8,-0.1343086,1.023009,-1.217307,0.08652055,1.025511,-1.420746,0.3002649,NO,0.1134982,3.412756,0.4042057,1.67875,-0.7543975,47.2803,30,NONE,1,POLE
112.3528,YES,9,0.5725688,1.01629,-1.377891,0.5280558,1.129052,-1.675428,0.3212859,YES,0,2.949308,0.4042057,1.67875,-0.7543975,44.27154,40,NONE,1,POLE
118.1165,YES,10,-0.02436411,1.053682,-1.319695,0.156011,1.028808,-1.566268,0.3065167,NO,0.1378244,3.176602,0.4042057,1.67875,-0.7543975,48.61561,40,NONE,1,POLE
122.2383,YES,11,-0.1017838,0.9812003,-1.1861,0.0898968,0.9622865,-1.427249,0.3086294,NO,0.138805,2.761749,0.4042057,1.67875,-0.7543975,43.63694,40,NONE,1,POLE
