Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
166.1876,1,-0.5141924,1.544108,-0.6179186,0,0,-0.5526887,1.447402,-0.7685821,-0.3357056,1.399373,-1.070223
166.1987,1,-0.5079724,1.539274,-0.604776,0,0,-0.5515262,1.447151,-0.7700431,-0.3344578,1.400094,-1.070873
166.2094,1,-0.4981906,1.532476,-0.5841856,0,0,-0.5504193,1.447224,-0.7711413,-0.3332605,1.40075,-1.071549
166.2205,1,-0.485527,1.523687,-0.5571661,0,0,-0.5492152,1.447508,-0.7720581,-0.3320579,1.401461,-1.072173
166.2321,1,-0.4691158,1.512731,-0.522666,0,0,-0.5479914,1.447586,-0.7732542,-0.3308965,1.402187,-1.072682
166.2434,1,-0.4506381,1.500634,-0.4830006,0,0,-0.5470213,1.447704,-0.7739415,-0.3296694,1.402912,-1.073264
166.2545,1,-0.4289818,1.486989,-0.4368311,0,0,-0.5457939,1.44816,-0.7747861,-0.3285247,1.403599,-1.073549
166.2654,1,-0.4087907,1.471964,-0.3940158,0,0,-0.5445077,1.448566,-0.7757469,-0.3273998,1.404363,-1.073683
166.2765,1,-0.3922555,1.455593,-0.357641,0,0,-0.5431296,1.449261,-0.7766231,-0.3262474,1.405099,-1.07397
166.2887,1,-0.3803611,1.437528,-0.328574,0,0,-0.5418814,1.449854,-0.7773803,-0.3251237,1.405843,-1.074249
166.2992,1,-0.3684854,1.418043,-0.3012691,0,0,-0.5404159,1.450278,-0.7783883,-0.3240516,1.406545,-1.074481
166.3101,1,-0.3561922,1.397446,-0.2753601,0,0,-0.539011,1.45096,-0.7791566,-0.3228977,1.407229,-1.074889
166.3214,1,-0.3444913,1.375706,-0.2514973,0,0,-0.5375535,1.451724,-0.7795999,-0.3216392,1.408042,-1.075154
166.3324,1,-0.3336344,1.35281,-0.2297982,0,0,-0.5359885,1.452165,-0.7804205,-0.3204883,1.408738,-1.075409
166.3437,1,-0.3237078,1.32872,-0.2103387,0,0,-0.5347244,1.45272,-0.7808212,-0.3193908,1.409374,-1.07569
166.3548,1,-0.3147517,1.303393,-0.1931905,0,0,-0.5333838,1.453437,-0.7813418,-0.3184293,1.409966,-1.075876
166.3659,1,-0.3067189,1.276829,-0.1783223,0,0,-0.5316863,1.453701,-0.782079,-0.3173305,1.410591,-1.076282
166.3772,1,-0.299407,1.249107,-0.1654915,0,0,-0.5303165,1.454132,-0.7822092,-0.3162354,1.411207,-1.076476
166.3884,1,-0.2923937,1.22037,-0.1539743,0,0,-0.5287836,1.454657,-0.7823287,-0.3152356,1.411744,-1.076701
166.3994,1,-0.2850773,1.190838,-0.1421559,0,0,-0.5271896,1.454835,-0.7827104,-0.3141898,1.412398,-1.076612
166.4105,1,-0.2773012,1.1605,-0.1276578,0,0,-0.5259569,1.45498,-0.7826349,-0.3129563,1.413032,-1.076899
166.4218,1,-0.2699197,1.128896,-0.1101945,0,0,-0.5244896,1.455292,-0.7826443,-0.3118989,1.413573,-1.077056
166.433,1,-0.2635892,1.095802,-0.09180107,0,0,-0.5229523,1.455284,-0.7829126,-0.3107928,1.414206,-1.077026
166.444,1,-0.2583342,1.061328,-0.07339669,0,0,-0.5211147,1.455662,-0.7832255,-0.3096366,1.414751,-1.077332
166.4553,1,-0.2541282,1.025471,-0.05496491,0,0,-0.5195621,1.455667,-0.7833065,-0.3085532,1.415339,-1.077518
166.4664,1,-0.2508263,0.9880728,-0.03615403,0,0,-0.5179042,1.455406,-0.7836937,-0.307557,1.415945,-1.077432
166.4776,1,-0.2479767,0.9486708,-0.01625212,0,0,-0.5162966,1.455165,-0.7836206,-0.3065032,1.416531,-1.077556
166.4888,1,-0.2442493,0.9064007,0.005530767,0,0,-0.5144889,1.454971,-0.7834609,-0.3053891,1.41719,-1.077513
166.4999,1,-0.2378675,0.8605439,0.02926398,0,0,-0.5123723,1.454527,-0.783682,-0.3042388,1.417753,-1.077683
166.511,1,-0.2276732,0.8114161,0.05399386,0,0,-0.5103933,1.454303,-0.7836174,-0.3028739,1.418286,-1.07807
166.5221,1,-0.2137913,0.760171,0.0787078,0,0,-0.5077403,1.454113,-0.7835511,-0.3013598,1.418875,-1.078463
166.5334,1,-0.1967152,0.7078658,0.1031945,0,0,-0.5051925,1.453717,-0.7836789,-0.2999871,1.419339,-1.078602
166.5447,1,-0.1762096,0.6557174,0.127936,0,0,-0.5022863,1.453424,-0.7832915,-0.2986532,1.419788,-1.078868
166.5557,1,-0.1515079,0.6061928,0.1539223,0,0,-0.4992037,1.453021,-0.7827053,-0.2972621,1.420407,-1.078679
166.5672,1,-0.1224613,0.563653,0.1823876,0,0,-0.495726,1.452112,-0.7823237,-0.2958534,1.421073,-1.078284
166.578,1,-0.09141222,0.5334349,0.2143067,0,0,-0.4921865,1.451782,-0.7818356,-0.2942325,1.421811,-1.077924
166.5893,1,-0.06306449,0.5176187,0.2492682,0,0,-0.4888266,1.451164,-0.7807838,-0.292477,1.422667,-1.077549
166.6007,1,-0.03977939,0.5134444,0.2860313,0,0,-0.4850377,1.450052,-0.7796702,-0.2907736,1.423339,-1.077477
166.6118,1,-0.02151934,0.5185602,0.323606,0,0,-0.4816811,1.449092,-0.777799,-0.2889966,1.424055,-1.07718
166.6229,1,-0.006653672,0.529461,0.3610997,0,0,-0.4781985,1.448377,-0.7761405,-0.2872159,1.424837,-1.076761
166.634,1,0.006647568,0.5425228,0.3979197,0,0,-0.4743152,1.447326,-0.7744924,-0.2855917,1.425593,-1.076346
166.6457,1,0.01922638,0.5556933,0.4340356,0,0,-0.4706613,1.446224,-0.772318,-0.2840229,1.426427,-1.075518
169.6163,2,0.004416734,1.40746,-0.4785801,0,0,-0.03038347,1.378608,-0.5907222,-0.252118,1.447899,-0.991985
169.6279,2,0.06561822,1.422588,-0.4497924,0,0,-0.005374551,1.388104,-0.5912695,-0.2496267,1.451538,-0.9863212
169.6386,2,0.1207145,1.417416,-0.4409461,0,0,0.01923072,1.396083,-0.5942708,-0.2458073,1.453622,-0.9817044
169.6499,2,0.1724704,1.412549,-0.4294629,0,0,0.04178011,1.403455,-0.596927,-0.241836,1.455669,-0.9773667
169.6611,2,0.2225904,1.407162,-0.416906,0,0,0.05818665,1.412823,-0.606248,-0.2375079,1.457784,-0.9728301
169.6721,2,0.2705623,1.401251,-0.4040363,0,0,0.07482409,1.423792,-0.6133924,-0.2332957,1.459697,-0.968734
169.6832,2,0.316616,1.394904,-0.3892773,0,0,0.08737266,1.438174,-0.6250036,-0.2286381,1.461705,-0.9638826
169.6951,2,0.361017,1.38797,-0.3737033,0,0,0.0973599,1.452437,-0.636627,-0.2240566,1.463494,-0.9587913
169.7055,2,0.4040742,1.38036,-0.3577265,0,0,0.1080176,1.465508,-0.6464065,-0.219613,1.465142,-0.9544264
169.7172,2,0.4458931,1.372094,-0.3413881,0,0,0.1163132,1.479014,-0.6569129,-0.2149497,1.466854,-0.9502792
169.7281,2,0.486423,1.363272,-0.3244638,0,0,0.1230537,1.491001,-0.6663066,-0.2105496,1.46839,-0.9460893
169.7393,2,0.5255653,1.354015,-0.306599,0,0,0.1288505,1.50299,-0.6756277,-0.2066666,1.469764,-0.9425585
169.7504,2,0.5632815,1.34438,-0.2874632,0,0,0.1355925,1.513992,-0.6845514,-0.2031208,1.471079,-0.9392545
169.7615,2,0.5995868,1.334345,-0.2668122,0,0,0.1401166,1.524585,-0.6938516,-0.1999504,1.472333,-0.9363854
169.7725,2,0.6344821,1.323842,-0.2444585,0,0,0.1435689,1.533681,-0.703104,-0.1974993,1.473423,-0.9340009
169.7839,2,0.6678797,1.312788,-0.2201994,0,0,0.1486262,1.543468,-0.7122104,-0.195919,1.474214,-0.9320469
169.795,2,0.6995366,1.301097,-0.1937519,0,0,0.1520156,1.550524,-0.7216223,-0.1942515,1.475161,-0.9300506
169.8073,2,0.7557131,1.275339,-0.132717,0,0,0.1552721,1.557418,-0.7301893,-0.1931588,1.475835,-0.9285817
169.8173,2,0.7557131,1.275339,-0.132717,0,0,0.1590453,1.564214,-0.7387775,-0.1923426,1.476449,-0.9269348
169.8288,2,0.7791357,1.260944,-0.09750698,0,0,0.1612959,1.570039,-0.7465519,-0.1914366,1.477228,-0.9255673
169.8396,2,0.7991077,1.245346,-0.05920185,0,0,0.1631135,1.575051,-0.7535785,-0.1906688,1.477926,-0.9242058
169.8509,2,0.8158432,1.228525,-0.01814461,0,0,0.1652123,1.579725,-0.7598238,-0.1901013,1.478538,-0.9229954
169.8622,2,0.8412595,1.191489,0.07062803,0,0,0.1639546,1.592673,-0.7595892,-0.1897329,1.479101,-0.9218355
169.8732,2,0.8412595,1.191489,0.07062803,0,0,0.1652465,1.597669,-0.7652465,-0.1897263,1.480774,-0.9214539
169.8845,2,0.8580666,1.150638,0.1662933,0,0,0.1658026,1.598151,-0.7668685,-0.1896372,1.481628,-0.9212217
169.8956,2,0.8634219,1.129156,0.2164126,0,0,0.1695448,1.595056,-0.7761309,-0.1894564,1.48169,-0.9208222
169.9065,2,0.8634219,1.129156,0.2164126,0,0,0.1701989,1.596146,-0.7793905,-0.1888558,1.481531,-0.920336
169.918,2,0.8673213,1.08514,0.3212095,0,0,0.1721044,1.597152,-0.7827801,-0.1885989,1.481883,-0.9204167
169.9289,2,0.8673213,1.08514,0.3212095,0,0,0.1728687,1.595544,-0.7864511,-0.1884962,1.482196,-0.9203948
169.9402,2,0.8607421,1.041163,0.4317194,0,0,0.1734711,1.594967,-0.7890449,-0.1881807,1.482143,-0.9204414
169.9513,2,0.8527275,1.019787,0.4887054,0,0,0.1739258,1.594023,-0.7914968,-0.1880634,1.482222,-0.9205893
169.9627,2,0.8408589,0.9992623,0.5463354,0,0,0.1728715,1.591752,-0.7918559,-0.1878144,1.482288,-0.9208201
169.9737,2,0.8244522,0.9800094,0.6038594,0,0,0.1725366,1.589978,-0.7934047,-0.1875086,1.482121,-0.9212679
169.9848,2,0.802936,0.962402,0.6601381,0,0,0.1723268,1.587869,-0.7952687,-0.1872866,1.482027,-0.9215136
169.9961,2,0.7762222,0.9465718,0.71392,0,0,0.1707865,1.586199,-0.7950162,-0.1869587,1.481919,-0.9217976
170.0074,2,0.7448522,0.9323332,0.7642785,0,0,0.1700603,1.583863,-0.7955986,-0.1866859,1.481809,-0.9221278
170.0183,2,0.7097332,0.9193122,0.8108695,0,0,0.1695155,1.581704,-0.7966477,-0.1864245,1.481594,-0.9223045
