Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
166.6511,NO,1,-0.5176879,1.546659,-0.6252868,-0.5537353,1.447422,-0.767429,0.1770642,NO,1.095889,0.06506968,0,1.5,0.5,92.15723,0,NONE,1,POLE
171.8511,NO,2,-0.0415952,1.409735,-0.482995,-0.05498159,1.367833,-0.5938419,0.1192562,NO,0.35009,3.631691,0,1.5,0.5,84.75811,0,NONE,1,POLE
176.54,NO,3,0.03493955,1.376562,-0.6177194,0.02334952,1.372495,-0.7578214,0.1406394,NO,0.1722365,3.976256,0,1.5,0.5,83.70099,0,NONE,1,POLE
181.9956,NO,4,-0.02853981,1.466879,-0.5488032,0.088346,1.436779,-0.7002546,0.1936642,NO,0.1316103,5.192787,0,1.5,0.5,88.19191,0,NONE,1,POLE
193.84,NO,5,-0.7544439,1.349277,-0.790068,-0.7117222,1.330505,-0.9848142,0.2002589,NO,0.3288227,0.9219251,0,1.5,0.5,84.241,0,NONE,1,POLE
203.14,NO,6,0.04423768,1.461904,-0.4704864,0.08550513,1.425286,-0.6200594,0.1594237,NO,0.2130203,5.068252,0,1.5,0.5,87.75436,0,NONE,1,POLE
212.9844,NO,7,0.2067332,1.529962,-0.5407811,0.2080424,1.50792,-0.722504,0.1830595,NO,0.211735,4.639977,0,1.5,0.5,91.61741,0,NONE,1,POLE
223.1178,NO,8,0.001896258,1.845679,-0.4833228,-0.01528835,1.816861,-0.6380025,0.1582769,NO,0.5363842,4.711428,0,1.5,0.5,109.3687,0,NONE,1,POLE
231.0289,NO,9,0.08851476,1.211721,-0.4812151,0.08974004,1.245224,-0.648499,0.1706102,NO,0.3767873,4.707255,0,1.5,0.5,73.68999,0,NONE,1,POLE
241.2511,NO,10,0.1586552,1.528564,-0.5151918,0.146922,1.519312,-0.7044874,0.1898845,NO,0.2864463,4.557813,0,1.5,0.5,91.59235,0,NONE,1,POLE
