Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
8048.226,1,1.176409,0.9434096,0.3628011,0,0,1.084055,1.045819,0.6713953,0,0,0
8048.237,1,1.176752,0.9303156,0.3362234,0,0,1.081074,1.042552,0.6751926,0,0,0
8048.248,1,1.173672,0.921116,0.3063669,0,0,1.079057,1.039387,0.6773627,0,0,0
8048.26,1,1.170552,0.9087101,0.2784274,0,0,1.07707,1.036177,0.6788588,0,0,0
8048.271,1,1.166578,0.8968233,0.2512693,0,0,1.075249,1.032982,0.6805813,0,0,0
8048.282,1,1.165155,0.8834347,0.2229531,0,0,1.073538,1.029528,0.6822221,0,0,0
8048.293,1,1.158848,0.872406,0.1931121,0,0,1.072031,1.026816,0.6832144,0,0,0
8048.305,1,1.151154,0.8615042,0.1626101,0,0,1.070706,1.024222,0.6837306,0,0,0
8048.317,1,1.144515,0.8486016,0.1324058,0,0,1.069489,1.021877,0.6840074,0,0,0
8048.328,1,1.138161,0.8376572,0.1004419,0,0,1.068095,1.019682,0.6844308,0,0,0
8048.337,1,1.127847,0.8291786,0.06791472,0,0,1.0668,1.018411,0.6846609,0,0,0
8048.349,1,1.118425,0.8200246,0.03561544,0,0,1.065376,1.016583,0.6850302,0,0,0
8048.36,1,1.107245,0.8139265,0.001622915,0,0,1.064082,1.015316,0.6852129,0,0,0
8048.371,1,1.096091,0.8070525,-0.02970386,0,0,1.062915,1.014921,0.6852021,0,0,0
8048.382,1,1.08337,0.8013519,-0.06248999,0,0,1.061703,1.013861,0.6852155,0,0,0
8048.393,1,1.070386,0.7960206,-0.09448576,0,0,1.060678,1.013788,0.6850019,0,0,0
8048.405,1,1.056832,0.7911536,-0.1258788,0,0,1.059697,1.013561,0.6850734,0,0,0
8048.416,1,1.041675,0.7890917,-0.1582696,0,0,1.058777,1.013233,0.6849372,0,0,0
8048.427,1,1.026482,0.7859371,-0.1892927,0,0,1.057814,1.012774,0.6848748,0,0,0
8048.438,1,1.009396,0.7873214,-0.219372,0,0,1.057187,1.012812,0.6845725,0,0,0
8048.457,1,0.9924168,0.7869942,-0.2499759,0,0,1.056353,1.01246,0.6842749,0,0,0
8048.463,1,0.9747868,0.7887541,-0.2778676,0,0,1.055831,1.012495,0.6839182,0,0,0
8048.477,1,0.9567064,0.7894056,-0.3071413,0,0,1.055058,1.012568,0.6836696,0,0,0
8048.483,1,0.9367234,0.7937473,-0.3341966,0,0,1.054261,1.012537,0.6834416,0,0,0
8048.494,1,0.9161531,0.7980684,-0.3620903,0,0,1.05338,1.012632,0.6832745,0,0,0
8048.505,1,0.8960116,0.8022121,-0.3895631,0,0,1.052395,1.012833,0.6832216,0,0,0
8048.517,1,0.875668,0.8082702,-0.4160051,0,0,1.051366,1.012905,0.6830151,0,0,0
8048.528,1,0.854596,0.8159093,-0.4420531,0,0,1.050403,1.013085,0.6827791,0,0,0
8048.539,1,0.8333103,0.824504,-0.4657433,0,0,1.049428,1.013238,0.6825194,0,0,0
8048.55,1,0.8118141,0.8334955,-0.4894936,0,0,1.048467,1.013208,0.6821921,0,0,0
8048.561,1,0.7906753,0.8426677,-0.5124261,0,0,1.04754,1.013244,0.6819103,0,0,0
8048.573,1,0.769401,0.8520153,-0.5348885,0,0,1.046661,1.013135,0.6815488,0,0,0
8048.583,1,0.7482026,0.8638273,-0.5542099,0,0,1.045784,1.013024,0.6811161,0,0,0
8048.595,1,0.7257077,0.8757064,-0.5737338,0,0,1.044939,1.012972,0.680723,0,0,0
8048.606,1,0.7042487,0.889201,-0.5904272,0,0,1.044183,1.012814,0.6799865,0,0,0
8048.617,1,0.6827857,0.9018767,-0.606416,0,0,1.043464,1.012802,0.6795237,0,0,0
8048.628,1,0.6616814,0.9149514,-0.6202555,0,0,1.042813,1.012568,0.6791108,0,0,0
8048.639,1,0.6398409,0.9293824,-0.6317663,0,0,1.042008,1.012455,0.678829,0,0,0
8048.651,1,0.6186118,0.9423349,-0.6452587,0,0,1.041185,1.01237,0.6784451,0,0,0
8048.662,1,0.5968328,0.9582576,-0.6550226,0,0,1.040209,1.012089,0.6781394,0,0,0
8048.672,1,0.5753528,0.974234,-0.6636927,0,0,1.039116,1.011781,0.6778233,0,0,0
8048.685,1,0.5541751,0.9892513,-0.6730874,0,0,1.038234,1.01142,0.6774328,0,0,0
8048.695,1,0.5349256,1.00327,-0.6756332,0,0,1.037104,1.011031,0.6770833,0,0,0
8048.707,1,0.5142865,1.017615,-0.6804743,0,0,1.035967,1.010635,0.6765945,0,0,0
8048.718,1,0.494215,1.031985,-0.6857107,0,0,1.034645,1.010176,0.6762493,0,0,0
8048.729,1,0.4743859,1.045845,-0.6912851,0,0,1.033339,1.009715,0.6759427,0,0,0
8048.74,1,0.4551199,1.059643,-0.6946361,0,0,1.031995,1.009183,0.6756039,0,0,0
8048.751,1,0.4361678,1.072637,-0.6974261,0,0,1.030771,1.00859,0.6753192,0,0,0
8048.762,1,0.4178591,1.084311,-0.6990521,0,0,1.029404,1.007993,0.6751189,0,0,0
8048.773,1,0.3998709,1.095008,-0.7001433,0,0,1.027775,1.007435,0.6750581,0,0,0
8048.785,1,0.3820455,1.104093,-0.7014494,0,0,1.026174,1.006855,0.6748776,0,0,0
8048.796,1,0.3645814,1.113747,-0.7015448,0,0,1.024581,1.006342,0.6746998,0,0,0
8048.807,1,0.3476764,1.122708,-0.7005227,0,0,1.022923,1.005883,0.6745582,0,0,0
8048.818,1,0.3312089,1.131734,-0.6997399,0,0,1.021363,1.005423,0.6743035,0,0,0
8048.829,1,0.3154153,1.139777,-0.6971114,0,0,1.01963,1.005062,0.6740689,0,0,0
8048.841,1,0.2999512,1.146798,-0.6936536,0,0,1.017967,1.004648,0.6737797,0,0,0
8048.852,1,0.2854199,1.153077,-0.6895182,0,0,1.016412,1.004081,0.6734366,0,0,0
8048.863,1,0.2712585,1.159339,-0.684082,0,0,1.014718,1.003559,0.6730368,0,0,0
8048.875,1,0.2571552,1.16528,-0.6798334,0,0,1.013024,1.003006,0.6724937,0,0,0
8048.885,1,0.2442039,1.170003,-0.6726046,0,0,1.011412,1.002416,0.6719923,0,0,0
