Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
8054.012,NO,1,1.170191,0.9616988,0.3852432,1.085794,1.050579,0.6672339,0.3074757,NO,0.2713226,2.786429,0.8467613,1.728642,-0.01516724,33.86676,0,NONE,1,POLE
8063.262,NO,2,1.224874,1.004689,0.2992716,1.110736,1.053462,0.5763812,0.303638,NO,0.1907589,2.684869,0.8467613,1.728642,-0.01516724,34.18784,0,NONE,1,POLE
8071.616,NO,3,0.7503024,0.8668088,0.3787448,0.7849045,1.000335,0.661813,0.3148877,YES,0,3.351338,0.8467613,1.728642,-0.01516724,25.20013,10,NONE,1,POLE
8079.125,NO,4,1.306726,1.166363,0.3911855,1.101377,1.164308,0.6203477,0.3077136,NO,0.311686,2.652196,0.8467613,1.728642,-0.01516724,47.50607,10,NONE,1,POLE
8090.876,NO,5,1.306308,1.165068,0.4080203,1.079439,1.205291,0.6383808,0.3258117,NO,0.2742926,2.869283,0.8467613,1.728642,-0.01516724,47.94549,10,NONE,1,POLE
8099.511,NO,6,1.330588,1.202384,0.4295187,1.124011,1.233298,0.6714923,0.3196579,NO,0.2593682,2.816277,0.8467613,1.728642,-0.01516724,51.31121,10,NONE,1,POLE
8106.939,NO,7,0.2685652,1.000761,0.3788309,0.4784234,0.9549384,0.6385903,0.3370684,YES,0,3.609087,0.8467613,1.728642,-0.01516724,43.8681,20,NONE,1,POLE
8112.725,NO,8,0.354331,1.015861,0.5055106,0.6062109,0.9830436,0.7137266,0.3284424,YES,0,3.380022,0.8467613,1.728642,-0.01516724,45.15525,30,NONE,1,POLE
8117.116,NO,9,0.2550989,0.9677986,0.4156201,0.4633666,0.9616444,0.6541855,0.316744,NO,0.0914205,4.20548,0.8467613,1.728642,-0.01516724,43.88826,30,NONE,1,POLE
8121.114,NO,10,0.4808588,0.9436733,0.3217852,0.5597851,0.8955753,0.6415932,0.3328963,YES,0,3.4436,0.8467613,1.728642,-0.01516724,32.3614,40,NONE,1,POLE
8125.683,NO,11,0.4248573,0.8385304,0.3565736,0.6769581,0.857272,0.5888166,0.3432825,NO,0.3873451,4.221253,0.8467613,1.728642,-0.01516724,32.28189,40,NONE,1,POLE
8129.983,NO,12,0.5456415,0.897414,0.4390223,0.7544104,0.8741934,0.7097313,0.3426471,NO,0.3439126,5.341186,0.8467613,1.728642,-0.01516724,33.24829,40,NONE,1,POLE
8134.183,NO,13,0.5296098,0.8828461,0.4800189,0.7532337,0.9134877,0.7241255,0.3324674,NO,0.1748968,3.28315,0.8467613,1.728642,-0.01516724,34.8091,40,NONE,1,POLE
8136.798,NO,14,0.6249035,0.9954991,0.5636716,0.8094503,0.9760247,0.8105651,0.3088579,YES,0,2.448332,0.8467613,1.728642,-0.01516724,40.21576,50,NONE,1,POLE
8142.427,NO,15,0.5591274,0.9440629,0.4986162,0.7508742,0.9582506,0.7555696,0.3209254,NO,0.1990837,4.16364,0.8467613,1.728642,-0.01516724,36.88783,50,NONE,1,POLE
8145.365,NO,16,0.4662786,1.006106,0.5495162,0.7087338,0.9593837,0.7584431,0.323447,YES,0,3.256769,0.8467613,1.728642,-0.01516724,43.30101,60,NONE,1,POLE
8150.158,NO,17,0.3225913,1.024049,0.5256798,0.5558144,1.032353,0.7282158,0.3090029,YES,0,2.877541,0.8467613,1.728642,-0.01516724,46.90866,70,NONE,1,POLE
8153.085,NO,18,0.5117564,1.02906,0.5670612,0.734694,1.007729,0.778146,0.3077548,YES,0,3.330776,0.8467613,1.728642,-0.01516724,43.83636,80,NONE,1,POLE
8156.637,NO,19,0.4791691,0.9969544,0.5266135,0.7084159,0.9862136,0.7219543,0.301376,NO,0.08225875,3.342057,0.8467613,1.728642,-0.01516724,41.82217,80,NONE,1,POLE
8160.658,NO,20,0.4861835,1.026831,0.5595765,0.7134955,0.9692557,0.751498,0.3030173,NO,0.1098411,3.625133,0.8467613,1.728642,-0.01516724,44.03199,80,NONE,1,POLE
