Time,Ball X,Ball Y,Ball Z
669.8184,0.3086392,0.8400162,-0.799593
669.8306,0.2788217,0.8463689,-0.8280439
669.8403,0.2495786,0.8528067,-0.8577485
669.8521,0.2219203,0.859354,-0.8870869
669.8636,0.1992495,0.8694017,-0.9186621
669.8743,0.1568141,0.898572,-0.9566746
669.8854,0.1333569,0.9091101,-0.9941342
669.8969,0.1156251,0.9259813,-1.032402
669.9075,0.09509826,0.9384077,-1.067038
669.919,0.07562828,0.9504948,-1.100589
669.9307,0.06211627,0.9636496,-1.138363
669.9413,0.04758191,0.9766489,-1.175001
669.9524,0.03619075,0.9907312,-1.208117
669.9644,0.02491784,1.005186,-1.24357
669.9747,0.01725125,1.020644,-1.279409
669.9863,0.01092672,1.035249,-1.312021
669.9985,0.005825162,1.04977,-1.34608
670.0084,-0.001218081,1.06443,-1.379545
670.0196,-0.005221248,1.077764,-1.41312
670.0308,-0.006330609,1.091519,-1.445503
670.0432,-0.0090276,1.105592,-1.477355
670.0533,-0.007679701,1.119253,-1.509781
670.0647,-0.003074884,1.133462,-1.539362
670.0754,0.002279758,1.146871,-1.568668
670.0867,0.008675575,1.159888,-1.59869
670.0985,0.01756001,1.172673,-1.625775
670.1094,0.02519774,1.185426,-1.653416
670.1226,0.03621984,1.197091,-1.678922
670.1313,0.04865718,1.208928,-1.703762
670.1423,0.06386399,1.219453,-1.727741
670.1538,0.07960248,1.230385,-1.749522
670.1647,0.09699631,1.24048,-1.77325
670.1769,0.1150169,1.250358,-1.793042
670.1868,0.134071,1.259935,-1.810842
670.1984,0.1558011,1.267503,-1.830276
670.2099,0.1760139,1.275446,-1.847493
670.2206,0.196708,1.282711,-1.863478
670.2316,0.2186096,1.288873,-1.881063
670.2431,0.2399588,1.295133,-1.896961
670.2542,0.2625998,1.298586,-1.910548
670.2654,0.2860528,1.30073,-1.92483
670.2763,0.3083531,1.303887,-1.939011
670.2877,0.3301435,1.304283,-1.953428
670.2989,0.354342,1.304922,-1.967884
670.3096,0.3778909,1.302766,-1.979082
670.321,0.4007638,1.300524,-1.992615
670.3322,0.4253303,1.297586,-2.005259
670.3438,0.4490142,1.29455,-2.016743
670.3547,0.4731451,1.287877,-2.027318
670.3656,0.4988484,1.281071,-2.037118
670.3767,0.5239108,1.274291,-2.045299
670.3878,0.5487745,1.267396,-2.054705
670.3992,0.5758232,1.258616,-2.060393
670.4102,0.6019562,1.250889,-2.065318
670.4216,0.6288025,1.241129,-2.066688
670.4326,0.6569254,1.231369,-2.067425
670.4438,0.6837416,1.222877,-2.067193
670.4554,0.7105577,1.212791,-2.063929
670.4661,0.7399688,1.201863,-2.060202
670.4775,0.7673156,1.191567,-2.053168
670.489,0.7942003,1.181066,-2.047576
670.4997,0.822376,1.168659,-2.038303
670.5112,0.8494183,1.157433,-2.026364
670.5219,0.8759295,1.145482,-2.014486
670.5333,0.9049181,1.131486,-2.002318
670.5441,0.9316672,1.119151,-1.988751
670.5554,0.9577173,1.104971,-1.973483
670.5667,0.9867437,1.090268,-1.959756
670.5785,1.013117,1.075468,-1.941818
670.5894,1.039221,1.059849,-1.923556
670.6002,1.06685,1.042922,-1.905169
670.6115,1.092225,1.027146,-1.883705
670.6239,1.117148,1.011071,-1.860822
670.6337,1.142399,0.9953604,-1.837546
670.6448,1.16636,0.9802713,-1.812981
670.6567,1.188325,0.9652648,-1.785766
670.6672,1.210463,0.9510236,-1.757533
670.6805,1.230505,0.9374254,-1.726748
670.6906,1.250188,0.9239091,-1.696573
670.7014,1.267439,0.9123727,-1.662454
670.712,1.284576,0.9010665,-1.629018
670.7232,1.299478,0.8912796,-1.593002
670.7349,1.314705,0.8805203,-1.558706
670.746,1.326062,0.8723634,-1.519803
670.757,1.338697,0.8632828,-1.481716
670.7679,1.349243,0.8556973,-1.443334
670.7792,1.35854,0.8486826,-1.403684
