Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
671.5499,YES,1,0.6395113,1.106703,-0.3597872,0.7742629,1.079678,-0.367254,0.1376375,NO,0.07922184
674.946,YES,2,0.4686362,1.174486,-0.3372369,0.7856508,1.056737,-0.3095617,0.3393068,YES,0
680.8106,YES,3,0.4498899,1.152204,-0.3532534,0.6980393,1.08419,-0.367274,0.2576831,NO,0.08779773
682.8549,YES,4,0.2862044,1.120782,-1.838575,0.8227801,0.8787977,-0.3794353,1.573391,NO,0.5525153
684.2399,YES,5,0.721378,1.077413,-0.3849242,0.7939147,1.089621,-0.3622792,0.07696369,NO,0.1442409
687.5231,YES,6,0.62666,1.102262,-0.3657551,0.7479099,1.080413,-0.3404677,0.125771,NO,0.06715064
691.3442,YES,7,0.7707279,1.042503,-0.3855996,0.8011535,1.053147,-0.3345287,0.06039245,NO,0.08636892
697.9792,YES,8,0.7082434,1.069179,-0.367074,0.7847263,1.139273,-0.4139416,0.1138392,NO,0.1087532
702.7046,YES,9,0.611564,1.14191,-0.3406227,0.8861882,1.076245,-0.3437438,0.2823828,YES,0
707.0383,YES,10,0.6844136,1.110027,-0.3374951,0.778076,1.147937,-0.3779285,0.1088334,NO,0.09774808
710.9036,YES,11,0.220401,1.28664,-0.288573,0.7773871,1.034364,-0.4117544,0.6237389,NO,0.1247262
711.9988,YES,12,0.9741115,1.062513,-0.4043818,1.014127,1.071046,-0.3174844,0.096048,NO,1.68752
714.2551,YES,13,0.5643679,1.163937,-0.320483,0.8755593,1.085583,-0.3382573,0.3213959,NO,0.09461557
714.9253,YES,14,0.8766459,1.09378,-0.3845732,1.018713,1.100847,-0.3158329,0.1579816,NO,1.69373
717.4503,YES,15,0.5968034,1.177215,-0.3146112,0.8415764,1.097631,-0.3125432,0.257394,NO,0.09011818
720.8565,YES,16,0.08303714,1.385013,-0.2301903,0.7888005,1.040234,-0.3432071,0.7935662,YES,0
721.6943,YES,17,0.02813458,1.43522,-0.2031124,0.8452798,1.079466,-0.3391428,0.9015494,NO,1.137743
723.6493,YES,18,0.8489432,1.0309,-0.3862858,0.9068095,1.043709,-0.3160057,0.09193403,NO,1.318931
727.0222,YES,19,0.6332053,1.167408,-0.3304386,0.7497114,1.128091,-0.3259659,0.1230429,NO,0.151122
729.9276,YES,20,0.6413865,1.215689,-0.3129029,0.7353679,1.195903,-0.3200817,0.09630946,YES,0
