Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
7140.228,1,0.5134382,0.809219,0.2566524,0,0,0.688808,0.7882874,0.5488629,0,0,0
7140.238,1,0.4961509,0.8095664,0.238193,0,0,0.6860911,0.7865199,0.5511031,0,0,0
7140.25,1,0.4773433,0.8120017,0.2164648,0,0,0.6825544,0.7843963,0.5535426,0,0,0
7140.262,1,0.4583576,0.8131388,0.1958895,0,0,0.6809605,0.7836303,0.5564954,0,0,0
7140.271,1,0.4322117,0.8146681,0.1721582,0,0,0.6801394,0.7833697,0.5586572,0,0,0
7140.283,1,0.412692,0.8114923,0.1513491,0,0,0.6800054,0.7834029,0.5600996,0,0,0
7140.294,1,0.3935876,0.8091563,0.1298459,0,0,0.6807245,0.7836717,0.5607967,0,0,0
7140.306,1,0.3759105,0.8099988,0.1075048,0,0,0.6811923,0.7837687,0.5613728,0,0,0
7140.317,1,0.3570457,0.8084507,0.08545327,0,0,0.6833707,0.7844013,0.5607796,0,0,0
7140.328,1,0.3397871,0.8082334,0.06270814,0,0,0.6863958,0.7847477,0.5595365,0,0,0
7140.34,1,0.3229013,0.8124561,0.03906989,0,0,0.6901697,0.7847955,0.5576744,0,0,0
7140.351,1,0.3121405,0.8184597,0.01577401,0,0,0.694638,0.7846215,0.5553079,0,0,0
7140.363,1,0.3007873,0.8201586,-0.008424997,0,0,0.6988242,0.7844077,0.5531068,0,0,0
7140.373,1,0.2881945,0.8230337,-0.03247833,0,0,0.7049692,0.7841398,0.549469,0,0,0
7140.383,1,0.2790693,0.8298156,-0.05843449,0,0,0.7101656,0.7839788,0.5465195,0,0,0
7140.396,1,0.2677351,0.8349189,-0.08374405,0,0,0.7164728,0.7839167,0.5429075,0,0,0
7140.406,1,0.2588511,0.8410674,-0.1074667,0,0,0.7232155,0.7841219,0.5391119,0,0,0
7140.419,1,0.2486084,0.8477482,-0.1325579,0,0,0.730498,0.7844486,0.5352755,0,0,0
7140.431,1,0.2413606,0.8554256,-0.1574745,0,0,0.7383171,0.784991,0.5314589,0,0,0
7140.442,1,0.2337536,0.8629454,-0.1800573,0,0,0.7460601,0.785612,0.5277905,0,0,0
7140.452,1,0.2264996,0.869598,-0.2045619,0,0,0.7545995,0.7864347,0.524318,0,0,0
7140.463,1,0.220661,0.8785026,-0.2280695,0,0,0.7631693,0.7871587,0.521127,0,0,0
7140.475,1,0.2163451,0.8880136,-0.2502451,0,0,0.7714068,0.787943,0.5182855,0,0,0
7140.485,1,0.210144,0.8943739,-0.2734032,0,0,0.7794352,0.7888814,0.515713,0,0,0
7140.497,1,0.2063751,0.9018244,-0.295996,0,0,0.7871644,0.7899196,0.5130677,0,0,0
7140.508,1,0.2031093,0.9082057,-0.3182168,0,0,0.8006508,0.8156064,0.5473118,0,0,0
7140.519,1,0.199227,0.9144309,-0.3401139,0,0,0.7971952,0.8013059,0.5452256,0,0,0
7140.531,1,0.1973686,0.920357,-0.3611586,0,0,0.8090725,0.7999597,0.544662,0,0,0
7140.542,1,0.1955432,0.9271935,-0.3814721,0,0,0.8143622,0.8024187,0.5444233,0,0,0
7140.552,1,0.19559,0.9345562,-0.4018173,0,0,0.8198857,0.8028276,0.5431387,0,0,0
7140.563,1,0.1970123,0.9425061,-0.4200687,0,0,0.8271883,0.8041286,0.5424991,0,0,0
7140.575,1,0.1983275,0.9507347,-0.4386668,0,0,0.8327653,0.8061396,0.5422299,0,0,0
7140.586,1,0.2040519,0.9622743,-0.4564047,0,0,0.836857,0.8058741,0.5415339,0,0,0
7140.597,1,0.2119138,0.9746006,-0.4726288,0,0,0.8437244,0.8071978,0.5410554,0,0,0
7140.608,1,0.2176341,0.9851835,-0.4892073,0,0,0.8487834,0.8092835,0.5414565,0,0,0
7140.619,1,0.2268679,0.9951506,-0.5043263,0,0,0.8529006,0.8093388,0.5412462,0,0,0
7140.631,1,0.2347955,1.004304,-0.5191486,0,0,0.8588648,0.810526,0.5414143,0,0,0
7140.645,1,0.2431924,1.012573,-0.5336866,0,0,0.8633052,0.8125513,0.5423648,0,0,0
7140.652,1,0.250703,1.019644,-0.5484037,0,0,0.8672659,0.8128275,0.5426395,0,0,0
7140.666,1,0.2595547,1.02599,-0.5621607,0,0,0.8721737,0.813898,0.5431681,0,0,0
7140.675,1,0.2678607,1.032052,-0.5760777,0,0,0.8760163,0.8155764,0.5443871,0,0,0
7140.687,1,0.2769711,1.035997,-0.5892279,0,0,0.8795505,0.8159319,0.5448177,0,0,0
7140.698,1,0.2872094,1.040889,-0.6014121,0,0,0.8832071,0.8178269,0.5447829,0,0,0
7140.708,1,0.2980015,1.045367,-0.612144,0,0,0.886384,0.8193896,0.5465524,0,0,0
7140.72,1,0.3091247,1.048148,-0.6231909,0,0,0.8890516,0.8198916,0.5470605,0,0,0
7140.732,1,0.3197186,1.050046,-0.6339073,0,0,0.8924035,0.8209864,0.5476568,0,0,0
7140.742,1,0.32998,1.052641,-0.6449444,0,0,0.8947973,0.8229634,0.5486839,0,0,0
7140.754,1,0.3410382,1.052817,-0.6548066,0,0,0.8967262,0.8232837,0.5491161,0,0,0
7140.765,1,0.352402,1.051861,-0.6645205,0,0,0.8993947,0.8242397,0.5496628,0,0,0
7140.776,1,0.363431,1.050882,-0.6739693,0,0,0.9010412,0.8260939,0.5507212,0,0,0
7140.787,1,0.3753929,1.04961,-0.6816626,0,0,0.9024226,0.8264197,0.5511448,0,0,0
7140.799,1,0.3868473,1.04851,-0.6896353,0,0,0.9042103,0.82797,0.5511119,0,0,0
7140.809,1,0.398715,1.0449,-0.6972003,0,0,0.905727,0.8292565,0.5523229,0,0,0
7140.82,1,0.4112521,1.040686,-0.7040765,0,0,0.9069507,0.8297379,0.5524504,0,0,0
7140.832,1,0.4242523,1.036874,-0.7093203,0,0,0.9084934,0.8310014,0.5522511,0,0,0
7140.843,1,0.4382329,1.033399,-0.7132087,0,0,0.9096805,0.8321495,0.5531182,0,0,0
7140.854,1,0.4521523,1.030109,-0.7168133,0,0,0.9107523,0.8327116,0.5531175,0,0,0
7140.866,1,0.4677055,1.026957,-0.7176647,0,0,0.9120262,0.8340241,0.5526893,0,0,0
7140.876,1,0.4834561,1.023446,-0.7177212,0,0,0.9131054,0.8351852,0.5528839,0,0,0
7140.888,1,0.4990541,1.019659,-0.7174246,0,0,0.9141095,0.8358562,0.5526426,0,0,0
7140.898,1,0.5155121,1.015999,-0.7152212,0,0,0.9150956,0.8372091,0.552007,0,0,0
7140.91,1,0.5316444,1.012012,-0.7133195,0,0,0.9161611,0.8385251,0.5524435,0,0,0
7140.921,1,0.5488924,1.008051,-0.7086391,0,0,0.9170741,0.8393912,0.5518584,0,0,0
7140.932,1,0.5661414,1.004237,-0.7026539,0,0,0.9180441,0.8408161,0.5511317,0,0,0
7140.943,1,0.583329,0.9993308,-0.6965444,0,0,0.9190618,0.8423218,0.551362,0,0,0
7140.954,1,0.6007461,0.9936512,-0.6901224,0,0,0.9199471,0.8434693,0.5508246,0,0,0
7140.966,1,0.6175907,0.9876455,-0.6842771,0,0,0.9210714,0.8447727,0.550343,0,0,0
7140.977,1,0.6348587,0.9799818,-0.6761878,0,0,0.9220859,0.8465416,0.5501046,0,0,0
7140.988,1,0.6519392,0.9730332,-0.6687472,0,0,0.9231114,0.8478192,0.5494363,0,0,0
7141,1,0.6685438,0.9642777,-0.660284,0,0,0.9241147,0.8493966,0.548619,0,0,0
7141.011,1,0.6854026,0.9548104,-0.6521084,0,0,0.925141,0.8509847,0.5482419,0,0,0
7141.021,1,0.7031759,0.9459748,-0.643065,0,0,0.9261061,0.85252,0.5473392,0,0,0
7141.034,1,0.7200209,0.9359913,-0.6312053,0,0,0.9270875,0.8540381,0.5463817,0,0,0
7141.044,1,0.7368787,0.9253275,-0.6206462,0,0,0.927932,0.8557577,0.5455644,0,0,0
7141.055,1,0.7542991,0.9153171,-0.6096003,0,0,0.928797,0.8573221,0.5444188,0,0,0
7141.066,1,0.7711021,0.9053247,-0.5963836,0,0,0.9295781,0.8590523,0.5430484,0,0,0
7141.077,1,0.7878106,0.8955873,-0.5826213,0,0,0.9303058,0.8609003,0.5420952,0,0,0
7141.089,1,0.8049771,0.8857729,-0.568964,0,0,0.9309446,0.863025,0.5406165,0,0,0
7141.1,1,0.8216273,0.8746359,-0.5530884,0,0,0.9316542,0.8651503,0.5390143,0,0,0
7141.111,1,0.838024,0.8643917,-0.5388851,0,0,0.9323753,0.8673676,0.5377073,0,0,0
7141.122,1,0.8540445,0.8558617,-0.5212662,0,0,0.9330052,0.8699535,0.5359759,0,0,0
7141.133,1,0.8698219,0.8476894,-0.5022295,0,0,0.93376,0.8724059,0.5340507,0,0,0
7141.144,1,0.8852791,0.8400093,-0.4823792,0,0,0.934542,0.8750955,0.5322752,0,0,0
7141.155,1,0.9001572,0.8332226,-0.4624326,0,0,0.935543,0.8781004,0.530123,0,0,0
7141.167,1,0.9139884,0.8283484,-0.440799,0,0,0.9361235,0.880818,0.5279968,0,0,0
7141.178,1,0.9275971,0.8244733,-0.4185998,0,0,0.9371557,0.883824,0.5257585,0,0,0
7141.189,1,0.9405189,0.8209232,-0.3949189,0,0,0.9384235,0.8874385,0.5232563,0,0,0
7141.2,1,0.9525109,0.8181931,-0.3704026,0,0,0.9392882,0.8906504,0.5209296,0,0,0
7141.211,1,0.9638641,0.8158566,-0.3455887,0,0,0.9406815,0.8940672,0.5187697,0,0,0
7141.222,1,0.9758624,0.8129081,-0.3212976,0,0,0.9422634,0.89785,0.5164647,0,0,0
7141.233,1,0.9859182,0.8107558,-0.2951777,0,0,0.9438547,0.9014471,0.514128,0,0,0
7141.245,1,0.9960465,0.8085488,-0.2696726,0,0,0.9459777,0.9050584,0.5117848,0,0,0
7141.256,1,1.006416,0.806084,-0.2443144,0,0,0.9481659,0.9090313,0.509495,0,0,0
7141.267,1,1.016052,0.8039606,-0.2180097,0,0,0.9505818,0.9121357,0.5073805,0,0,0
7141.278,1,1.024555,0.8029392,-0.1911743,0,0,0.9527153,0.9156433,0.5051501,0,0,0
7141.29,1,1.032929,0.8022928,-0.1643033,0,0,0.9548521,0.9196634,0.5028703,0,0,0
7141.301,1,1.040148,0.8026329,-0.1370234,0,0,0.9570309,0.9227527,0.5003381,0,0,0
7141.312,1,1.047248,0.8031,-0.1097815,0,0,0.9590904,0.9259686,0.4979122,0,0,0
7141.323,1,1.053315,0.8053991,-0.08230639,0,0,0.9607438,0.9292449,0.4954755,0,0,0
