Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
7146.272,NO,1,0.5348459,0.8136549,0.2758727,0.6935102,0.7913169,0.5464933,0.3144977,NO,0.2671242,2.766153,-0.8399572,2.155344,0.2049556,45.73646,0,NONE,1,POLE
7149.901,NO,2,0.4068123,0.9198775,0.3899105,0.6465135,0.8766966,0.5770328,0.3071417,NO,0.449839,1.860499,-0.8399572,2.155344,0.2049556,45.57267,0,NONE,1,POLE
7156.023,NO,3,0.4374363,0.8628029,0.3347492,0.6725491,0.8352553,0.5566785,0.3244834,NO,0.3089819,2.784083,-0.8399572,2.155344,0.2049556,44.80941,0,NONE,1,POLE
7163.676,NO,4,0.4170269,0.8390838,0.2432585,0.6125346,0.8736444,0.4709134,0.302067,NO,0.3826617,2.507651,-0.8399572,2.155344,0.2049556,43.69367,0,NONE,1,POLE
7165.485,NO,5,0.4377809,0.8447394,0.2471826,0.6504412,0.8298382,0.5105023,0.3387975,NO,0.2978612,2.528211,-0.8399572,2.155344,0.2049556,44.28814,0,NONE,1,POLE
7170.087,NO,6,0.5660766,0.8203313,0.3338799,0.766444,0.8461307,0.56953,0.3103927,YES,0,3.719002,-0.8399572,2.155344,0.2049556,46.60397,10,NONE,1,POLE
7173.372,NO,7,0.4930923,0.8507093,0.3726971,0.7082332,0.8572751,0.6188831,0.3270111,YES,0,3.815516,-0.8399572,2.155344,0.2049556,45.84216,20,NONE,1,POLE
7179.425,NO,8,0.5311157,0.8727422,0.3731098,0.7524387,0.8824548,0.5896192,0.3097652,NO,0.1231564,3.25629,-0.8399572,2.155344,0.2049556,47.1228,20,NONE,1,POLE
7181.714,NO,9,0.5443153,0.8659961,0.3617992,0.7704833,0.8881674,0.5794873,0.3146929,NO,0.3881082,1.649176,-0.8399572,2.155344,0.2049556,47.2156,20,NONE,1,POLE
7183.626,NO,10,0.5042688,0.7675215,-0.04312515,0.7815494,0.8138307,0.4664757,0.5819984,NO,0.4881517,1.664205,-0.8399572,2.155344,0.2049556,44.56539,20,NONE,1,POLE
7187.892,NO,11,0.5937507,0.8292017,0.3622181,0.7405386,0.8979403,0.625984,0.3095869,YES,0,2.857007,-0.8399572,2.155344,0.2049556,47.40274,30,NONE,1,POLE
7194.999,NO,12,0.60672,0.8574986,0.4202979,0.8354201,0.9064939,0.6471481,0.3258302,YES,0,3.823418,-0.8399572,2.155344,0.2049556,48.41592,40,NONE,1,POLE
7199.946,NO,13,0.7151635,0.8827161,0.3800564,0.8108586,0.9354206,0.6844242,0.3233807,YES,0,3.64174,-0.8399572,2.155344,0.2049556,50.88171,50,NONE,1,POLE
7202.281,NO,14,0.8813672,0.7889293,0.03140211,0.9265966,0.9584444,0.667676,0.6600193,NO,0.3295768,2.665676,-0.8399572,2.155344,0.2049556,51.69792,50,NONE,1,POLE
7206.771,NO,15,0.4311187,0.8988949,0.3798468,0.6916502,0.9119779,0.6849933,0.4014501,YES,0,3.205858,-0.8399572,2.155344,0.2049556,45.60018,60,NONE,1,POLE
7209.397,NO,16,0.4435265,0.9350213,0.4709785,0.7056434,0.9645526,0.6535733,0.3208087,NO,0.1308702,3.473893,-0.8399572,2.155344,0.2049556,47.04641,60,NONE,1,POLE
7211.876,NO,17,0.3926302,0.8746867,0.3551679,0.6039701,0.8836882,0.5859666,0.3130713,NO,0.1592388,4.876964,-0.8399572,2.155344,0.2049556,44.1153,60,NONE,1,POLE
7214.02,NO,18,0.4757239,0.8713326,0.4145305,0.6977414,0.8731419,0.6714058,0.339529,NO,0.3831471,5.035469,-0.8399572,2.155344,0.2049556,46.05669,60,NONE,1,POLE
7216.1,NO,19,0.4322953,0.8576975,0.4044931,0.6139898,0.8680073,0.6691244,0.321168,NO,0.08729191,3.161801,-0.8399572,2.155344,0.2049556,44.78191,60,NONE,1,POLE
7218.199,NO,20,0.5382716,0.8705916,0.3927414,0.7203405,0.9550916,0.6231842,0.305603,NO,0.08945691,3.973527,-0.8399572,2.155344,0.2049556,47.27312,60,NONE,1,POLE
