Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
8615.179,YES,1,0.3799722,0.8497156,0.2057333,0.411464,0.9610083,0.4906967,0.3075418,NO,0.1883224,2.894553,1.239021,1.640326,-0.09917212,49.06424,0,NONE,1,POLE
8620.763,YES,2,0.3624979,0.930563,0.3698466,0.4276207,1.096397,0.653918,0.3353186,YES,0,3.480562,1.239021,1.640326,-0.09917212,54.47462,10,NONE,1,POLE
8624.227,YES,3,0.3554339,0.917858,0.3502431,0.3928038,1.068447,0.626797,0.317105,NO,0.2161563,4.107993,1.239021,1.640326,-0.09917212,53.91547,10,NONE,1,POLE
8627.724,YES,4,0.3280678,0.9112847,0.3231163,0.3742177,1.025313,0.6014416,0.3042982,YES,0,3.698698,1.239021,1.640326,-0.09917212,54.01723,20,NONE,1,POLE
8631.644,YES,5,0.2944533,0.9138381,0.2788336,0.3421912,0.9792889,0.5856776,0.3173577,YES,0,3.789803,1.239021,1.640326,-0.09917212,54.47071,30,NONE,1,POLE
8635.162,YES,6,0.3862426,0.901396,0.3063791,0.3467774,0.9721775,0.6116681,0.3158622,YES,0,3.854431,1.239021,1.640326,-0.09917212,51.95628,40,NONE,1,POLE
8638.402,YES,7,0.4535522,0.882676,0.337415,0.4463733,0.9857843,0.6197016,0.3006137,NO,0.09604909,3.579858,1.239021,1.640326,-0.09917212,49.86581,40,NONE,1,POLE
8643.026,YES,8,0.7248393,1.227004,0.8421897,0.5445134,1.03379,0.6680672,0.316493,NO,0.1041294,0.4704863,1.239021,1.640326,-0.09917212,68.92667,40,NONE,1,POLE
8647.595,YES,9,0.4844388,0.884595,0.3676019,0.4678877,0.9771816,0.6615427,0.3086218,NO,0.06776671,3.18999,1.239021,1.640326,-0.09917212,49.57781,40,NONE,1,POLE
8651.069,YES,10,0.4644236,0.9083096,0.3921096,0.4336441,1.015859,0.6806097,0.3094296,NO,0.1272236,3.725563,1.239021,1.640326,-0.09917212,51.4084,40,NONE,1,POLE
8654.154,YES,11,0.5300985,0.8965607,0.3817222,0.4336516,0.9955406,0.6771283,0.3261347,NO,0.1445601,3.801142,1.239021,1.640326,-0.09917212,49.03431,40,NONE,1,POLE
8657.19,YES,12,0.5321603,0.8922317,0.3743367,0.48851,1.000208,0.6554499,0.3042843,YES,0,3.853691,1.239021,1.640326,-0.09917212,48.67543,50,NONE,1,POLE
8664.039,YES,13,0.5306261,0.8925765,0.3832078,0.4678846,1.012735,0.6592336,0.307514,YES,0,3.399234,1.239021,1.640326,-0.09917212,48.89593,60,NONE,1,POLE
8669.434,YES,14,0.4027916,0.9125462,0.380662,0.3969551,1.035184,0.6959109,0.3383134,NO,0.06641819,3.975322,1.239021,1.640326,-0.09917212,52.95207,60,NONE,1,POLE
8674.552,YES,15,0.499492,0.9092687,0.390274,0.452506,0.9677782,0.6887016,0.3077175,YES,0,3.205093,1.239021,1.640326,-0.09917212,50.49948,70,NONE,1,POLE
8677.131,YES,16,0.4111878,0.9045042,0.3772821,0.3997291,0.9761367,0.6952897,0.3261769,NO,0.08745223,3.758621,1.239021,1.640326,-0.09917212,52.39041,70,NONE,1,POLE
8679.968,YES,17,0.4980969,0.9059886,0.4017425,0.466763,0.9806519,0.6935319,0.3028159,YES,0,3.313086,1.239021,1.640326,-0.09917212,50.6115,80,NONE,1,POLE
8682.29,YES,18,0.5353937,0.8902036,0.3715587,0.4464409,0.9714551,0.660728,0.3132623,NO,0.08103382,3.108343,1.239021,1.640326,-0.09917212,48.45671,80,NONE,1,POLE
8684.793,YES,19,0.5649813,0.8947399,0.3984447,0.4749153,0.9784597,0.6860168,0.3127597,NO,0.1432122,3.280482,1.239021,1.640326,-0.09917212,48.33395,80,NONE,1,POLE
8687.776,YES,20,0.4753557,0.9183598,0.3977213,0.4597645,0.9957179,0.6932275,0.3058616,YES,0,3.187885,1.239021,1.640326,-0.09917212,51.60605,90,NONE,1,POLE
