Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
6831.282,1,0.8831293,1.189875,0.02920437,0,0,0.9234123,1.25945,0.4024878,0,0,0
6831.294,1,0.896408,1.180953,-0.008969069,0,0,0.9199939,1.257677,0.4075558,0,0,0
6831.306,1,0.9094487,1.169166,-0.04739475,0,0,0.9121732,1.252985,0.4151835,0,0,0
6831.316,1,0.9224303,1.158066,-0.08590436,0,0,0.9046735,1.248564,0.4229772,0,0,0
6831.327,1,0.9356208,1.144123,-0.1241286,0,0,0.8965638,1.244571,0.4304931,0,0,0
6831.337,1,0.9488825,1.127573,-0.162245,0,0,0.891793,1.239031,0.4382236,0,0,0
6831.349,1,0.961854,1.112656,-0.2004919,0,0,0.8877,1.23467,0.4454782,0,0,0
6831.36,1,0.9749983,1.095077,-0.2385664,0,0,0.8853538,1.22837,0.4522386,0,0,0
6831.372,1,0.9880702,1.076134,-0.2767472,0,0,0.8832551,1.222742,0.4583073,0,0,0
6831.382,1,1.000834,1.057548,-0.3149173,0,0,0.8827792,1.215608,0.4636641,0,0,0
6831.393,1,1.01388,1.034978,-0.3529069,0,0,0.8827538,1.20781,0.4683208,0,0,0
6831.405,1,1.026655,1.013559,-0.3909414,0,0,0.8831581,1.19953,0.4731843,0,0,0
6831.416,1,1.040152,0.9882294,-0.4287326,0,0,0.8841895,1.191006,0.478029,0,0,0
6831.427,1,1.053189,0.9643115,-0.4660237,0,0,0.8851655,1.181521,0.4823983,0,0,0
6831.438,1,1.066412,0.9387643,-0.5033555,0,0,0.8864294,1.17182,0.486366,0,0,0
6831.449,1,1.077253,0.9133382,-0.5385025,0,0,0.8877069,1.162343,0.4903166,0,0,0
6831.46,1,1.086012,0.8903024,-0.5727918,0,0,0.8889297,1.153132,0.4943829,0,0,0
6831.472,1,1.093663,0.8718392,-0.6015379,0,0,0.8906924,1.143569,0.4986739,0,0,0
