Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
3282.23,NO,1,0.2514949,0.9699848,0.2819569,0.4447538,0.9959348,0.539026,0.3226561,NO,0.09666832,3.616632,0.9180427,1.682968,-0.04510021,46.16041,0,NONE,1,POLE
3284.754,NO,2,0.2697785,0.9525567,0.3153262,0.5240458,0.9822477,0.5201535,0.3278531,NO,0.1118179,5.007726,0.9180427,1.682968,-0.04510021,45.44028,0,NONE,1,POLE
3287.669,NO,3,0.357852,0.876896,0.2532699,0.5316017,0.9474101,0.5204771,0.3264365,NO,0.1206688,3.589577,0.9180427,1.682968,-0.04510021,38.21666,0,NONE,1,POLE
3290.511,NO,4,0.3394616,0.9618523,0.4435418,0.6360653,0.9120864,0.5808871,0.3306269,NO,0.2338382,6.44916,0.9180427,1.682968,-0.04510021,46.40265,0,NONE,1,POLE
3293.244,NO,5,0.395346,0.911504,0.3621302,0.6330253,0.9298871,0.5508592,0.3040527,NO,0.1215255,4.682856,0.9180427,1.682968,-0.04510021,40.65916,0,NONE,1,POLE
3296.63,NO,6,0.3884708,0.9146401,0.3761802,0.6576243,0.9315438,0.5365355,0.3137566,YES,0,3.399642,0.9180427,1.682968,-0.04510021,41.37182,10,NONE,1,POLE
3301.086,NO,7,0.4423668,0.916804,0.3727667,0.6431347,0.9612014,0.6168735,0.3191661,YES,0,3.603865,0.9180427,1.682968,-0.04510021,39.57003,20,NONE,1,POLE
3303.544,NO,8,0.3899237,0.8995908,0.2711837,0.5516772,0.9574939,0.5403175,0.319296,NO,0.2125749,2.915973,0.9180427,1.682968,-0.04510021,38.16062,20,NONE,1,POLE
3306.091,NO,9,0.4992099,0.8660877,0.2904637,0.690054,0.9563286,0.5673411,0.3481753,NO,0.207017,8.022154,0.9180427,1.682968,-0.04510021,33.30436,20,NONE,1,POLE
3308.402,NO,10,0.3389544,0.9429584,0.2856753,0.5859317,0.9654285,0.4947622,0.3243763,NO,0.2795555,3.552158,0.9180427,1.682968,-0.04510021,42.02533,20,NONE,1,POLE
3311.552,NO,11,0.3836694,0.9503931,0.4136419,0.6219108,0.9429352,0.6207042,0.3157362,NO,0.1876505,4.371194,0.9180427,1.682968,-0.04510021,43.87156,20,NONE,1,POLE
3314.178,NO,12,0.9605373,0.7717874,0.3741021,0.7498696,0.9385073,0.5080941,0.300217,NO,0.1977505,2.60448,0.9180427,1.682968,-0.04510021,24.8169,20,NONE,1,POLE
3318.659,NO,13,0.4417188,0.8235941,0.2564211,0.5023172,0.9453022,0.5487094,0.3223624,NO,0.1400909,3.895347,0.9180427,1.682968,-0.04510021,33.26432,20,NONE,1,POLE
3321.417,NO,14,0.440316,0.8303398,0.2004495,0.5557784,0.9311885,0.4584901,0.300145,NO,0.2112469,3.549743,0.9180427,1.682968,-0.04510021,32.21009,20,NONE,1,POLE
3324.7,NO,15,0.2741482,1.089235,0.4540458,0.5386252,1.048798,0.6186073,0.3141077,NO,0.3033747,4.228613,0.9180427,1.682968,-0.04510021,53.9166,20,NONE,1,POLE
3329.503,NO,16,0.521244,0.8710595,0.3518271,0.7058689,0.930829,0.5905843,0.3076747,NO,0.1422981,3.917251,0.9180427,1.682968,-0.04510021,34.65501,20,NONE,1,POLE
3332.396,NO,17,0.386739,0.8521783,0.2855461,0.525098,0.9414051,0.5624402,0.3221412,NO,0.254505,4.799072,0.9180427,1.682968,-0.04510021,36.98872,20,NONE,1,POLE
3335.803,NO,18,1.162358,0.7464789,0.4797592,0.9073262,0.9697744,0.51507,0.3408062,NO,0.3517292,1.074177,0.9180427,1.682968,-0.04510021,31.72432,20,NONE,1,POLE
3350.706,NO,19,0.2223973,1.17734,0.4929233,0.4846005,1.0601,0.6674836,0.3361057,NO,0.1350974,2.921119,0.9180427,1.682968,-0.04510021,60.10319,20,NONE,1,POLE
3353.911,NO,20,0.3719774,0.926475,0.3872097,0.643127,0.9253201,0.543072,0.3127562,NO,0.1848776,6.091258,0.9180427,1.682968,-0.04510021,42.63469,20,NONE,1,POLE
3358.546,NO,21,0.3418556,0.8812025,0.238101,0.5230929,0.914636,0.4852245,0.3082771,YES,0,3.401566,0.9180427,1.682968,-0.04510021,38.68645,30,NONE,1,POLE
3364.757,NO,22,0.2873245,0.8759595,0.07966638,0.5338583,1.011677,0.2061884,0.3085548,NO,0.1316417,3.598104,0.9180427,1.682968,-0.04510021,38.5442,30,NONE,1,POLE
3371.169,NO,23,0.3795256,0.8203384,-0.3928564,0.6252573,0.9547377,0.3252647,0.7708081,YES,0,4.201091,0.9180427,1.682968,-0.04510021,36.617,40,NONE,1,POLE
3374.006,NO,24,0.3430206,0.8320976,0.06928539,0.542291,0.9498364,0.2762089,0.3104649,YES,0,5.035087,0.9180427,1.682968,-0.04510021,34.56865,50,NONE,1,POLE
3376.778,NO,25,0.3494423,0.829638,0.06201339,0.5809091,0.9120696,0.2918742,0.3364637,YES,0,4.589945,0.9180427,1.682968,-0.04510021,34.13929,60,NONE,1,POLE
