Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
2339.007,1,-1.111,0,0,0,0,0.7936007,0.957999,0.5968227,0,0,0
2339.018,1,-1.111,0,0,0,0,0.7935284,0.9580096,0.5967529,0,0,0
2339.03,1,-1.111,0,0,0,0,0.7934493,0.958047,0.5966709,0,0,0
2339.041,1,-1.111,0,0,0,0,0.7933927,0.9580497,0.5966749,0,0,0
2339.052,1,-1.111,0,0,0,0,0.7932822,0.9580644,0.5965753,0,0,0
2339.063,1,-1.111,0,0,0,0,0.7932322,0.958158,0.5964887,0,0,0
2339.074,1,-1.111,0,0,0,0,0.7931753,0.9582287,0.5965505,0,0,0
2339.086,1,-1.111,0,0,0,0,0.7931085,0.9582844,0.5964916,0,0,0
2339.097,1,-1.111,0,0,0,0,0.7930822,0.9583362,0.5964546,0,0,0
2339.108,1,-1.111,0,0,0,0,0.7930659,0.9583647,0.5964057,0,0,0
2339.12,1,-1.111,0,0,0,0,0.7930751,0.9582895,0.5963898,0,0,0
2339.131,1,-1.111,0,0,0,0,0.7930249,0.9582062,0.5963769,0,0,0
2339.142,1,-1.111,0,0,0,0,0.7929983,0.9580976,0.5962386,0,0,0
2339.153,1,-1.111,0,0,0,0,0.7928785,0.9578676,0.5962059,0,0,0
2339.164,1,-1.111,0,0,0,0,0.7927904,0.957817,0.5962169,0,0,0
2339.175,1,-1.111,0,0,0,0,0.7927412,0.9578084,0.5964289,0,0,0
2339.186,1,-1.111,0,0,0,0,0.792697,0.9577521,0.5964386,0,0,0
2339.197,1,-1.111,0,0,0,0,0.7926528,0.9577825,0.5964298,0,0,0
2339.208,1,-1.111,0,0,0,0,0.7926511,0.9577497,0.5965295,0,0,0
2339.22,1,-1.111,0,0,0,0,0.792742,0.9577205,0.59656,0,0,0
2339.231,1,-1.111,0,0,0,0,0.792841,0.9575244,0.5966649,0,0,0
2339.242,1,-1.111,0,0,0,0,0.7929323,0.9574463,0.596772,0,0,0
2339.254,1,-1.111,0,0,0,0,0.7930568,0.9574934,0.5968351,0,0,0
2339.265,1,-1.111,0,0,0,0,0.7930729,0.9575927,0.5967839,0,0,0
2339.276,1,-1.111,0,0,0,0,0.7931478,0.9575291,0.5965974,0,0,0
2339.287,1,-1.111,0,0,0,0,0.7932002,0.9576247,0.5966492,0,0,0
2339.298,1,-1.111,0,0,0,0,0.7931165,0.9576465,0.596694,0,0,0
2339.31,1,-1.111,0,0,0,0,0.7930852,0.9577574,0.5969205,0,0,0
2339.321,1,-1.111,0,0,0,0,0.793125,0.9577389,0.5969894,0,0,0
2339.332,1,-1.111,0,0,0,0,0.7931257,0.9577338,0.5970628,0,0,0
