Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
2371.491,NO,1,-1.111,0,0,0.7936561,0.9579577,0.5968571,2.213964,NO,2.283452,0,1.088884,1.657235,-0.08491349,53.02876,0,NONE,1,POLE
2380.227,NO,2,-1.111,0,0,0.7791759,0.9311627,0.6187706,2.196066,NO,0.08484291,0,1.088884,1.657235,-0.08491349,53.02876,0,NONE,1,POLE
2386.058,NO,3,0.8355608,0.8565469,0.3149107,0.9531698,1.001443,0.5727255,0.3182693,NO,0.1250447,3.589947,1.088884,1.657235,-0.08491349,30.58914,0,NONE,1,POLE
2387.867,NO,4,0.577723,1.061261,0.4291427,0.8143359,1.01855,0.6129484,0.3026457,NO,1.23477,0.09347557,1.088884,1.657235,-0.08491349,50.57642,0,NONE,1,POLE
2393.855,NO,5,0.5493858,1.124879,0.5531673,0.8013527,0.9607804,0.5732455,0.3013617,YES,0,0.284537,1.088884,1.657235,-0.08491349,57.49865,10,NONE,1,POLE
2397.396,NO,6,0.9226723,2.085785,1.715932,0.8712451,1.108997,0.7198135,1.39607,NO,1.38579,0.944743,1.088884,1.657235,-0.08491349,103.3312,10,NONE,1,POLE
2403.518,NO,7,1.04827,0.9245265,0.2816169,1.026251,0.9544311,0.594981,0.3155568,NO,0.1449783,4.16479,1.088884,1.657235,-0.08491349,26.71623,10,NONE,1,POLE
2404.59,NO,8,0.6879982,0.7574197,0.226162,0.7957755,0.9413867,0.5965621,0.4273829,NO,1.081665,0.3296181,1.088884,1.657235,-0.08491349,29.41947,10,NONE,1,POLE
2409.639,NO,9,0.7336979,0.6000645,0.02612662,0.7656091,0.9420726,0.6025472,0.6710056,YES,0,0,1.088884,1.657235,-0.08491349,19.39278,20,NONE,1,POLE
2410.823,NO,10,0.4200122,1.210996,0.4563193,0.7578385,0.9351246,0.5552077,0.4472251,NO,1.312862,0.7391576,1.088884,1.657235,-0.08491349,62.58744,20,NONE,1,POLE
2414.521,NO,11,-0.04161477,1.340657,0.3933797,0.78446,0.9506403,0.5939107,0.9352675,NO,0.2018542,0.5737655,1.088884,1.657235,-0.08491349,75.53848,20,NONE,1,POLE
2422.933,NO,12,1.096182,0.9504099,0.5208342,0.8109236,0.9934554,0.6307511,0.3087182,YES,0,0.8833023,1.088884,1.657235,-0.08491349,40.59858,30,NONE,1,POLE
2427.401,NO,13,0.5567759,1.103003,0.5344903,0.816779,0.983464,0.6307013,0.3019068,NO,0.1024983,0.2878719,1.088884,1.657235,-0.08491349,55.83431,30,NONE,1,POLE
2431.634,NO,14,0.707711,0.8825992,0.3882265,0.8419902,0.9950824,0.6345112,0.3022243,NO,0.09483077,0.6504967,1.088884,1.657235,-0.08491349,38.10867,30,NONE,1,POLE
2436.505,NO,15,0.528768,1.085955,0.5065329,0.7886215,0.9750986,0.618124,0.3037526,NO,0.1077162,0.4278325,1.088884,1.657235,-0.08491349,54.95732,30,NONE,1,POLE
2441.251,NO,16,1.498915,1.396465,1.201841,0.8503954,0.9930228,0.6259539,0.9565508,YES,0,1.705159,1.088884,1.657235,-0.08491349,79.07124,40,NONE,1,POLE
2445.005,NO,17,1.044998,1.906135,0.7709928,0.7868048,0.9923251,0.6178095,0.9618613,YES,0,0.7125817,1.088884,1.657235,-0.08491349,106.1944,50,NONE,1,POLE
2449.127,NO,18,0.9510048,0.906231,0.279743,1.051282,0.9378186,0.5900238,0.3276088,YES,0,3.306756,1.088884,1.657235,-0.08491349,27.43423,60,NONE,1,POLE
2451.953,NO,19,0.8978378,0.858254,0.2945738,0.9989262,0.9303542,0.5764465,0.3080091,NO,0.09415452,3.827383,1.088884,1.657235,-0.08491349,28.00215,60,NONE,1,POLE
2454.566,NO,20,0.923972,0.8526459,0.3198521,0.9489832,0.9183364,0.6132603,0.3017104,NO,0.124425,3.771817,1.088884,1.657235,-0.08491349,28.51183,60,NONE,1,POLE
2457.773,NO,21,0.9414798,0.9039599,0.2953112,1.002272,0.9410284,0.593359,0.3064347,YES,0,3.537017,1.088884,1.657235,-0.08491349,28.42963,70,NONE,1,POLE
2463.813,NO,22,0.9062459,0.8409976,0.3056927,0.9693706,0.9134951,0.592633,0.3026142,YES,0,2.793062,1.088884,1.657235,-0.08491349,27.84628,80,NONE,1,POLE
2466.685,NO,23,1.02,0.8274057,0.2651434,0.9539401,0.9614912,0.569957,0.3394911,YES,0,4.285586,1.088884,1.657235,-0.08491349,23.26442,90,NONE,1,POLE
2469.356,NO,24,0.8845778,0.8730475,0.2541008,0.9595177,0.9067461,0.5681589,0.3246291,YES,0,2.900762,1.088884,1.657235,-0.08491349,26.78234,100,NONE,1,POLE
2471.457,NO,25,0.8904983,0.8675158,0.3065808,1.005045,0.8952656,0.6000879,0.3162868,YES,0,3.191823,1.088884,1.657235,-0.08491349,29.06335,110,NONE,1,POLE
