Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
8220.49,1,0.3478126,0.9119679,0.2726064,0,0,0.510215,0.9201696,0.564657,0,0,0
8220.503,1,0.3248311,0.9120486,0.2530427,0,0,0.5020252,0.9225153,0.5674417,0,0,0
8220.514,1,0.3026052,0.9130734,0.2343495,0,0,0.4962639,0.9246755,0.5702937,0,0,0
8220.525,1,0.2819026,0.9122341,0.213064,0,0,0.4914347,0.9265547,0.5725772,0,0,0
8220.534,1,0.2600257,0.9124826,0.1937046,0,0,0.4875912,0.9286894,0.5751934,0,0,0
8220.547,1,0.2407897,0.9126645,0.172816,0,0,0.4839657,0.9299294,0.5777802,0,0,0
8220.559,1,0.2207962,0.9139686,0.1519208,0,0,0.4809975,0.9307585,0.5801723,0,0,0
8220.57,1,0.2075555,0.9191675,0.1263485,0,0,0.4785857,0.9313278,0.5822389,0,0,0
8220.58,1,0.1967983,0.9221516,0.1014614,0,0,0.4760756,0.9320728,0.5841794,0,0,0
8220.592,1,0.1814499,0.9269627,0.07797885,0,0,0.4747374,0.9319957,0.5862393,0,0,0
8220.603,1,0.1684241,0.9310375,0.05396056,0,0,0.4739699,0.9317595,0.587599,0,0,0
8220.613,1,0.1573131,0.9339298,0.02999854,0,0,0.4736701,0.9313771,0.5887487,0,0,0
8220.625,1,0.1469674,0.9387478,0.005797863,0,0,0.4731044,0.9310435,0.5905693,0,0,0
8220.636,1,0.1373,0.9426204,-0.01872516,0,0,0.4736673,0.9300539,0.5914743,0,0,0
8220.646,1,0.1271785,0.9469911,-0.04240751,0,0,0.4745676,0.9290661,0.5924518,0,0,0
8220.658,1,0.1206195,0.9523376,-0.06666732,0,0,0.4756473,0.927887,0.5940967,0,0,0
8220.669,1,0.1157309,0.9592617,-0.09090543,0,0,0.4770817,0.9262235,0.5950217,0,0,0
8220.681,1,0.1115756,0.9658056,-0.1147766,0,0,0.4784261,0.9247725,0.5959964,0,0,0
8220.691,1,0.1072212,0.9718167,-0.1386864,0,0,0.4806861,0.9226358,0.5970805,0,0,0
8220.703,1,0.1025728,0.9775531,-0.1626952,0,0,0.4824939,0.9207371,0.5979903,0,0,0
8220.714,1,0.09995294,0.9824785,-0.1859734,0,0,0.484832,0.918542,0.5988693,0,0,0
8220.726,1,0.09661031,0.9880674,-0.2103541,0,0,0.4870206,0.916446,0.5997298,0,0,0
8220.736,1,0.09512293,0.9927083,-0.233005,0,0,0.4896689,0.9143912,0.6008115,0,0,0
8220.748,1,0.09395599,0.9970056,-0.2566826,0,0,0.49218,0.9127109,0.6019714,0,0,0
8220.759,1,0.09392166,1.001989,-0.2790861,0,0,0.494655,0.9114503,0.6034448,0,0,0
8220.77,1,0.09577596,1.006175,-0.3018336,0,0,0.4972422,0.9106051,0.6043608,0,0,0
8220.78,1,0.09885049,1.01199,-0.3233345,0,0,0.4997435,0.9100667,0.6051941,0,0,0
8220.792,1,0.1017569,1.017428,-0.3456495,0,0,0.5021095,0.9096608,0.6062462,0,0,0
8220.803,1,0.1070379,1.02283,-0.3665087,0,0,0.5043644,0.9093298,0.6072447,0,0,0
8220.814,1,0.1145942,1.029281,-0.3855872,0,0,0.5065502,0.9089041,0.6083255,0,0,0
8220.826,1,0.1212255,1.035077,-0.4058306,0,0,0.5084967,0.90869,0.6096551,0,0,0
8220.837,1,0.1305543,1.040831,-0.424684,0,0,0.5103872,0.9084173,0.6108544,0,0,0
8220.848,1,0.1397654,1.045928,-0.4429848,0,0,0.5122738,0.908125,0.6119847,0,0,0
8220.859,1,0.1496568,1.051705,-0.4610791,0,0,0.5137895,0.908035,0.6132813,0,0,0
8220.87,1,0.1606616,1.056299,-0.4781725,0,0,0.5154067,0.9078366,0.6142464,0,0,0
8220.882,1,0.1720936,1.060444,-0.4949336,0,0,0.5170836,0.9076624,0.615164,0,0,0
8220.893,1,0.1841636,1.064021,-0.5112026,0,0,0.5185168,0.9075695,0.6160798,0,0,0
8220.904,1,0.1965961,1.067124,-0.5270004,0,0,0.5200309,0.9072118,0.616879,0,0,0
8220.914,1,0.2095447,1.069763,-0.5424547,0,0,0.5214738,0.9069617,0.6175845,0,0,0
8220.926,1,0.2225105,1.072162,-0.5575378,0,0,0.5227358,0.9067161,0.6183805,0,0,0
8220.938,1,0.2361945,1.073404,-0.5718381,0,0,0.5230706,0.9069533,0.6190281,0,0,0
8220.948,1,0.2506498,1.074427,-0.5856719,0,0,0.5244245,0.9064667,0.6198261,0,0,0
8220.963,1,0.2649626,1.075165,-0.5995276,0,0,0.5256207,0.9059631,0.6206572,0,0,0
8220.971,1,0.2799523,1.073745,-0.6126337,0,0,0.526269,0.9054254,0.62148,0,0,0
8220.981,1,0.2957948,1.073161,-0.624598,0,0,0.5275275,0.9047862,0.6224055,0,0,0
8220.993,1,0.3120531,1.072026,-0.6358168,0,0,0.5286656,0.9039066,0.6236429,0,0,0
8221.004,1,0.32819,1.06962,-0.6473627,0,0,0.5293947,0.9032803,0.6245921,0,0,0
8221.016,1,0.3445471,1.066254,-0.6585143,0,0,0.530617,0.9024274,0.6255901,0,0,0
8221.026,1,0.3615593,1.063108,-0.6681771,0,0,0.5317168,0.9013969,0.6267719,0,0,0
8221.037,1,0.378529,1.059751,-0.6778095,0,0,0.5329883,0.9003816,0.6277914,0,0,0
8221.049,1,0.3970828,1.055252,-0.6857154,0,0,0.5342277,0.8994521,0.6287863,0,0,0
8221.06,1,0.4158455,1.051965,-0.6918106,0,0,0.5354265,0.8982996,0.6299496,0,0,0
8221.071,1,0.435109,1.048187,-0.6969459,0,0,0.5363954,0.8972993,0.6309664,0,0,0
8221.082,1,0.4554905,1.044039,-0.7012057,0,0,0.5376966,0.8960893,0.6320558,0,0,0
8221.094,1,0.4757,1.040404,-0.7035496,0,0,0.539032,0.8947839,0.6332598,0,0,0
8221.105,1,0.4965786,1.037604,-0.7043169,0,0,0.5405684,0.893329,0.6344998,0,0,0
8221.116,1,0.5177709,1.034218,-0.7053843,0,0,0.5418539,0.8919884,0.6357381,0,0,0
