Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
68.2922,1,0.3616594,1.050502,-0.3745395,0,0,0.4329776,1.066063,-0.4996804,0.194706,1.195092,-1.016522
68.30342,1,0.3734919,1.035298,-0.3441527,0,0,0.4375352,1.06777,-0.5022322,0.1945601,1.194869,-1.016972
68.31457,1,0.3823316,1.015465,-0.3220146,0,0,0.4410387,1.068529,-0.5031822,0.1950083,1.194713,-1.016612
68.32559,1,0.375895,0.993033,-0.2949795,0,0,0.4443458,1.068692,-0.504907,0.1957349,1.194375,-1.016248
68.33691,1,0.3703626,0.9725486,-0.2643389,0,0,0.4481848,1.068709,-0.5069262,0.1962084,1.194054,-1.016187
68.34805,1,0.365135,0.9520585,-0.2325509,0,0,0.4526135,1.068547,-0.5091019,0.1964026,1.193756,-1.016434
68.3592,1,0.3601632,0.931491,-0.19969,0,0,0.4547616,1.067446,-0.5118772,0.1963757,1.193598,-1.016705
68.37029,1,0.3554705,0.9111022,-0.1657196,0,0,0.4585961,1.065898,-0.5145725,0.1961756,1.193437,-1.017198
68.38148,1,0.3510799,0.8909538,-0.1307354,0,0,0.4604713,1.065371,-0.5174195,0.1961216,1.193159,-1.017709
68.39272,1,0.3469916,0.8707346,-0.09504176,0,0,0.4623648,1.064871,-0.5201753,0.1961511,1.192848,-1.018196
68.40398,1,0.3431871,0.8499929,-0.05896446,0,0,0.4628173,1.0643,-0.5225108,0.1962772,1.192475,-1.018651
68.41505,1,0.3396581,0.8285149,-0.02262862,0,0,0.4633416,1.063507,-0.5250307,0.1963653,1.192115,-1.019121
68.42623,1,0.3364017,0.8063912,0.01401494,0,0,0.4633058,1.06196,-0.527226,0.1963496,1.191846,-1.019571
68.43759,1,0.3333944,0.7838609,0.05105153,0,0,0.4635109,1.060183,-0.5293382,0.1962296,1.191563,-1.020197
68.44861,1,0.3305811,0.7611956,0.08852126,0,0,0.4630638,1.057663,-0.5312165,0.1960909,1.191272,-1.020868
68.46104,1,0.3278711,0.7386723,0.126384,0,0,0.4631864,1.05559,-0.5332886,0.19578,1.190993,-1.021745
68.47089,1,0.3251579,0.7165489,0.1645421,0,0,0.4628147,1.052959,-0.5346917,0.1955468,1.190733,-1.022475
68.48205,1,0.3223233,0.6950613,0.2028557,0,0,0.4629682,1.051054,-0.5364419,0.195235,1.190587,-1.023096
68.49336,1,0.3192349,0.6744233,0.2411407,0,0,0.4627777,1.049045,-0.5380021,0.1950182,1.190395,-1.023673
