Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees)
69.44666,YES,1,0.3314796,1.061945,-0.3903967,0.4235779,1.066805,-0.4948815,0.1393656,NO,0.4518413,2.185598,0,1.5,0.5,65.24731
79.30222,YES,2,0.465206,1.263728,-0.4680941,0.5450772,1.196756,-0.6452849,0.2055752,NO,0.1855831,2.285192,0,1.5,0.5,77.59375
84.59111,YES,3,0.5690001,1.30904,-0.4725502,0.6237742,1.224607,-0.6289641,0.1859958,NO,0.1833845,4.140042,0,1.5,0.5,80.38116
96.00222,YES,4,0.5075141,1.312158,-0.4546678,0.5898527,1.229825,-0.6420134,0.2205829,NO,0.2892403,2.111292,0,1.5,0.5,80.14399
101.1244,YES,5,0.6157954,1.226203,-0.6781741,0.6154352,1.162778,-0.8419186,0.1755992,NO,0.4526718,0.4809313,0,1.5,0.5,78.36233
107.18,YES,6,0.4829022,1.409657,-0.3417663,0.5482894,1.38133,-0.5024015,0.1757315,NO,0.4199202,2.989238,0,1.5,0.5,84.68139
112.5689,YES,7,0.5113346,1.428267,-0.4678132,0.6399242,1.382512,-0.6782715,0.2508416,NO,0.3304533,2.367796,0,1.5,0.5,86.25053
118.9244,YES,8,0.5260778,1.362051,-0.39647,0.6343786,1.329805,-0.5919148,0.22576,NO,0.1510721,4.357779,0,1.5,0.5,82.44014
124.7133,YES,9,0.5300314,1.176887,-0.5391304,0.6215249,1.11036,-0.9349045,0.4116236,NO,0.5041945,3.821383,0,1.5,0.5,74.51763
130.4244,YES,10,0.5569019,1.181806,-0.3952933,0.68477,1.17632,-0.695573,0.3264172,YES,0,2.384659,0,1.5,0.5,73.20689
137.8467,YES,11,0.4943051,1.184139,-0.4345256,0.6245228,1.128971,-0.7725195,0.3663878,YES,0,2.208198,0,1.5,0.5,73.36541
143.8133,YES,12,0.5670283,1.185658,-0.502114,0.6307751,1.155271,-0.7512606,0.2589616,NO,0.4702237,3.776375,0,1.5,0.5,74.73008
154.8911,YES,13,0.5401979,1.194539,-0.4052213,0.6248347,1.133337,-0.7410432,0.3516895,NO,0.6023204,1.842741,0,1.5,0.5,73.84006
160.9133,YES,14,0.51021,1.199259,-0.4303666,0.6120483,1.185735,-0.6640366,0.255256,YES,0,1.53482,0,1.5,0.5,74.17576
165.2911,YES,15,0.5066483,1.171125,-0.423878,0.5797814,1.100615,-0.7158471,0.3091376,NO,0.7230322,1.525222,0,1.5,0.5,72.6658
169.7467,YES,16,0.4360267,1.127379,-0.4732051,0.5770618,1.137642,-0.6181792,0.2025184,YES,0,3.950685,0,1.5,0.5,70.73988
176.7244,YES,17,0.4504649,1.178566,-0.4326033,0.5779666,1.19377,-0.5513576,0.1749013,YES,0,3.388862,0,1.5,0.5,72.75797
180.8244,YES,18,0.3682809,1.202511,-0.3789796,0.4816953,1.232092,-0.4924482,0.1631348,NO,0.1779791,4.93137,0,1.5,0.5,72.66396
185.0467,YES,19,0.4366814,1.102459,-0.4264207,0.5949541,1.11505,-0.6252275,0.2544266,YES,0,3.047669,0,1.5,0.5,68.78602
190.1245,YES,20,0.4690277,1.112195,-0.4176924,0.5961801,1.129324,-0.6541334,0.2690083,YES,0,2.591793,0,1.5,0.5,69.37926
195.1133,YES,21,0.4445526,1.122547,-0.4303523,0.5641974,1.137604,-0.6245232,0.2285693,NO,0.1486587,3.021886,0,1.5,0.5,69.89404
199.8467,YES,22,0.4701613,1.093922,-0.466397,0.6235796,1.117335,-0.651981,0.241923,YES,0,3.977285,0,1.5,0.5,69.30077
204.28,YES,23,0.5955912,1.085333,-0.5742061,0.6993402,1.132998,-0.9088072,0.3535446,NO,0.2767355,4.184321,0,1.5,0.5,71.34518
208.4467,YES,24,0.5380924,1.201226,-0.4199887,0.6384777,1.228557,-0.6100384,0.2166635,NO,0.4212202,1.75542,0,1.5,0.5,74.34024
211.7578,YES,25,0.6796027,1.112956,-0.5790471,0.5922204,1.179915,-0.6604139,0.1368935,NO,1.006521,1.645907,0,1.5,0.5,73.11641
216.4133,YES,26,0.4844032,1.235559,-0.4014391,0.5973312,1.265739,-0.4844884,0.1433901,NO,0.2092278,4.105902,0,1.5,0.5,75.51127
223.38,YES,27,0.5541499,1.192449,-0.4005201,0.6630217,1.19995,-0.5778584,0.2082264,NO,0.2657211,2.089565,0,1.5,0.5,73.78209
228.7133,YES,28,0.5194991,1.242492,-0.4364998,0.5927943,1.268637,-0.5655247,0.1506757,NO,0.2347519,2.494562,0,1.5,0.5,76.47986
233.9245,YES,29,0.3612659,1.167575,-0.3874347,0.4579712,1.200561,-0.4558276,0.1229534,NO,0.1507963,4.891646,0,1.5,0.5,70.8661
238.9911,YES,30,0.2820326,1.194165,-0.4540069,0.3435463,1.205874,-0.534371,0.1018795,NO,0.2507685,4.000218,0,1.5,0.5,72.91119
242.98,YES,31,0.3073204,1.113903,-0.3951338,0.3399302,1.125565,-0.5810317,0.1890963,NO,0.3205732,3.883119,0,1.5,0.5,67.80675
248.8133,YES,32,0.2799461,1.049972,-0.4379399,0.3849391,1.123069,-0.6850851,0.2782939,NO,0.1308728,3.779446,0,1.5,0.5,65.30877
254.6578,YES,33,0.4078549,0.8708571,-0.9715024,0.285193,0.9141359,-0.9869491,0.130987,NO,0.3960563,1.602379,0,1.5,0.5,67.60746
