Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
7789.571,1,1.036734,0.8243246,0.6840706,0,0,0.8091403,1.020615,0.7133335,0,0,0
7789.583,1,1.038334,0.8233063,0.6840546,0,0,0.8091725,1.020505,0.7137529,0,0,0
7789.594,1,1.039987,0.8223011,0.6840632,0,0,0.8092487,1.020426,0.7140131,0,0,0
7789.605,1,1.041682,0.8213003,0.683949,0,0,0.8091369,1.020485,0.7142545,0,0,0
7789.616,1,1.043314,0.8202988,0.6838923,0,0,0.8091497,1.020594,0.7144232,0,0,0
7789.627,1,1.044858,0.8193071,0.6839275,0,0,0.8093154,1.020608,0.7145324,0,0,0
7789.638,1,1.046285,0.8184564,0.6838198,0,0,0.8095143,1.020647,0.7145145,0,0,0
7789.649,1,1.046285,0.8184564,0.6838198,0,0,0.8097626,1.020691,0.714512,0,0,0
7789.66,1,1.046285,0.8184564,0.6838198,0,0,0.8101932,1.020591,0.7144488,0,0,0
7789.671,1,1.046285,0.8184564,0.6838198,0,0,0.8103924,1.020519,0.7143891,0,0,0
7789.683,1,1.046285,0.8184564,0.6838198,0,0,0.8106204,1.020409,0.7143466,0,0,0
7789.695,1,1.046285,0.8184564,0.6838198,0,0,0.8109098,1.020264,0.7143344,0,0,0
7789.706,1,1.046285,0.8184564,0.6838198,0,0,0.8110805,1.020172,0.7143985,0,0,0
7789.717,1,1.046285,0.8184564,0.6838198,0,0,0.8112205,1.02006,0.714169,0,0,0
7789.728,1,1.046285,0.8184564,0.6838198,0,0,0.8109751,1.019711,0.7141622,0,0,0
7789.739,1,1.046285,0.8184564,0.6838198,0,0,0.8110342,1.01957,0.7141864,0,0,0
7789.75,1,1.046285,0.8184564,0.6838198,0,0,0.8110121,1.019421,0.7143307,0,0,0
7789.761,1,1.046285,0.8184564,0.6838198,0,0,0.8111755,1.019289,0.7144564,0,0,0
7789.772,1,1.046285,0.8184564,0.6838198,0,0,0.8111328,1.019138,0.7146693,0,0,0
7789.784,1,1.046285,0.8184564,0.6838198,0,0,0.8111451,1.018922,0.7149816,0,0,0
7789.794,1,1.046285,0.8184564,0.6838198,0,0,0.8114071,1.018742,0.715199,0,0,0
7789.806,1,1.046285,0.8184564,0.6838198,0,0,0.811504,1.018626,0.7153913,0,0,0
7789.817,1,1.046285,0.8184564,0.6838198,0,0,0.811655,1.018529,0.7156528,0,0,0
7789.829,1,1.046285,0.8184564,0.6838198,0,0,0.8119779,1.018456,0.7158558,0,0,0
7789.839,1,1.046285,0.8184564,0.6838198,0,0,0.8120741,1.01842,0.7160575,0,0,0
7789.851,1,1.046285,0.8184564,0.6838198,0,0,0.8122014,1.018368,0.7162937,0,0,0
7789.861,1,1.046285,0.8184564,0.6838198,0,0,0.8124847,1.018337,0.71656,0,0,0
7789.873,1,1.046285,0.8184564,0.6838198,0,0,0.8125491,1.018395,0.716807,0,0,0
7789.884,1,1.046285,0.8184564,0.6838198,0,0,0.8126674,1.018437,0.7170364,0,0,0
7789.896,1,1.046285,0.8184564,0.6838198,0,0,0.8129418,1.018405,0.7172745,0,0,0
7789.907,1,1.046285,0.8184564,0.6838198,0,0,0.8130924,1.018466,0.7175057,0,0,0
7789.918,1,1.046285,0.8184564,0.6838198,0,0,0.8133703,1.018487,0.7175771,0,0,0
7789.929,1,1.046285,0.8184564,0.6838198,0,0,0.8140846,1.018394,0.7178154,0,0,0
7789.94,1,1.046285,0.8184564,0.6838198,0,0,0.8143325,1.018404,0.7179931,0,0,0
7789.951,1,1.046285,0.8184564,0.6838198,0,0,0.8139524,1.018782,0.7179152,0,0,0
7789.962,1,1.046285,0.8184564,0.6838198,0,0,0.8140588,1.018694,0.718021,0,0,0
7789.974,1,1.046285,0.8184564,0.6838198,0,0,0.8143741,1.018677,0.7181214,0,0,0
7789.984,1,1.046285,0.8184564,0.6838198,0,0,0.8143141,1.01885,0.7181079,0,0,0
7789.996,1,1.046285,0.8184564,0.6838198,0,0,0.8148354,1.018726,0.7182307,0,0,0
7790.008,1,1.046285,0.8184564,0.6838198,0,0,0.8151461,1.018715,0.7183247,0,0,0
7790.018,1,1.046285,0.8184564,0.6838198,0,0,0.8150882,1.018862,0.7185434,0,0,0
7790.029,1,1.046285,0.8184564,0.6838198,0,0,0.8154078,1.018716,0.7186625,0,0,0
7790.041,1,1.046285,0.8184564,0.6838198,0,0,0.8156878,1.018682,0.7188157,0,0,0
7790.051,1,1.046285,0.8184564,0.6838198,0,0,0.8157732,1.018739,0.7191344,0,0,0
7790.063,1,1.046285,0.8184564,0.6838198,0,0,0.8159115,1.018806,0.7193155,0,0,0
7790.074,1,1.046285,0.8184564,0.6838198,0,0,0.8161339,1.018867,0.7194843,0,0,0
7790.085,1,1.046285,0.8184564,0.6838198,0,0,0.8161328,1.019041,0.719727,0,0,0
7790.096,1,1.046285,0.8184564,0.6838198,0,0,0.8161522,1.019236,0.7198982,0,0,0
7790.108,1,1.046285,0.8184564,0.6838198,0,0,0.8163759,1.01928,0.7200942,0,0,0
7790.119,1,1.046285,0.8184564,0.6838198,0,0,0.8159839,1.019564,0.7201984,0,0,0
7790.131,1,1.046285,0.8184564,0.6838198,0,0,0.8163767,1.019479,0.7203722,0,0,0
7790.142,1,1.046285,0.8184564,0.6838198,0,0,0.816228,1.019581,0.7204431,0,0,0
7790.153,1,1.046285,0.8184564,0.6838198,0,0,0.8163973,1.01952,0.7206116,0,0,0
7790.164,1,1.046285,0.8184564,0.6838198,0,0,0.8167257,1.019399,0.7208266,0,0,0
7790.174,1,1.046285,0.8184564,0.6838198,0,0,0.816923,1.019328,0.7210231,0,0,0
7790.186,1,1.046285,0.8184564,0.6838198,0,0,0.8168799,1.019334,0.7212052,0,0,0
7790.197,1,1.046285,0.8184564,0.6838198,0,0,0.817189,1.019264,0.7212631,0,0,0
7790.208,1,1.046285,0.8184564,0.6838198,0,0,0.8173879,1.019189,0.7214036,0,0,0
7790.219,1,1.046285,0.8184564,0.6838198,0,0,0.8173769,1.019167,0.721523,0,0,0
7790.23,1,1.046285,0.8184564,0.6838198,0,0,0.8175087,1.019081,0.7215697,0,0,0
7790.242,1,1.046285,0.8184564,0.6838198,0,0,0.8176686,1.018823,0.7215806,0,0,0
7790.252,1,1.046285,0.8184564,0.6838198,0,0,0.8176561,1.018468,0.721472,0,0,0
7790.264,1,1.046285,0.8184564,0.6838198,0,0,0.8175052,1.018253,0.7214168,0,0,0
7790.275,1,1.046285,0.8184564,0.6838198,0,0,0.8176053,1.018054,0.7214053,0,0,0
7790.286,1,1.046285,0.8184564,0.6838198,0,0,0.8176183,1.018044,0.7211936,0,0,0
7790.298,1,1.046285,0.8184564,0.6838198,0,0,0.817413,1.018057,0.7210999,0,0,0
7790.309,1,1.046285,0.8184564,0.6838198,0,0,0.8175392,1.017973,0.7210317,0,0,0
7790.32,1,1.046285,0.8184564,0.6838198,0,0,0.8170514,1.018157,0.7208127,0,0,0
7790.332,1,1.046285,0.8184564,0.6838198,0,0,0.816928,1.01833,0.720673,0,0,0
7790.342,1,1.046285,0.8184564,0.6838198,0,0,0.8170516,1.01836,0.7205545,0,0,0
7790.353,1,1.046285,0.8184564,0.6838198,0,0,0.8166622,1.018692,0.7203279,0,0,0
7790.364,1,1.046285,0.8184564,0.6838198,0,0,0.8166583,1.01887,0.7201921,0,0,0
7790.375,1,1.046285,0.8184564,0.6838198,0,0,0.8167576,1.019023,0.7200915,0,0,0
7790.387,1,1.046285,0.8184564,0.6838198,0,0,0.8163793,1.019405,0.7199965,0,0,0
7790.398,1,1.046285,0.8184564,0.6838198,0,0,0.8163387,1.019531,0.7198749,0,0,0
7790.409,1,1.046285,0.8184564,0.6838198,0,0,0.8164195,1.019572,0.7197603,0,0,0
7790.42,1,1.046285,0.8184564,0.6838198,0,0,0.8161057,1.019756,0.7197801,0,0,0
7790.432,1,1.046285,0.8184564,0.6838198,0,0,0.8161663,1.019642,0.7197721,0,0,0
7790.443,1,1.046285,0.8184564,0.6838198,0,0,0.8160167,1.01975,0.7197183,0,0,0
7790.454,1,1.046285,0.8184564,0.6838198,0,0,0.8160372,1.019732,0.7197751,0,0,0
7790.466,1,1.046285,0.8184564,0.6838198,0,0,0.816415,1.019588,0.7198091,0,0,0
7790.476,1,1.046285,0.8184564,0.6838198,0,0,0.8162978,1.019641,0.7199183,0,0,0
7790.487,1,1.046285,0.8184564,0.6838198,0,0,0.8163645,1.019592,0.719996,0,0,0
7790.5,1,1.046285,0.8184564,0.6838198,0,0,0.8163123,1.019527,0.7200165,0,0,0
7790.512,1,1.046285,0.8184564,0.6838198,0,0,0.8163996,1.019472,0.7200389,0,0,0
7790.521,1,1.046285,0.8184564,0.6838198,0,0,0.8164299,1.019441,0.7200705,0,0,0
7790.533,1,1.046285,0.8184564,0.6838198,0,0,0.8170837,1.019252,0.72013,0,0,0
7790.543,1,1.046285,0.8184564,0.6838198,0,0,0.8170608,1.019324,0.7200694,0,0,0
7790.555,1,1.046285,0.8184564,0.6838198,0,0,0.8171722,1.019338,0.7200826,0,0,0
7790.566,1,1.046285,0.8184564,0.6838198,0,0,0.8169919,1.019405,0.7200377,0,0,0
7790.577,1,1.046285,0.8184564,0.6838198,0,0,0.8170049,1.019435,0.7199997,0,0,0
7790.588,1,1.046285,0.8184564,0.6838198,0,0,0.8170877,1.019407,0.7200164,0,0,0
7790.6,1,1.046285,0.8184564,0.6838198,0,0,0.8163068,1.019473,0.719946,0,0,0
7790.611,1,1.046285,0.8184564,0.6838198,0,0,0.8160735,1.01954,0.7200004,0,0,0
7790.622,1,1.046285,0.8184564,0.6838198,0,0,0.8168265,1.019339,0.7200792,0,0,0
7790.633,1,1.046285,0.8184564,0.6838198,0,0,0.8169391,1.019244,0.7200809,0,0,0
7790.644,1,1.046285,0.8184564,0.6838198,0,0,0.8167913,1.019281,0.7200766,0,0,0
7790.655,1,1.046285,0.8184564,0.6838198,0,0,0.8172944,1.019178,0.7201184,0,0,0
7790.667,1,1.046285,0.8184564,0.6838198,0,0,0.8174288,1.019081,0.7201209,0,0,0
7790.677,1,1.046285,0.8184564,0.6838198,0,0,0.8175586,1.018988,0.7201326,0,0,0
7790.688,1,1.046285,0.8184564,0.6838198,0,0,0.817205,1.01925,0.7201711,0,0,0
7790.7,1,1.046285,0.8184564,0.6838198,0,0,0.817341,1.019156,0.7201873,0,0,0
7790.711,1,1.046285,0.8184564,0.6838198,0,0,0.8172683,1.019172,0.7202294,0,0,0
7790.722,1,1.046285,0.8184564,0.6838198,0,0,0.8174174,1.019106,0.7202736,0,0,0
7790.734,1,1.046285,0.8184564,0.6838198,0,0,0.8177738,1.019106,0.7203228,0,0,0
7790.744,1,1.046285,0.8184564,0.6838198,0,0,0.8175175,1.019262,0.7202832,0,0,0
7790.756,1,1.046285,0.8184564,0.6838198,0,0,0.8177635,1.019204,0.720358,0,0,0
7790.769,1,1.046285,0.8184564,0.6838198,0,0,0.817937,1.019118,0.720431,0,0,0
7790.779,1,1.046285,0.8184564,0.6838198,0,0,0.8175386,1.019324,0.720351,0,0,0
7790.79,1,1.046285,0.8184564,0.6838198,0,0,0.8176832,1.019221,0.7204671,0,0,0
7790.802,1,1.046285,0.8184564,0.6838198,0,0,0.8178759,1.019116,0.7205644,0,0,0
7790.812,1,1.046285,0.8184564,0.6838198,0,0,0.8177733,1.01915,0.7206976,0,0,0
7790.823,1,1.046285,0.8184564,0.6838198,0,0,0.8179872,1.019041,0.7208676,0,0,0
7790.835,1,1.046285,0.8184564,0.6838198,0,0,0.8180057,1.019007,0.7210141,0,0,0
7790.845,1,1.046285,0.8184564,0.6838198,0,0,0.8179229,1.019032,0.7212138,0,0,0
7790.857,1,1.046285,0.8184564,0.6838198,0,0,0.8184037,1.018802,0.7214248,0,0,0
7790.869,1,1.046285,0.8184564,0.6838198,0,0,0.8186303,1.018661,0.7216288,0,0,0
7790.879,1,1.046285,0.8184564,0.6838198,0,0,0.8184829,1.018711,0.7218031,0,0,0
7790.891,1,1.046285,0.8184564,0.6838198,0,0,0.8188695,1.018435,0.722025,0,0,0
7790.902,1,1.046285,0.8184564,0.6838198,0,0,0.8191383,1.018264,0.7222388,0,0,0
7790.913,1,1.046285,0.8184564,0.6838198,0,0,0.8190304,1.018294,0.7223555,0,0,0
7790.924,1,1.046285,0.8184564,0.6838198,0,0,0.8191533,1.018151,0.7225137,0,0,0
7790.936,1,1.046285,0.8184564,0.6838198,0,0,0.8194021,1.018043,0.7227018,0,0,0
7790.946,1,1.046285,0.8184564,0.6838198,0,0,0.8193121,1.018099,0.7228277,0,0,0
7790.958,1,1.046285,0.8184564,0.6838198,0,0,0.8194059,1.018114,0.722964,0,0,0
7790.969,1,1.046285,0.8184564,0.6838198,0,0,0.8197053,1.018014,0.7231107,0,0,0
7790.98,1,1.046285,0.8184564,0.6838198,0,0,0.8195319,1.018176,0.7231431,0,0,0
7790.991,1,1.046285,0.8184564,0.6838198,0,0,0.819815,1.018125,0.7232717,0,0,0
7791.003,1,1.046285,0.8184564,0.6838198,0,0,0.8173825,1.019459,0.7231292,0,0,0
7791.015,1,1.046285,0.8184564,0.6838198,0,0,0.8177078,1.019433,0.7231821,0,0,0
7791.025,1,1.046285,0.8184564,0.6838198,0,0,0.8181542,1.019455,0.7233137,0,0,0
7791.036,1,1.046285,0.8184564,0.6838198,0,0,0.8180768,1.019637,0.7233514,0,0,0
7791.047,1,1.046285,0.8184564,0.6838198,0,0,0.8183545,1.019639,0.7234331,0,0,0
7791.058,1,1.046285,0.8184564,0.6838198,0,0,0.818537,1.019618,0.7235137,0,0,0
7791.07,1,1.046285,0.8184564,0.6838198,0,0,0.8186002,1.019754,0.7235869,0,0,0
7791.08,1,1.046285,0.8184564,0.6838198,0,0,0.8190795,1.019699,0.7232603,0,0,0
7791.092,1,1.046285,0.8184564,0.6838198,0,0,0.8194193,1.019775,0.723352,0,0,0
7791.103,1,1.046285,0.8184564,0.6838198,0,0,0.8193221,1.019972,0.7234049,0,0,0
7791.114,1,1.046285,0.8184564,0.6838198,0,0,0.8193272,1.02005,0.7238367,0,0,0
7791.125,1,1.046285,0.8184564,0.6838198,0,0,0.8190079,1.020138,0.7239082,0,0,0
7791.136,1,1.046285,0.8184564,0.6838198,0,0,0.8190033,1.020214,0.7240062,0,0,0
7791.147,1,1.046285,0.8184564,0.6838198,0,0,0.8190989,1.020203,0.7242674,0,0,0
7791.158,1,1.046285,0.8184564,0.6838198,0,0,0.8191757,1.020123,0.7244389,0,0,0
7791.17,1,1.046285,0.8184564,0.6838198,0,0,0.8190559,1.020164,0.7246302,0,0,0
7791.18,1,1.046285,0.8184564,0.6838198,0,0,0.8191426,1.020139,0.72479,0,0,0
7791.192,1,1.046285,0.8184564,0.6838198,0,0,0.8192807,1.020184,0.7249689,0,0,0
7791.203,1,1.046285,0.8184564,0.6838198,0,0,0.8190812,1.020339,0.725083,0,0,0
7791.214,1,1.046285,0.8184564,0.6838198,0,0,0.8191757,1.020319,0.7251228,0,0,0
7791.226,1,1.046285,0.8184564,0.6838198,0,0,0.819231,1.020339,0.7252576,0,0,0
7791.237,1,1.046285,0.8184564,0.6838198,0,0,0.8189445,1.020514,0.7253711,0,0,0
7791.248,1,1.046285,0.8184564,0.6838198,0,0,0.8189487,1.02054,0.7255367,0,0,0
7791.259,1,1.046285,0.8184564,0.6838198,0,0,0.8188907,1.020652,0.7256973,0,0,0
7791.27,1,1.046285,0.8184564,0.6838198,0,0,0.818849,1.020736,0.7257994,0,0,0
7791.281,1,1.046285,0.8184564,0.6838198,0,0,0.8188125,1.020788,0.7259095,0,0,0
7791.292,1,1.046285,0.8184564,0.6838198,0,0,0.818803,1.020915,0.726007,0,0,0
7791.303,1,1.046285,0.8184564,0.6838198,0,0,0.8187603,1.020973,0.7260846,0,0,0
7791.315,1,1.046285,0.8184564,0.6838198,0,0,0.8187253,1.021063,0.726029,0,0,0
7791.326,1,1.046285,0.8184564,0.6838198,0,0,0.8186654,1.021193,0.7260667,0,0,0
7791.337,1,1.046285,0.8184564,0.6838198,0,0,0.8185819,1.021368,0.7260768,0,0,0
7791.348,1,1.046285,0.8184564,0.6838198,0,0,0.818535,1.021551,0.7259222,0,0,0
7791.36,1,1.046285,0.8184564,0.6838198,0,0,0.8181046,1.021406,0.7258036,0,0,0
7791.371,1,1.046285,0.8184564,0.6838198,0,0,0.817916,1.021693,0.7256892,0,0,0
7791.382,1,1.046285,0.8184564,0.6838198,0,0,0.817741,1.021949,0.7256783,0,0,0
7791.393,1,1.046285,0.8184564,0.6838198,0,0,0.8177276,1.02227,0.7256491,0,0,0
7791.404,1,1.046285,0.8184564,0.6838198,0,0,0.8175452,1.022614,0.7255565,0,0,0
7791.415,1,1.046285,0.8184564,0.6838198,0,0,0.8173786,1.022968,0.7256035,0,0,0
7791.427,1,1.046285,0.8184564,0.6838198,0,0,0.8173705,1.02334,0.7255659,0,0,0
7791.438,1,1.046285,0.8184564,0.6838198,0,0,0.817196,1.0237,0.7254869,0,0,0
7791.449,1,1.046285,0.8184564,0.6838198,0,0,0.8170848,1.023972,0.7255144,0,0,0
