Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
7798.028,NO,1,1.035127,0.825364,0.6839881,0.8091128,1.020767,0.7131001,0.3001872,NO,0.2174515,0.1699178,0.7643021,1.687797,0.009904385,40.10847,0,NONE,1,POLE
7801.245,NO,2,0.4557911,0.9273723,0.5067637,0.7026625,0.9389493,0.6967348,0.3117187,YES,0,3.703734,0.7643021,1.687797,0.009904385,37.56419,10,NONE,1,POLE
7803.825,NO,3,0.05634832,0.9730252,-0.01411057,0.6822848,1.082572,0.690949,0.9491607,YES,0,3.538222,0.7643021,1.687797,0.009904385,44.74192,20,NONE,1,POLE
7806.205,NO,4,0.3376828,1.015193,0.5716498,0.6153325,1.01102,0.7293391,0.3193316,NO,0.1757014,2.758039,0.7643021,1.687797,0.009904385,46.36257,20,NONE,1,POLE
7810.237,NO,5,0.3559223,0.9187528,0.4057307,0.5953932,0.9267722,0.6152241,0.3182736,NO,0.1181924,3.801068,0.7643021,1.687797,0.009904385,36.48393,20,NONE,1,POLE
7814.482,NO,6,0.2344002,0.9736391,0.4528093,0.4986822,0.9632026,0.6352046,0.3212817,YES,0,4.069106,0.7643021,1.687797,0.009904385,44.04023,30,NONE,1,POLE
7819.173,NO,7,0.262886,0.9885238,0.5108836,0.5320405,0.9585022,0.6500053,0.3044673,YES,0,4.57707,0.7643021,1.687797,0.009904385,45.38769,40,NONE,1,POLE
7821.564,NO,8,0.2950138,0.9689932,0.5954006,0.5937145,0.9571984,0.7478825,0.3355771,YES,0,4.340369,0.7643021,1.687797,0.009904385,46.2304,50,NONE,1,POLE
7824.303,NO,9,0.2107104,1.049982,0.4860404,0.4521663,1.013744,0.6629286,0.3015022,NO,0.2863396,2.984627,0.7643021,1.687797,0.009904385,48.86285,50,NONE,1,POLE
7827.183,NO,10,0.2627108,1.06034,0.5488012,0.5293505,1.031779,0.7270676,0.3220114,NO,0.09295913,4.223603,0.7643021,1.687797,0.009904385,49.55969,50,NONE,1,POLE
7829.663,NO,11,0.4739646,0.9236711,0.5690098,0.7327801,0.9647465,0.7385983,0.3121425,NO,0.09044325,3.517627,0.7643021,1.687797,0.009904385,39.50443,50,NONE,1,POLE
7832.221,NO,12,0.2836945,1.038875,0.5832305,0.5574486,0.9492985,0.6779397,0.3032081,NO,0.1660064,4.118116,0.7643021,1.687797,0.009904385,49.06162,50,NONE,1,POLE
7834.824,NO,13,0.2010826,1.040127,0.5084269,0.4693984,1.022602,0.6449704,0.3015702,NO,0.26384,2.45471,0.7643021,1.687797,0.009904385,49.26882,50,NONE,1,POLE
7837.438,NO,14,0.2252282,0.9628695,0.3820724,0.476617,0.9494498,0.5908196,0.3270349,YES,0,4.626507,0.7643021,1.687797,0.009904385,42.10186,60,NONE,1,POLE
7839.795,NO,15,0.3415146,0.9798958,0.5214596,0.6310138,0.9390929,0.6713138,0.3285285,NO,0.2068497,4.870323,0.7643021,1.687797,0.009904385,43.1523,60,NONE,1,POLE
7842.463,NO,16,0.3203371,0.9977975,0.5122764,0.5822902,0.980335,0.6738343,0.3082618,NO,0.1215622,3.765667,0.7643021,1.687797,0.009904385,44.17608,60,NONE,1,POLE
7844.71,NO,17,0.4395832,0.9048676,0.464572,0.6754479,0.9644526,0.676924,0.3229178,NO,0.2807388,4.446066,0.7643021,1.687797,0.009904385,35.51258,60,NONE,1,POLE
7847.101,NO,18,0.3177421,0.9953588,0.5156267,0.6007356,0.9930338,0.6526418,0.3144262,NO,0.09322205,4.408772,0.7643021,1.687797,0.009904385,44.25511,60,NONE,1,POLE
7849.972,NO,19,0.4776196,0.8731043,0.4390316,0.6544465,0.9865797,0.691653,0.3285756,NO,0.3958516,4.20209,0.7643021,1.687797,0.009904385,32.3528,60,NONE,1,POLE
7853.77,NO,20,0.349413,0.9964656,0.5335379,0.6129689,0.9697163,0.6987181,0.3121886,NO,0.155301,3.608118,0.7643021,1.687797,0.009904385,44.01993,60,NONE,1,POLE
