Time,Ball X,Ball Y,Ball Z
90.46066,1.388779,0.8482537,-0.3949646
90.47154,1.359507,0.8342608,-0.4082025
90.48262,1.328143,0.8216056,-0.4198889
90.49382,1.295491,0.8100489,-0.4305075
90.50478,1.263209,0.7988191,-0.4417788
90.54739,1.227845,0.7903292,-0.4509186
90.56071,1.081386,0.7696706,-0.4795022
90.57199,1.044264,0.7659161,-0.4854509
90.58312,1.007144,0.7629521,-0.4906496
90.59414,0.9685284,0.7635962,-0.4934894
90.60583,0.930719,0.7631031,-0.4968079
90.61662,0.8926517,0.7650117,-0.4983575
90.62768,0.8547617,0.7680343,-0.4989413
90.63931,0.8172747,0.7721233,-0.4987549
90.64986,0.7797736,0.7762625,-0.4989039
90.66121,0.7434846,0.7838768,-0.4957479
90.67264,0.7075402,0.7905917,-0.4941458
90.68372,0.6713132,0.7996339,-0.4903936
90.69515,0.636717,0.8098688,-0.4853743
90.70626,0.6028756,0.8214921,-0.479604
90.71732,0.5686756,0.8327569,-0.4739565
90.72832,0.5367163,0.8460692,-0.4666047
90.7395,0.5058354,0.8604319,-0.4581743
90.75055,0.4760529,0.8756614,-0.4489528
90.76226,0.4475585,0.8913715,-0.43908
90.77304,0.4207696,0.9074033,-0.4284346
90.78406,0.3937336,0.9231213,-0.4181098
90.79543,0.3690492,0.9398549,-0.4063946
90.80737,0.344628,0.9564031,-0.3951832
90.81762,0.3225414,0.9734811,-0.382533
90.82867,0.3017693,0.9905089,-0.3694481
90.83966,0.282115,1.007507,-0.3561574
90.85084,0.2633648,1.024143,-0.3424221
90.86205,0.2448508,1.040362,-0.3290776
90.87366,0.228633,1.056471,-0.314761
90.88526,0.2140669,1.072217,-0.3002228
90.89529,0.2005085,1.087721,-0.2854302
90.90685,0.1869023,1.103013,-0.270921
90.91775,0.1755681,1.117734,-0.2560407
90.92883,0.1661071,1.132436,-0.2420875
90.93992,0.1560637,1.146461,-0.2271833
93.50975,1.378092,0.8533695,-0.4267479
93.52113,1.349633,0.8377888,-0.4405392
93.53204,1.317181,0.8242946,-0.451952
93.54337,1.284401,0.8120617,-0.4624666
93.5544,1.25127,0.8017291,-0.4714862
93.56519,1.215762,0.792879,-0.4796585
93.57654,1.179038,0.7858454,-0.4866636
93.58804,1.143028,0.7790325,-0.4933927
93.59879,1.104645,0.7751783,-0.4984756
93.61003,1.0669,0.770655,-0.5035142
93.62144,1.027618,0.7701046,-0.5060631
93.63323,0.9892384,0.767949,-0.5096523
93.64345,0.9496347,0.7689729,-0.5098467
93.6552,0.9118086,0.7690023,-0.5114352
93.66582,0.87351,0.7708122,-0.5118443
93.67709,0.8352274,0.773964,-0.510612
93.68806,0.7974552,0.7770976,-0.5095717
93.69954,0.7601348,0.7823317,-0.5067407
93.71048,0.7231966,0.7874968,-0.5041829
93.72196,0.6863741,0.7951471,-0.4993192
93.73286,0.6497637,0.8010999,-0.495653
93.74405,0.6149536,0.8134506,-0.4870617
93.75519,0.5786308,0.8196152,-0.4833642
93.76629,0.5423337,0.8257182,-0.4796978
93.77773,0.5061246,0.8317453,-0.4760742
93.78876,0.4801079,0.8687394,-0.4511809
93.79983,0.4472615,0.8820394,-0.442351
93.81126,0.4200729,0.9014616,-0.4284321
93.82229,0.391507,0.917343,-0.417091
93.83385,0.3687497,0.9339679,-0.4026954
93.84446,0.348363,0.9509004,-0.3891991
93.85587,0.3268126,0.9649109,-0.375579
93.86708,0.3063539,0.982214,-0.3614081
93.87798,0.2834316,0.9993242,-0.3466845
93.88948,0.2654375,1.016531,-0.3314936
93.90054,0.2461212,1.033066,-0.3165358
93.91158,0.2292365,1.049365,-0.3010876
93.92342,0.212141,1.065531,-0.2857596
93.93398,0.1962417,1.081467,-0.2704622
93.94501,0.1862124,1.096779,-0.2537637
93.95652,0.1732883,1.111968,-0.2380055
93.96821,0.1614218,1.12698,-0.2220351
93.97831,0.1524497,1.141369,-0.2060548
93.9899,0.1449809,1.155051,-0.1897255
94.00105,0.1399783,1.167941,-0.1729535
94.01222,0.1335239,1.180995,-0.1567744
94.02314,0.1297501,1.192902,-0.1403664
94.03423,0.1269265,1.204382,-0.1240131
94.04554,0.1250503,1.214706,-0.1077031
94.05666,0.1230776,1.22525,-0.09140205
94.06767,0.1231061,1.234079,-0.07543802
94.07924,0.1237422,1.241889,-0.05930996
94.09023,0.1243142,1.249959,-0.04332292
94.10124,0.1263609,1.255972,-0.02773297
94.1132,0.1279256,1.261962,-0.01206499
94.1231,0.1278106,1.269865,0.003436506
94.13373,0.1276311,1.2778,0.01883626
94.14491,0.1273841,1.28577,0.03413153
94.15619,0.1270659,1.29378,0.04932439
94.16719,0.1425421,1.26937,0.06570148
