Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity
92.76068,NO,1,1.417799,0.8634634,-0.3811949,1.619961,1.097512,-0.4412903,0.3150553,YES,0,3.306734
108.3542,NO,2,1.408541,0.8686206,-0.4139165,1.623893,1.10603,-0.4804896,0.3273709,NO,1.589765,3.344437
114.1164,NO,3,1.491869,0.9013522,-0.3387867,1.683747,1.12458,-0.4294431,0.3080041,NO,2.447259,3.612011
121.0531,NO,4,1.480987,0.8932623,-0.3206195,1.67268,1.121273,-0.4277552,0.3165649,NO,2.432675,3.567628
131.7307,NO,5,1.424245,0.8720534,-0.38369,1.636737,1.093472,-0.4600573,0.3162453,NO,2.445384,3.449344
150.8209,NO,6,1.212461,0.7687964,-0.09897411,1.346019,1.02629,-0.1795229,0.3010465,NO,0.9010932,0.3899552
153.9697,NO,7,1.489491,0.9237818,-0.4072467,1.720076,1.110118,-0.4622086,0.3015151,YES,0,3.83359
157.2322,NO,8,1.469248,0.8789886,-0.3324873,1.705968,1.069248,-0.40969,0.3133616,NO,0.09983382,3.642821
160.0687,NO,9,1.444677,0.8952137,-0.4049212,1.68706,1.091839,-0.4614534,0.3171864,YES,0,3.69395
162.2693,NO,10,1.430444,0.8696042,-0.3760469,1.666118,1.073702,-0.4292247,0.3162687,NO,0.08270597,3.624542
167.4503,NO,11,1.487973,0.8961446,-0.2650564,1.698975,1.073314,-0.4051505,0.3090903,NO,0.09698316,3.322337
170.4118,NO,12,1.469991,0.8677702,-0.3414929,1.692595,1.135839,-0.4570187,0.3670966,YES,0,2.662962
176.2419,NO,13,1.506294,0.91574,-0.3926951,1.722426,1.093393,-0.5010746,0.300033,YES,0,2.943439
179.4365,NO,14,1.418348,0.8501135,-0.3722645,1.635126,1.077092,-0.4460033,0.3224116,NO,0.1000081,3.759865
181.8937,NO,15,1.43116,0.8669349,-0.3799716,1.659145,1.059802,-0.432258,0.303164,YES,0,3.191
184.876,NO,16,1.443893,0.8859564,-0.3811656,1.702647,1.082575,-0.4277049,0.328296,YES,0,3.126518
187.4897,NO,17,1.440489,0.8773043,-0.392748,1.666431,1.080893,-0.4675165,0.3131908,NO,0.0719054,3.346333
190.3381,NO,18,1.483703,0.896716,-0.3406944,1.702028,1.08858,-0.417328,0.3005836,YES,0,3.204383
193.0304,NO,19,1.460667,0.8765619,-0.3374869,1.688685,1.071805,-0.4438058,0.3184582,YES,0,3.142082
195.9669,NO,20,1.408936,0.8537105,-0.3659202,1.657354,1.048416,-0.4261209,0.3213184,NO,0.07166706,3.161863
198.6484,NO,21,1.46438,0.8775473,-0.3163561,1.658481,1.103506,-0.4121323,0.3128984,NO,0.09034719,3.423803
201.4293,NO,22,1.438024,0.8584653,-0.3135072,1.640195,1.075597,-0.3965296,0.3080775,YES,0,2.976159
204.0652,NO,23,1.44512,0.8649322,-0.3198756,1.658724,1.076072,-0.4056014,0.312339,YES,0,3.269696
206.7684,NO,24,1.439781,0.8629118,-0.3356975,1.664214,1.086041,-0.4004079,0.323024,YES,0,3.003818
209.8962,NO,25,1.465961,0.8779767,-0.3717057,1.672733,1.085721,-0.4735674,0.3103034,YES,0,3.246918
212.7107,NO,26,1.444617,0.8702204,-0.3297936,1.643557,1.095359,-0.4274282,0.3159064,YES,0,2.991134
215.2011,NO,27,1.486337,0.8938719,-0.3547753,1.683574,1.09543,-0.4773505,0.3074948,YES,0,2.80986
217.9044,NO,28,1.470993,0.8781712,-0.3234121,1.681934,1.075958,-0.4165648,0.3037983,YES,0,3.133884
220.3177,NO,29,1.495328,0.8890312,-0.2750877,1.697657,1.092508,-0.4042042,0.3146598,YES,0,3.071136
223.567,NO,30,1.47315,0.8877597,-0.3539559,1.699018,1.091625,-0.4329754,0.3143591,YES,0,3.503104
